From_FIPS,To_FIPS,Count
01001,1001,15084
01001,1051,27654
01001,1101,31824
01001,1125,14472
01001,1131,3972
01001,10030,14436
01001,13117,4812
01003,1003,193800
01003,1051,5028
01003,1097,85980
01003,1101,6285
01003,1115,9648
01003,1119,5028
01003,1125,32562
01003,8069,3972
01003,10030,338043
01003,12033,8796
01003,12073,3972
01003,12113,4824
01003,13005,4824
01003,13089,6285
01003,21093,4824
01003,28047,3972
01003,28059,9648
01003,47037,3972
01003,47065,7944
01003,47157,4812
01003,47187,5028
01003,48453,5028
01005,1069,5028
01005,13215,4812
01005,18145,4812
01007,1007,37386
01007,1051,5028
01007,1091,5028
01007,1119,5028
01007,1125,51360
01007,11170,4812
01007,11250,4812
01007,21093,4824
01007,35061,4824
01009,1015,4824
01009,1043,20502
01009,1073,225522
01009,1089,4824
01009,1115,37386
01009,1125,20856
01009,10030,4812
01009,10730,14436
01009,10950,14436
01009,11030,4812
01009,11170,4812
01009,12083,3972
01009,37173,4812
01009,47065,3972
01009,47155,10839
01013,1013,239994
01013,1081,4824
01013,1097,3972
01013,10030,4812
01015,1015,372369
01015,1069,5028
01015,1071,11313
01015,1073,4824
01015,1101,5028
01015,1115,63918
01015,1125,15678
01015,12073,3972
01015,12095,4812
01015,13075,4812
01015,13285,5028
01015,18081,6015
01017,1115,6030
01017,13067,4824
01017,13285,53685
01017,56021,3972
01019,1015,5028
01019,1049,14472
01019,1071,12570
01019,1125,15678
01019,13115,19704
01019,47155,4812
01021,1001,5028
01021,1049,4824
01021,1073,4824
01021,1115,14472
01021,1125,9648
01021,1131,3972
01021,10030,16842
01021,11170,4812
01021,21093,4824
01021,47155,4812
01023,1023,7944
01023,1091,5028
01023,1101,10056
01023,1119,5028
01023,1131,3972
01025,1051,5028
01025,1131,3972
01025,10030,4812
01027,1115,12060
01027,1121,5028
01027,37173,5028
01029,1015,9648
01029,1043,28944
01029,1115,4824
01029,47155,4824
01029,49007,4812
01031,1051,5028
01031,1069,17598
01031,12083,3972
01031,12091,4824
01031,22087,4824
01031,28047,4824
01031,51087,5028
01033,1071,11313
01033,1077,11916
01033,1097,4824
01033,1125,4824
01033,47037,4812
01033,47155,4824
01035,1013,25326
