SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,4,1,Arizona,Apache County,1,71518,35678,35840,5960,3001,2959,11114,5593,5521,5586,2867,2719,7215,3736,3479,51814,25740,26074,48858,24217,24641,27439,14127,13312,15931,8205,7726,17444,8456,8988,8268,3820,4448,5960,3001,2959,6022,3009,3013,6385,3265,3120,6780,3503,3277,4728,2419,2309,4020,2123,1897,3813,1978,1835,3908,2000,1908,4190,2104,2086,4793,2361,2432,4815,2302,2513,4156,2021,2135,3680,1772,1908,2937,1388,1549,2239,1101,1138,1470,662,808,854,375,479,768,294,474,32.4,31.3,33.7
50,4,1,Arizona,Apache County,2,71514,35677,35837,5960,3001,2959,11115,5594,5521,5586,2867,2719,7215,3736,3479,51809,25738,26071,48853,24215,24638,27438,14127,13311,15930,8205,7725,17441,8455,8986,8267,3819,4448,5960,3001,2959,6023,3010,3013,6385,3265,3120,6780,3503,3277,4728,2419,2309,4022,2124,1898,3813,1978,1835,3905,1999,1906,4190,2104,2086,4792,2361,2431,4814,2302,2512,4155,2020,2135,3680,1772,1908,2937,1388,1549,2238,1100,1138,1470,662,808,854,375,479,768,294,474,32.4,31.2,33.7
50,4,1,Arizona,Apache County,3,71828,35836,35992,5951,3001,2950,11150,5605,5545,5515,2818,2697,7357,3813,3544,52129,25909,26220,49212,24412,24800,27608,14235,13373,16006,8262,7744,17502,8492,9010,8347,3845,4502,5951,3001,2950,6047,3016,3031,6373,3247,3126,6784,3492,3292,4818,2481,2337,4057,2137,1920,3846,2012,1834,3908,1997,1911,4195,2116,2079,4769,2353,2416,4833,2321,2512,4196,2028,2168,3704,1790,1914,2952,1390,1562,2247,1097,1150,1491,673,818,876,387,489,781,298,483,32.4,31.3,33.7
50,4,1,Arizona,Apache County,4,72181,35916,36265,5784,2928,2856,11170,5563,5607,5196,2631,2565,7675,3985,3690,52754,26165,26589,50031,24794,25237,27763,14274,13489,16111,8277,7834,17683,8604,9079,8562,3928,4634,5784,2928,2856,6076,3010,3066,6313,3172,3141,6558,3348,3210,5094,2649,2445,4171,2171,2000,3956,2056,1900,3839,1946,1893,4145,2104,2041,4684,2353,2331,4843,2336,2507,4326,2026,2300,3830,1889,1941,2971,1398,1573,2288,1094,1194,1574,721,853,933,420,513,796,295,501,32.6,31.6,33.7
50,4,1,Arizona,Apache County,5,72231,35833,36398,5527,2769,2758,11001,5424,5577,5124,2603,2521,7890,4107,3783,53165,26346,26819,50579,25037,25542,27890,14311,13579,16193,8280,7913,17579,8548,9031,8917,4102,4815,5527,2769,2758,6033,2961,3072,6285,3142,3143,6386,3252,3134,5311,2779,2532,4225,2175,2050,3993,2062,1931,3868,1977,1891,4107,2066,2041,4506,2249,2257,4870,2379,2491,4434,2061,2373,3769,1859,1910,3117,1471,1646,2341,1112,1229,1636,753,883,1006,463,543,817,303,514,32.9,32,33.9
50,4,1,Arizona,Apache County,6,72333,35882,36451,5333,2728,2605,10917,5363,5554,4987,2541,2446,7946,4094,3852,53542,26489,27053,51096,25250,25846,27943,14370,13573,16256,8377,7879,17609,8525,9084,9285,4254,5031,5333,2728,2605,6051,2967,3084,6112,3038,3074,6136,3104,3032,5551,2889,2662,4342,2266,2076,4076,2112,1964,3843,1975,1868,3995,2024,1971,4391,2179,2212,4852,2375,2477,4515,2093,2422,3851,1878,1973,3162,1492,1670,2473,1166,1307,1700,789,911,1079,469,610,871,338,533,33.2,32.3,34.3
50,4,1,Arizona,Apache County,7,71808,35555,36253,5136,2600,2536,10687,5250,5437,4912,2471,2441,7744,3960,3784,53510,26463,27047,51073,25234,25839,27692,14247,13445,16269,8424,7845,17415,8444,8971,9645,4406,5239,5136,2600,2536,5946,2949,2997,5974,2909,3065,5897,2976,2921,5526,2847,2679,4496,2354,2142,4054,2137,1917,3817,1940,1877,3902,1993,1909,4211,2076,2135,4760,2370,2390,4537,2125,2412,3907,1873,2034,3282,1557,1725,2555,1178,1377,1814,852,962,1114,472,642,880,347,533,33.6,32.6,34.7
50,4,1,Arizona,Apache County,8,71026,35161,35865,4912,2434,2478,10422,5173,5249,4838,2391,2447,7413,3828,3585,53321,26402,26919,50854,25163,25691,27303,14077,13226,16211,8417,7794,17209,8327,8882,10021,4591,5430,4912,2434,2478,5770,2898,2872,5811,2834,2977,5733,2870,2863,5359,2790,2569,4592,2409,2183,4030,2112,1918,3814,1968,1846,3775,1928,1847,3961,1954,2007,4696,2298,2398,4612,2208,2404,3940,1867,2073,3438,1664,1774,2615,1182,1433,1905,912,993,1147,485,662,916,348,568,34.1,33.1,35.2
50,4,1,Arizona,Apache County,9,71418,35257,36161,4894,2442,2452,10287,5091,5196,4796,2352,2444,7248,3702,3546,53896,26602,27294,51441,25372,26069,27360,14083,13277,16489,8591,7898,17383,8349,9034,10321,4730,5591,4894,2442,2452,5615,2799,2816,5845,2854,2991,5693,2839,2854,5178,2653,2525,4738,2498,2240,4144,2173,1971,3854,2004,1850,3753,1916,1837,3945,1944,2001,4650,2268,2382,4703,2276,2427,4085,1861,2224,3572,1743,1829,2640,1202,1438,1929,889,1040,1235,530,705,945,366,579,34.5,33.5,35.7
50,4,1,Arizona,Apache County,10,71538,35308,36230,4865,2415,2450,10226,5060,5166,4628,2257,2371,6974,3565,3409,54174,26720,27454,51819,25576,26243,27283,14050,13233,16795,8776,8019,17454,8392,9062,10596,4843,5753,4865,2415,2450,5507,2768,2739,5833,2840,2993,5642,2791,2851,4846,2483,2363,4917,2605,2312,4250,2260,1990,3852,1972,1880,3776,1939,1837,3899,1917,1982,4510,2192,2318,4739,2309,2430,4306,1974,2332,3538,1709,1829,2788,1291,1497,1972,892,1080,1274,550,724,1024,401,623,34.9,33.9,36.1
50,4,1,Arizona,Apache County,11,71819,35327,36492,4761,2382,2379,10187,5079,5108,4583,2212,2371,6810,3380,3430,54570,26749,27821,52288,25654,26634,27312,13963,13349,17112,8939,8173,17388,8331,9057,10978,5004,5974,4761,2382,2379,5455,2733,2722,5925,2914,3011,5513,2677,2836,4687,2347,2340,4990,2640,2350,4390,2301,2089,3967,2071,1896,3765,1927,1838,3842,1872,1970,4303,2096,2207,4817,2329,2488,4426,2034,2392,3669,1778,1891,2832,1312,1520,2060,920,1140,1305,565,740,1112,429,683,35.2,34.3,36.4
50,4,1,Arizona,Apache County,12,71920,35508,36412,4772,2429,2343,10042,5034,5008,4580,2270,2310,6531,3233,3298,54752,26875,27877,52526,25775,26751,27324,13993,13331,17401,9098,8303,17217,8279,8938,11377,5165,6212,4772,2429,2343,5359,2720,2639,5871,2922,2949,5405,2622,2783,4518,2273,2245,5059,2664,2395,4466,2327,2139,4068,2168,1900,3808,1939,1869,3824,1871,1953,4090,1972,2118,4754,2314,2440,4549,2122,2427,3756,1778,1978,2953,1392,1561,2168,956,1212,1398,619,779,1102,420,682,35.6,34.5,36.9
