SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,9,1,Connecticut,Fairfield County,1,916829,445601,471228,56899,29226,27673,116150,59548,56602,53970,27516,26454,72101,37013,35088,716967,343248,373719,689810,329311,360499,350017,174085,175932,237309,116385,120924,256325,123911,132414,124075,52002,72073,56899,29226,27673,62907,32165,30742,66606,34212,32394,62192,31816,30376,50516,25884,24632,52251,26445,25806,53812,26507,27305,60121,29184,30937,71125,34249,36876,77362,37237,40125,71924,35084,36840,58614,28621,29993,48425,22969,25456,36305,16940,19365,26036,11466,14570,22147,9505,12642,19125,7516,11609,20462,6575,13887,39.5,38,40.8
50,9,1,Connecticut,Fairfield County,2,916910,445643,471267,56911,29233,27678,116163,59555,56608,53975,27519,26456,72102,37013,35089,717021,343276,373745,689861,329336,360525,350053,174103,175950,237339,116400,120939,256339,123920,132419,124081,52003,72078,56911,29233,27678,62915,32169,30746,66611,34215,32396,62196,31820,30376,50518,25883,24635,52260,26451,25809,53817,26509,27308,60131,29188,30943,71131,34252,36879,77369,37241,40128,71919,35082,36837,58621,28624,29997,48430,22973,25457,36305,16940,19365,26041,11467,14574,22147,9505,12642,19126,7516,11610,20462,6575,13887,39.5,38,40.8
50,9,1,Connecticut,Fairfield County,3,919371,446872,472499,56885,29218,27667,115992,59448,56544,54010,27560,26450,73429,37609,35820,719670,344557,375113,692484,330646,361838,350916,174566,176350,236857,116258,120599,257599,124489,133110,124599,52290,72309,56885,29218,27667,62783,32105,30678,66589,34204,32385,63431,32361,31070,50628,25947,24681,52428,26580,25848,54014,26599,27415,59661,28993,30668,70754,34086,36668,77357,37207,40150,72241,35223,37018,59248,28920,30328,48753,23139,25614,36617,17094,19523,26172,11545,14627,22022,9449,12573,19179,7561,11618,20609,6641,13968,39.5,38,40.8
50,9,1,Connecticut,Fairfield County,4,928099,451535,476564,56128,28818,27310,115988,59402,56586,54184,27638,26546,75874,38846,37028,728935,349400,379535,701799,335677,366122,352528,175658,176870,236040,116189,119851,262878,127013,135865,127007,53629,73378,56128,28818,27310,62835,32118,30717,66723,34299,32424,65877,33451,32426,50611,26018,24593,52902,27000,25902,55109,27103,28006,58089,28356,29733,69940,33730,36210,76852,36978,39874,73831,35912,37919,61768,30109,31659,50427,24014,26413,37846,17693,20153,27015,12023,14992,21783,9372,12411,19158,7585,11573,21205,6956,14249,39.7,38.1,41
50,9,1,Connecticut,Fairfield County,5,935293,455168,480125,55128,28205,26923,116049,59412,56637,54283,27705,26578,78231,40032,38199,736964,353610,383354,709833,339846,369987,353755,176574,177181,234755,115723,119032,265185,128150,137035,131662,55941,75721,55128,28205,26923,63094,32200,30894,66469,34098,32371,67133,34147,32986,51867,26704,25163,52966,26981,25985,55958,27549,28409,57424,28063,29361,68407,33130,35277,75912,36551,39361,74681,36215,38466,64428,31457,32971,50164,23927,26237,40743,19084,21659,28383,12650,15733,21888,9429,12459,18741,7500,11241,21907,7278,14629,39.8,38.2,41.2
50,9,1,Connecticut,Fairfield County,6,940189,457655,482534,54146,27632,26514,115067,58859,56208,54317,27949,26368,81051,41365,39686,743909,357235,386674,716659,343215,373444,354705,177227,177478,232911,114959,117952,267845,129331,138514,134852,57560,77292,54146,27632,26514,62509,31960,30549,66132,33945,32187,67118,34153,32965,54676,28115,26561,52717,26915,25802,56121,27517,28604,57405,28097,29308,66668,32430,34238,74658,35794,38864,75161,36350,38811,66603,32556,34047,51423,24631,26792,41682,19530,22152,30268,13634,16634,22138,9558,12580,18418,7388,11030,22346,7450,14896,39.9,38.3,41.4
50,9,1,Connecticut,Fairfield County,7,944524,460010,484514,53662,27399,26263,113963,58321,55642,54491,27910,26581,83940,43028,40912,749694,360355,389339,722408,346380,376028,355868,178081,177787,230979,114008,116971,269818,130420,139398,137671,58924,78747,53662,27399,26263,61594,31388,30206,65911,33798,32113,67350,34382,32968,57539,29691,27848,52587,26659,25928,56274,27765,28509,57432,28104,29328,64686,31480,33206,72462,34940,37522,75748,36500,39248,68264,33290,34974,53344,25690,27654,42636,19881,22755,31525,14305,17220,22652,9783,12869,18095,7301,10794,22763,7654,15109,40,38.4,41.5
50,9,1,Connecticut,Fairfield County,8,945323,460316,485007,53077,26997,26080,112272,57408,54864,54258,27755,26503,85493,43749,41744,752961,362123,390838,725716,348156,377560,354473,177291,177182,228136,112695,115441,271792,131484,140308,140295,60228,80067,53077,26997,26080,60428,30930,29498,65258,33386,31872,67202,34207,32995,59135,30389,28746,52165,26435,25730,55797,27675,28122,57767,28214,29553,62407,30371,32036,71237,34501,36736,75509,36287,39222,69588,33828,35760,55458,26868,28590,43773,20396,23377,32579,14862,17717,22985,9915,13070,17879,7326,10553,23079,7729,15350,40.2,38.6,41.6
50,9,1,Connecticut,Fairfield County,9,945096,460137,484959,52708,26867,25841,110739,56448,54291,53652,27510,26142,86629,44133,42496,755241,363197,392044,727997,349312,378685,353213,176791,176422,225839,111836,114003,272438,131766,140672,143091,61577,81514,52708,26867,25841,59012,30228,28784,64634,32908,31726,67087,34086,33001,60287,30869,29418,51668,26314,25354,55710,27713,27997,58279,28432,29847,60182,29377,30805,69668,33703,35965,74772,36080,38692,70516,34089,36427,57482,27894,29588,45043,21032,24011,33304,15233,18071,23585,10160,13425,17771,7289,10482,23388,7863,15525,40.3,38.7,41.8
50,9,1,Connecticut,Fairfield County,10,944107,459755,484352,52094,26668,25426,109377,55665,53712,53025,27105,25920,86682,44059,42623,756710,364110,392600,729611,350317,379294,351425,176051,175374,224763,111547,113216,272023,131604,140419,146143,63107,83036,52094,26668,25426,57843,29449,28394,64579,32876,31703,66187,33639,32548,60475,30865,29610,52167,26767,25400,55217,27436,27781,58205,28440,29765,59174,28904,30270,68080,33030,35050,73409,35406,38003,70910,34239,36671,59624,28929,30695,44489,20805,23684,35761,16348,19413,24577,10597,13980,17836,7408,10428,23480,7949,15531,40.4,38.9,41.9
