SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,10,1,Delaware,Kent County,1,162310,78035,84275,11150,5706,5444,20239,10295,9944,8990,4595,4395,17783,8870,8913,126539,59761,66778,121931,57439,64492,65194,31663,33531,40587,19327,21260,41579,19612,21967,21982,9630,12352,11150,5706,5444,11286,5724,5562,11119,5700,5419,12370,6198,6172,12237,6138,6099,10494,5084,5410,9523,4452,5071,9824,4608,5216,10746,5183,5563,12028,5803,6225,11149,5267,5882,9428,4356,5072,8974,4186,4788,7244,3342,3902,5455,2502,2953,4214,1908,2306,2666,1118,1548,2403,760,1643,36.6,35,38
50,10,1,Delaware,Kent County,2,162352,78059,84293,11151,5707,5444,20245,10298,9947,8994,4597,4397,17786,8873,8913,126573,59780,66793,121962,57457,64505,65211,31673,33538,40598,19333,21265,41590,19616,21974,21988,9635,12353,11151,5707,5444,11288,5726,5562,11124,5702,5422,12374,6200,6174,12239,6140,6099,10499,5088,5411,9524,4452,5072,9826,4609,5217,10749,5184,5565,12032,5805,6227,11154,5268,5886,9429,4357,5072,8975,4186,4789,7244,3343,3901,5455,2502,2953,4216,1910,2306,2669,1120,1549,2404,760,1644,36.6,35,38
50,10,1,Delaware,Kent County,3,162972,78370,84602,11156,5699,5457,20312,10339,9973,8972,4588,4384,17827,8907,8920,127135,60071,67064,122532,57744,64788,65349,31773,33576,40708,19395,21313,41841,19750,22091,22156,9692,12464,11156,5699,5457,11289,5723,5566,11181,5733,5448,12296,6182,6114,12345,6196,6149,10567,5128,5439,9618,4487,5131,9791,4600,5191,10732,5180,5552,12022,5794,6228,11241,5320,5921,9535,4409,5126,9043,4227,4816,7295,3361,3934,5514,2524,2990,4220,1901,2319,2705,1137,1568,2422,769,1653,36.6,35,38
50,10,1,Delaware,Kent County,4,165161,79505,85656,11083,5637,5446,20487,10457,10030,8908,4563,4345,18215,9101,9114,129203,61145,68058,124683,58848,65835,65833,32092,33741,40913,19550,21363,42670,20184,22486,22885,10013,12872,11083,5637,5446,11304,5737,5567,11386,5842,5544,12042,6082,5960,12878,6460,6418,10741,5260,5481,9919,4657,5262,9547,4477,5070,10706,5156,5550,11898,5693,6205,11515,5515,6000,9918,4608,5310,9339,4368,4971,7528,3467,4061,5742,2599,3143,4263,1895,2368,2862,1230,1632,2490,822,1668,36.7,35.1,38.2
50,10,1,Delaware,Kent County,5,167370,80724,86646,11088,5647,5441,20457,10394,10063,8868,4573,4295,18597,9396,9201,131303,62369,68934,126957,60110,66847,66599,32639,33960,41439,19855,21584,42793,20227,22566,24128,10632,13496,11088,5647,5441,11312,5745,5567,11450,5834,5616,11898,6035,5863,13262,6749,6513,11116,5491,5625,10306,4931,5375,9378,4382,4996,10639,5051,5588,11675,5582,6093,11609,5563,6046,10348,4820,5528,9161,4262,4899,8232,3804,4428,5990,2717,3273,4365,1943,2422,3024,1319,1705,2517,849,1668,36.8,34.9,38.3
50,10,1,Delaware,Kent County,6,169144,81648,87496,11067,5714,5353,20421,10376,10045,8925,4519,4406,18601,9422,9179,133071,63260,69811,128731,61039,67692,67195,32994,34201,41936,20175,21761,42939,20256,22683,25255,11186,14069,11067,5714,5353,11294,5699,5595,11394,5799,5595,11845,5986,5859,13414,6833,6581,11381,5679,5702,10598,5104,5494,9545,4476,5069,10412,4916,5496,11286,5398,5888,11764,5648,6116,10664,4947,5717,9225,4263,4962,8567,3944,4623,6400,2935,3465,4552,2030,2522,3145,1366,1779,2591,911,1680,36.8,35,38.5
50,10,1,Delaware,Kent County,7,171600,82899,88701,11084,5707,5377,20397,10385,10012,9059,4564,4495,18688,9519,9169,135533,64503,71030,131060,62243,68817,68122,33451,34671,42694,20567,22127,43216,20446,22770,26462,11711,14751,11084,5707,5377,11273,5746,5527,11443,5838,5605,11838,5907,5931,13590,6977,6613,11927,5972,5955,10811,5221,5590,9805,4607,5198,10151,4767,5384,10902,5232,5670,11945,5739,6206,11024,5155,5869,9345,4320,5025,8989,4126,4863,6804,3109,3695,4728,2099,2629,3224,1416,1808,2717,961,1756,36.9,35.1,38.6
50,10,1,Delaware,Kent County,8,173308,83561,89747,11066,5695,5371,20314,10235,10079,9178,4664,4514,18336,9307,9029,137320,65250,72070,132750,62967,69783,68540,33667,34873,43293,20869,22424,43639,20578,23061,27482,12213,15269,11066,5695,5371,11229,5663,5566,11352,5745,5607,11987,5994,5993,13260,6804,6456,12324,6158,6166,10900,5283,5617,10089,4778,5311,9980,4650,5330,10751,5167,5584,11943,5736,6207,11217,5226,5991,9728,4449,5279,9285,4324,4961,7126,3243,3883,4931,2177,2754,3304,1449,1855,2836,1020,1816,37.2,35.4,38.8
50,10,1,Delaware,Kent County,9,174776,84216,90560,11123,5624,5499,20292,10277,10015,9048,4600,4448,17956,9115,8841,138863,66007,72856,134313,63715,70598,68533,33745,34788,43792,21184,22608,44079,20755,23324,28486,12661,15825,11123,5624,5499,11107,5641,5466,11448,5790,5658,11928,5974,5954,12813,6587,6226,12694,6401,6293,11033,5347,5686,10365,4921,5444,9700,4515,5185,10567,5064,5503,11900,5662,6238,11460,5358,6102,10152,4671,5481,9581,4452,5129,7368,3358,4010,5200,2298,2902,3342,1429,1913,2995,1124,1871,37.5,35.7,39.1
50,10,1,Delaware,Kent County,10,176754,85165,91589,11249,5678,5571,20419,10386,10033,9135,4615,4520,17807,8993,8814,140537,66799,73738,135951,64486,71465,68887,33983,34904,44232,21537,22695,44428,20862,23566,29484,13094,16390,11249,5678,5571,11239,5748,5491,11467,5800,5667,12038,5994,6044,12617,6452,6165,12863,6599,6264,11204,5417,5787,10580,5074,5506,9585,4447,5138,10534,5003,5531,11650,5520,6130,11697,5534,6163,10547,4805,5742,9385,4307,5078,8052,3698,4354,5485,2436,3049,3471,1487,1984,3091,1166,1925,37.6,35.9,39.4
