SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,15,1,Hawaii,Hawaii County,1,185079,92821,92258,11845,6037,5808,20655,10640,10015,9780,5087,4693,15486,7966,7520,147859,73723,74136,142799,71057,71742,66529,33736,32793,43607,21894,21713,56872,28567,28305,26834,12630,14204,11845,6037,5808,11478,5945,5533,11521,5906,5615,12089,6288,5801,10833,5554,5279,11290,5628,5662,10935,5515,5420,10485,5276,5209,10897,5475,5422,12657,6262,6395,14866,7366,7500,15807,7836,7971,13542,7103,6439,9178,4731,4447,5830,2842,2988,4571,2102,2469,3652,1575,2077,3603,1380,2223,40.9,40.2,41.5
50,15,1,Hawaii,Hawaii County,2,185076,92819,92257,11845,6037,5808,20655,10640,10015,9780,5087,4693,15486,7966,7520,147856,73721,74135,142796,71055,71741,66528,33735,32793,43606,21893,21713,56871,28566,28305,26833,12630,14203,11845,6037,5808,11478,5945,5533,11521,5906,5615,12089,6288,5801,10833,5554,5279,11290,5628,5662,10935,5515,5420,10485,5276,5209,10896,5474,5422,12657,6262,6395,14866,7366,7500,15806,7835,7971,13542,7103,6439,9177,4731,4446,5830,2842,2988,4571,2102,2469,3652,1575,2077,3603,1380,2223,40.9,40.2,41.5
50,15,1,Hawaii,Hawaii County,3,185361,92888,92473,11860,6045,5815,20645,10626,10019,9721,5042,4679,15546,7995,7551,148152,73803,74349,143135,71175,71960,66518,33697,32821,43587,21864,21723,56859,28525,28334,27143,12791,14352,11860,6045,5815,11469,5946,5523,11512,5884,5628,12022,6245,5777,10909,5588,5321,11263,5623,5640,11011,5541,5470,10435,5241,5194,10878,5459,5419,12539,6204,6335,14763,7301,7462,15782,7812,7970,13775,7208,6567,9311,4800,4511,5915,2898,3017,4587,2108,2479,3684,1586,2098,3646,1399,2247,40.9,40.3,41.6
50,15,1,Hawaii,Hawaii County,4,187101,93623,93478,12003,6149,5854,20625,10674,9951,9495,4844,4651,15696,8048,7648,149804,74429,75375,144978,71956,73022,66536,33571,32965,43665,21853,21812,57095,28555,28540,28522,13500,15022,12003,6149,5854,11495,6013,5482,11450,5835,5615,11696,6022,5674,11175,5696,5479,11213,5603,5610,11250,5636,5614,10348,5186,5162,10854,5428,5426,12120,6015,6105,14427,7107,7320,15774,7749,8025,14774,7684,7090,9930,5108,4822,6262,3111,3151,4708,2187,2521,3769,1608,2161,3853,1486,2367,41.3,40.6,41.9
50,15,1,Hawaii,Hawaii County,5,189199,94511,94688,12240,6235,6005,20829,10763,10066,9297,4735,4562,15607,7954,7653,151523,75168,76355,146833,72778,74055,66796,33564,33232,44184,22054,22130,56702,28232,28470,30340,14538,15802,12240,6235,6005,11719,6140,5579,11402,5802,5600,11388,5807,5581,11224,5703,5521,11262,5669,5593,11480,5727,5753,10639,5286,5353,10803,5372,5431,11646,5824,5822,14074,6895,7179,15703,7696,8007,15279,7817,7462,11010,5736,5274,6736,3404,3332,4716,2210,2506,3805,1619,2186,4073,1569,2504,41.5,40.8,42.2
50,15,1,Hawaii,Hawaii County,6,191521,95401,96120,12261,6204,6057,21111,10929,10182,9237,4683,4554,15608,7909,7699,153560,75930,77630,148912,73585,75327,67408,33759,33649,44858,22340,22518,56207,27842,28365,32239,15494,16745,12261,6204,6057,11919,6208,5711,11487,5894,5593,11258,5711,5547,11292,5708,5584,11289,5666,5623,11760,5869,5891,10816,5361,5455,10993,5444,5549,11337,5664,5673,13564,6645,6919,15552,7590,7962,15754,7943,7811,11901,6226,5675,7293,3720,3573,4879,2272,2607,3878,1646,2232,4288,1630,2658,41.7,41,42.4
50,15,1,Hawaii,Hawaii County,7,193812,96527,97285,12381,6310,6071,21253,11001,10252,9233,4693,4540,15318,7737,7581,155560,76866,78694,150945,74523,76422,67769,33912,33857,45532,22663,22869,55819,27543,28276,34276,16580,17696,12381,6310,6071,12086,6276,5810,11481,5906,5575,11119,5639,5480,11118,5610,5508,11487,5752,5735,11961,5942,6019,11055,5486,5569,11029,5483,5546,11189,5544,5645,13067,6412,6655,15438,7573,7865,16125,8014,8111,12842,6695,6147,8083,4145,3938,5003,2355,2648,3870,1679,2191,4478,1706,2772,42,41.3,42.7
50,15,1,Hawaii,Hawaii County,8,196111,97543,98568,12534,6395,6139,21338,11016,10322,9128,4630,4498,15070,7612,7458,157672,77827,79845,153111,75502,77609,68134,34095,34039,46205,22988,23217,55484,27232,28252,36352,17670,18682,12534,6395,6139,12082,6221,5861,11525,5930,5595,11013,5606,5407,10916,5501,5415,11708,5824,5884,12093,5962,6131,11506,5741,5765,10898,5461,5437,11214,5537,5677,12764,6250,6514,15145,7391,7754,16361,8054,8307,13867,7239,6628,8772,4502,4270,5191,2487,2704,3830,1660,2170,4692,1782,2910,42.2,41.5,42.9
50,15,1,Hawaii,Hawaii County,9,198583,98713,99870,12408,6360,6048,21720,11179,10541,9051,4570,4481,14723,7400,7323,159964,78927,81037,155404,76604,78800,68661,34336,34325,47105,23479,23626,55127,27028,28099,38449,18697,19752,12408,6360,6048,12322,6263,6059,11616,6029,5587,10949,5538,5411,10607,5319,5288,11940,6019,5921,12305,6083,6222,11838,5875,5963,11022,5502,5520,11349,5662,5687,12371,6055,6316,14940,7243,7697,16467,8068,8399,14870,7688,7182,9341,4808,4533,5503,2690,2813,3881,1705,2176,4854,1806,3048,42.4,41.7,43.1
50,15,1,Hawaii,Hawaii County,10,200400,99496,100904,12190,6256,5934,22108,11326,10782,9122,4659,4463,14442,7233,7209,161509,79545,81964,156980,77255,79725,68853,34337,34516,47634,23687,23947,54426,26610,27816,40478,19725,20753,12190,6256,5934,12547,6356,6191,11906,6212,5694,10887,5493,5394,10332,5157,5175,11876,5946,5930,12308,6097,6211,12137,6031,6106,11313,5613,5700,11448,5689,5759,12061,5922,6139,14601,7082,7519,16316,7917,8399,15300,7798,7502,10376,5385,4991,5855,2914,2941,3881,1738,2143,5066,1890,3176,42.6,41.9,43.3
