SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,18,1,Indiana,Adams County,1,34387,16999,17388,3186,1618,1568,5288,2660,2628,2240,1204,1036,2944,1484,1460,24749,12101,12648,23673,11517,12156,12487,6412,6075,7880,4037,3843,8099,4011,4088,4750,1985,2765,3186,1618,1568,3030,1520,1510,2835,1453,1382,2645,1395,1250,1962,980,982,2035,1047,988,1903,965,938,1955,991,964,1987,1034,953,2202,1094,1108,2194,1075,1119,2011,1011,1000,1692,831,861,1259,584,675,1044,476,568,789,361,428,741,286,455,917,278,639,34,32.6,35.4
50,18,1,Indiana,Adams County,2,34384,16996,17388,3186,1618,1568,5286,2658,2628,2240,1204,1036,2944,1484,1460,24748,12100,12648,23672,11516,12156,12486,6411,6075,7879,4036,3843,8099,4011,4088,4750,1985,2765,3186,1618,1568,3029,1519,1510,2834,1452,1382,2645,1395,1250,1962,980,982,2035,1047,988,1902,964,938,1955,991,964,1987,1034,953,2202,1094,1108,2194,1075,1119,2011,1011,1000,1692,831,861,1259,584,675,1044,476,568,789,361,428,741,286,455,917,278,639,34,32.6,35.4
50,18,1,Indiana,Adams County,3,34442,17027,17415,3219,1647,1572,5292,2659,2633,2241,1196,1045,2927,1486,1441,24778,12110,12668,23690,11525,12165,12479,6404,6075,7881,4025,3856,8124,4019,4105,4758,1995,2763,3219,1647,1572,3029,1516,1513,2833,1446,1387,2629,1390,1239,1969,989,980,2041,1037,1004,1907,965,942,1937,989,948,1996,1034,962,2186,1082,1104,2205,1082,1123,2021,1014,1007,1712,841,871,1267,590,677,1042,476,566,799,367,432,735,284,451,915,278,637,34,32.5,35.4
50,18,1,Indiana,Adams County,4,34370,17005,17365,3198,1689,1509,5253,2620,2633,2226,1151,1075,2947,1532,1415,24814,12132,12682,23693,11545,12148,12446,6398,6048,7814,3980,3834,8152,4040,4112,4780,1993,2787,3198,1689,1509,2999,1500,1499,2795,1385,1410,2597,1391,1206,2035,1027,1008,2017,1009,1008,1884,958,926,1892,984,908,2021,1029,992,2083,1036,1047,2216,1101,1115,2060,1019,1041,1793,884,909,1276,594,682,1046,473,573,823,372,451,706,271,435,929,283,646,34.1,32.5,35.6
50,18,1,Indiana,Adams County,5,34408,17021,17387,3164,1654,1510,5317,2648,2669,2212,1140,1072,2994,1567,1427,24835,12167,12668,23715,11579,12136,12371,6346,6025,7716,3928,3788,8113,4023,4090,4892,2061,2831,3164,1654,1510,3057,1535,1522,2811,1402,1409,2513,1328,1185,2142,1090,1052,1941,981,960,1907,966,941,1883,977,906,1985,1004,981,2027,1012,1015,2194,1092,1102,2109,1022,1087,1783,897,886,1378,639,739,1075,498,577,835,372,463,670,267,403,934,285,649,34.1,32.6,35.6
50,18,1,Indiana,Adams County,6,34655,17164,17491,3224,1707,1517,5375,2672,2703,2204,1125,1079,3059,1625,1434,24941,12205,12736,23852,11660,12192,12411,6372,6039,7720,3921,3799,8103,4004,4099,4970,2110,2860,3224,1707,1517,3084,1555,1529,2863,1416,1447,2489,1291,1198,2202,1160,1042,1921,962,959,1968,1005,963,1897,990,907,1934,964,970,2012,1006,1006,2154,1065,1089,2150,1041,1109,1787,892,895,1443,682,761,1093,501,592,863,375,488,650,266,384,921,286,635,33.9,32.4,35.5
50,18,1,Indiana,Adams County,7,34771,17281,17490,3285,1773,1512,5378,2696,2682,2220,1102,1118,3032,1623,1409,24961,12250,12711,23888,11710,12178,12388,6384,6004,7700,3917,3783,8119,4021,4098,5037,2149,2888,3285,1773,1512,3084,1545,1539,2858,1409,1449,2513,1311,1202,2175,1156,1019,1920,971,949,1978,1023,955,1895,953,942,1907,970,937,1970,1004,966,2131,1051,1080,2153,1035,1118,1865,931,934,1500,721,779,1102,501,601,876,373,503,643,268,375,916,286,630,33.9,32.4,35.6
50,18,1,Indiana,Adams County,8,34962,17379,17583,3266,1717,1549,5442,2784,2658,2245,1125,1120,3043,1608,1435,25139,12344,12795,24009,11753,12256,12491,6412,6079,7744,3946,3798,8101,4007,4094,5121,2192,2929,3266,1717,1549,3086,1582,1504,2897,1469,1428,2549,1294,1255,2198,1172,1026,1971,1006,965,1968,1005,963,1907,954,953,1898,981,917,1941,1001,940,2106,1038,1068,2132,1030,1102,1922,938,984,1562,751,811,1138,528,610,883,364,519,626,255,371,912,294,618,33.8,32.2,35.5
50,18,1,Indiana,Adams County,9,35216,17534,17682,3326,1723,1603,5442,2824,2618,2291,1134,1157,3056,1634,1422,25324,12429,12895,24157,11853,12304,12483,6389,6094,7712,3911,3801,8152,4030,4122,5237,2278,2959,3326,1723,1603,3060,1618,1442,2958,1496,1462,2550,1278,1272,2221,1200,1021,2036,1052,984,1952,967,985,1893,942,951,1831,950,881,1998,1026,972,2025,998,1027,2158,1053,1105,1971,953,1018,1635,790,845,1149,531,618,886,386,500,661,268,393,906,303,603,33.7,32.1,35.4
50,18,1,Indiana,Adams County,10,35409,17672,17737,3364,1737,1627,5480,2868,2612,2279,1124,1155,3046,1615,1431,25384,12479,12905,24286,11943,12343,12542,6428,6114,7834,3994,3840,8037,3970,4067,5369,2364,3005,3364,1737,1627,3105,1653,1452,2992,1520,1472,2546,1299,1247,2162,1135,1027,2187,1132,1055,1904,958,946,1898,950,948,1845,954,891,1937,986,951,1996,984,1012,2093,1051,1042,2011,949,1062,1626,791,835,1260,577,683,905,409,496,679,277,402,899,310,589,33.6,32,35.2
