SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,23,1,Maine,Androscoggin County,1,107702,52716,54986,6886,3486,3400,11895,6128,5767,5527,2892,2635,10022,4984,5038,86293,41741,44552,83394,40210,43184,41645,20691,20954,27403,13470,13933,30785,15275,15510,15184,6481,8703,6886,3486,3400,6586,3357,3229,6616,3426,3190,7276,3831,3445,6966,3390,3576,6458,3110,3348,6502,3163,3339,6796,3401,3395,7647,3796,3851,8704,4330,4374,8323,4145,4178,7321,3640,3681,6437,3160,3277,4463,2118,2345,3393,1622,1771,2953,1248,1705,2209,844,1365,2166,649,1517,39.8,38.9,40.8
50,23,1,Maine,Androscoggin County,2,107713,52722,54991,6887,3487,3400,11896,6129,5767,5527,2892,2635,10022,4984,5038,86302,41745,44557,83403,40214,43189,41645,20692,20953,27403,13471,13932,30790,15277,15513,15188,6482,8706,6887,3487,3400,6587,3358,3229,6616,3426,3190,7276,3831,3445,6966,3390,3576,6458,3110,3348,6503,3163,3340,6796,3402,3394,7646,3796,3850,8708,4332,4376,8324,4146,4178,7321,3639,3682,6437,3160,3277,4465,2118,2347,3394,1623,1771,2953,1248,1705,2210,844,1366,2166,649,1517,39.8,38.9,40.8
50,23,1,Maine,Androscoggin County,3,107712,52704,55008,6894,3477,3417,11898,6122,5776,5499,2886,2613,10002,4974,5028,86290,41744,44546,83421,40219,43202,41473,20585,20888,27280,13388,13892,30933,15351,15582,15206,6506,8700,6894,3477,3417,6604,3368,3236,6602,3417,3185,7244,3812,3432,6949,3385,3564,6432,3087,3345,6545,3188,3357,6711,3353,3358,7592,3760,3832,8695,4339,4356,8357,4156,4201,7376,3669,3707,6505,3187,3318,4496,2136,2360,3386,1613,1773,2953,1254,1699,2203,847,1356,2168,656,1512,39.9,39,40.8
50,23,1,Maine,Androscoggin County,4,107458,52653,54805,6752,3423,3329,11827,6067,5760,5371,2826,2545,9946,4996,4950,86256,41805,44451,83508,40337,43171,40962,20320,20642,26955,13188,13767,31168,15470,15698,15439,6683,8756,6752,3423,3329,6652,3374,3278,6485,3383,3102,7084,3696,3388,6923,3436,3487,6400,3033,3367,6707,3278,3429,6330,3158,3172,7518,3719,3799,8449,4235,4214,8451,4210,4241,7485,3726,3759,6783,3299,3484,4649,2225,2424,3393,1594,1799,2992,1307,1685,2207,863,1344,2198,694,1504,40.3,39.4,41.1
50,23,1,Maine,Androscoggin County,5,107517,52695,54822,6717,3402,3315,11885,6062,5823,5289,2784,2505,9886,5021,4865,86289,41835,44454,83626,40447,43179,40497,20118,20379,26648,13020,13628,31035,15366,15669,16057,7040,9017,6717,3402,3315,6699,3383,3316,6512,3386,3126,6943,3628,3315,6906,3470,3436,6434,3061,3373,6741,3236,3505,6160,3060,3100,7313,3663,3650,8192,4056,4136,8425,4191,4234,7726,3851,3875,6692,3268,3424,5135,2468,2667,3499,1640,1859,2955,1335,1620,2271,896,1375,2197,701,1496,40.5,39.6,41.3
50,23,1,Maine,Androscoggin County,6,107267,52633,54634,6610,3342,3268,11849,6068,5781,5284,2776,2508,9725,4970,4755,86198,41851,44347,83524,40447,43077,40079,19934,20145,26385,12871,13514,30876,15324,15552,16538,7282,9256,6610,3342,3268,6747,3453,3294,6417,3298,3119,6849,3587,3262,6845,3476,3369,6463,3089,3374,6693,3221,3472,6109,3003,3106,7120,3558,3562,7883,3882,4001,8344,4218,4126,7942,3923,4019,6707,3301,3406,5408,2611,2797,3730,1720,2010,2916,1325,1591,2268,926,1342,2216,700,1516,40.7,39.7,41.6
50,23,1,Maine,Androscoggin County,7,107411,52726,54685,6583,3351,3232,11826,6076,5750,5287,2755,2532,9639,4907,4732,86363,41947,44416,83715,40544,43171,39852,19831,20021,26258,12845,13413,30729,15198,15531,17089,7594,9495,6583,3351,3232,6725,3459,3266,6433,3293,3140,6797,3534,3263,6797,3452,3345,6527,3178,3349,6590,3164,3426,6262,3094,3168,6879,3409,3470,7544,3715,3829,8363,4180,4183,8010,3953,4057,6812,3350,3462,5738,2805,2933,3900,1794,2106,2887,1318,1569,2308,940,1368,2256,737,1519,40.8,39.7,41.8
50,23,1,Maine,Androscoggin County,8,107189,52581,54608,6532,3317,3215,11888,6077,5811,5168,2664,2504,9504,4839,4665,86207,41883,44324,83601,40523,43078,39379,19533,19846,25956,12675,13281,30644,15171,15473,17497,7838,9659,6532,3317,3215,6736,3434,3302,6401,3288,3113,6734,3449,3285,6689,3409,3280,6495,3152,3343,6531,3164,3367,6382,3117,3265,6548,3242,3306,7335,3635,3700,8326,4164,4162,8025,3973,4052,6958,3399,3559,5985,2917,3068,4057,1906,2151,2898,1349,1549,2314,936,1378,2243,730,1513,40.9,39.9,41.8
50,23,1,Maine,Androscoggin County,9,107389,52563,54826,6460,3283,3177,11895,6045,5850,5138,2626,2512,9303,4755,4548,86535,41949,44586,83896,40609,43287,39046,19368,19678,25857,12625,13232,30605,15123,15482,18131,8106,10025,6460,3283,3177,6710,3414,3296,6437,3269,3168,6651,3415,3236,6538,3328,3210,6551,3209,3342,6470,3109,3361,6574,3215,3359,6262,3092,3170,7280,3604,3676,8142,4076,4066,8126,4013,4113,7057,3430,3627,6275,3010,3265,4229,2003,2226,2938,1353,1585,2390,987,1403,2299,753,1546,41.1,40.1,42.2
50,23,1,Maine,Androscoggin County,10,107507,52649,54858,6455,3244,3211,11947,6113,5834,5129,2609,2520,9086,4606,4480,86570,42011,44559,83976,40683,43293,38878,19252,19626,25918,12663,13255,30412,15064,15348,18560,8350,10210,6455,3244,3211,6729,3452,3277,6473,3287,3186,6578,3363,3215,6382,3226,3156,6607,3311,3296,6601,3152,3449,6670,3222,3448,6040,2978,3062,7132,3563,3569,7913,3915,3998,8066,4006,4060,7301,3580,3721,6185,2970,3215,4667,2222,2445,2993,1350,1643,2332,987,1345,2383,821,1562,41.1,40.1,42.1
