SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,24,1,Maryland,Allegany County,1,75087,38842,36245,3496,1834,1662,6738,3508,3230,3285,1704,1581,9593,5036,4557,63288,32681,30607,61568,31796,29772,30498,17129,13369,18371,10770,7601,20202,10326,9876,13402,5664,7738,3496,1834,1662,3661,1913,1748,3828,1976,1852,5742,2852,2890,6385,3507,2878,4691,2793,1898,4380,2696,1684,4492,2547,1945,4808,2734,2074,5301,2805,2496,5376,2810,2566,4869,2453,2416,4656,2258,2398,3706,1746,1960,3100,1417,1683,2510,1049,1461,2127,818,1309,1959,634,1325,40.9,38.7,43.8
50,24,1,Maryland,Allegany County,2,75042,38825,36217,3494,1833,1661,6734,3508,3226,3281,1703,1578,9584,5032,4552,63249,32665,30584,61533,31781,29752,30478,17121,13357,18364,10767,7597,20188,10319,9869,13397,5663,7734,3494,1833,1661,3658,1913,1745,3827,1976,1851,5735,2851,2884,6379,3503,2876,4689,2792,1897,4379,2695,1684,4491,2547,1944,4805,2733,2072,5298,2803,2495,5367,2805,2562,4868,2453,2415,4655,2258,2397,3705,1746,1959,3100,1417,1683,2508,1048,1460,2126,818,1308,1958,634,1324,40.9,38.7,43.8
50,24,1,Maryland,Allegany County,3,74968,38781,36187,3501,1836,1665,6739,3511,3228,3251,1692,1559,9610,5041,4569,63180,32624,30556,61477,31742,29735,30396,17054,13342,18284,10705,7579,20181,10321,9860,13402,5675,7727,3501,1836,1665,3639,1898,1741,3849,1997,1852,5649,2818,2831,6463,3531,2932,4673,2785,1888,4383,2682,1701,4453,2530,1923,4775,2708,2067,5251,2783,2468,5376,2810,2566,4883,2459,2424,4671,2269,2402,3703,1747,1956,3112,1415,1697,2505,1058,1447,2102,808,1294,1980,647,1333,40.9,38.8,43.8
50,24,1,Maryland,Allegany County,4,74580,38707,35873,3481,1822,1659,6660,3495,3165,3127,1637,1490,9654,5062,4592,62943,32619,30324,61312,31753,29559,30116,16972,13144,18086,10660,7426,20176,10365,9811,13396,5666,7730,3481,1822,1659,3559,1873,1686,3852,2009,1843,5303,2672,2631,6727,3640,3087,4631,2821,1810,4444,2702,1742,4289,2490,1799,4722,2647,2075,5075,2716,2359,5421,2848,2573,4884,2460,2424,4796,2341,2455,3717,1742,1975,3178,1430,1748,2498,1086,1412,1969,750,1219,2034,658,1376,41,38.7,44
50,24,1,Maryland,Allegany County,5,73966,38381,35585,3450,1778,1672,6535,3450,3085,3068,1604,1464,9494,4957,4537,62474,32382,30092,60913,31549,29364,29715,16734,12981,17918,10561,7357,19784,10192,9592,13717,5839,7878,3450,1778,1672,3542,1853,1689,3758,1985,1773,5037,2564,2473,6760,3609,3151,4634,2826,1808,4482,2731,1751,4139,2418,1721,4663,2586,2077,4915,2675,2240,5287,2744,2543,4945,2487,2458,4637,2286,2351,3975,1848,2127,3234,1467,1767,2538,1116,1422,1917,726,1191,2053,682,1371,41.2,38.8,44.2
50,24,1,Maryland,Allegany County,6,73602,38171,35431,3427,1751,1676,6513,3444,3069,3029,1576,1453,9425,4937,4488,62157,32192,29965,60633,31400,29233,29595,16604,12991,17871,10490,7381,19404,9984,9420,13933,5989,7944,3427,1751,1676,3500,1849,1651,3743,1994,1749,5014,2516,2498,6710,3598,3112,4671,2825,1846,4513,2729,1784,4072,2385,1687,4615,2551,2064,4751,2577,2174,5123,2654,2469,4979,2539,2440,4551,2214,2337,4131,1933,2198,3285,1517,1768,2580,1147,1433,1878,707,1171,2059,685,1374,41.3,38.8,44.1
50,24,1,Maryland,Allegany County,7,73051,37919,35132,3491,1773,1718,6364,3349,3015,3066,1612,1454,9324,4860,4464,61672,31971,29701,60130,31185,28945,29253,16440,12813,17656,10397,7259,19089,9855,9234,14061,6073,7988,3491,1773,1718,3428,1804,1624,3729,1974,1755,4942,2498,2444,6655,3545,3110,4619,2836,1783,4527,2727,1800,4057,2387,1670,4453,2447,2006,4585,2523,2062,5049,2620,2429,4947,2509,2438,4508,2203,2305,4224,1990,2234,3308,1531,1777,2652,1176,1476,1861,722,1139,2016,654,1362,41.3,38.8,44.2
50,24,1,Maryland,Allegany County,8,72501,37621,34880,3355,1703,1652,6316,3315,3001,3140,1656,1484,9160,4730,4430,61242,31765,29477,59690,30947,28743,29020,16299,12721,17516,10325,7191,18906,9777,9129,14108,6115,7993,3355,1703,1652,3471,1825,1646,3641,1902,1739,4979,2531,2448,6525,3443,3082,4624,2855,1769,4486,2686,1800,4099,2419,1680,4307,2365,1942,4506,2486,2020,4933,2562,2371,4950,2494,2456,4517,2235,2282,4279,2025,2254,3341,1534,1807,2648,1175,1473,1862,736,1126,1978,645,1333,41.3,38.9,44.3
50,24,1,Maryland,Allegany County,9,72084,37493,34591,3301,1702,1599,6307,3278,3029,3046,1632,1414,8970,4655,4315,60991,31732,29259,59430,30881,28549,28793,16253,12540,17471,10340,7131,18797,9712,9085,14192,6174,8018,3301,1702,1599,3445,1763,1682,3556,1889,1667,5004,2556,2448,6318,3357,2961,4705,2860,1845,4420,2683,1737,4187,2451,1736,4159,2346,1813,4500,2445,2055,4740,2480,2260,5009,2533,2476,4548,2254,2294,4361,2092,2269,3317,1497,1820,2707,1183,1524,1848,754,1094,1959,648,1311,41.3,38.9,44.5
50,24,1,Maryland,Allegany County,10,71363,37133,34230,3234,1707,1527,6184,3196,2988,3009,1586,1423,8764,4574,4190,60534,31489,29045,58936,30644,28292,28368,16029,12339,17314,10241,7073,18583,9588,8995,14275,6241,8034,3234,1707,1527,3400,1721,1679,3503,1847,1656,4897,2510,2387,6157,3278,2879,4724,2841,1883,4399,2678,1721,4208,2447,1761,3983,2275,1708,4476,2413,2063,4606,2446,2160,4912,2454,2458,4589,2275,2314,4186,2018,2168,3545,1611,1934,2722,1202,1520,1882,765,1117,1940,645,1295,41.5,39,44.8
