SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,25,1,Massachusetts,Barnstable County,1,215888,102854,113034,8854,4465,4389,18598,9456,9142,9797,5072,4725,14097,7800,6297,183704,86463,97241,178639,83861,94778,62245,31603,30642,40658,19929,20729,70005,32941,37064,53879,23191,30688,8854,4465,4389,9874,4958,4916,11031,5696,5335,12008,6417,5591,9579,5257,4322,9125,4711,4414,8631,4269,4362,9960,4860,5100,12942,6089,6853,16401,7833,8568,17962,8529,9433,17608,8240,9368,18034,8339,9695,15034,6825,8209,11745,5306,6439,10341,4569,5772,8439,3608,4831,8320,2883,5437,49.9,48.1,51.4
50,25,1,Massachusetts,Barnstable County,2,215883,102855,113028,8855,4466,4389,18600,9458,9142,9798,5072,4726,14095,7800,6295,183695,86461,97234,178630,83859,94771,62244,31604,30640,40659,19930,20729,70004,32941,37063,53872,23188,30684,8855,4466,4389,9875,4959,4916,11033,5697,5336,12008,6417,5591,9577,5257,4320,9123,4711,4412,8631,4268,4363,9960,4860,5100,12945,6091,6854,16401,7833,8568,17960,8528,9432,17609,8241,9368,18034,8339,9695,15032,6824,8208,11743,5305,6438,10339,4568,5771,8440,3608,4832,8318,2883,5435,49.9,48.1,51.4
50,25,1,Massachusetts,Barnstable County,3,215909,102883,113026,8854,4473,4381,18520,9424,9096,9724,5034,4690,14206,7840,6366,183846,86546,97300,178811,83952,94859,62174,31579,30595,40534,19889,20645,70051,32965,37086,54020,23258,30762,8854,4473,4381,9835,4952,4883,10975,5656,5319,11965,6380,5585,9675,5310,4365,9188,4748,4440,8698,4316,4382,9776,4766,5010,12872,6059,6813,16305,7781,8524,17923,8519,9404,17670,8251,9419,18153,8414,9739,15124,6874,8250,11802,5328,6474,10270,4544,5726,8457,3609,4848,8367,2903,5464,49.9,48.2,51.5
50,25,1,Massachusetts,Barnstable County,4,215389,102635,112754,8767,4399,4368,18118,9196,8922,9434,4891,4543,14724,8146,6578,183970,86708,97262,179070,84149,94921,61738,31462,30276,39809,19574,20235,69947,32924,37023,54590,23505,31085,8767,4399,4368,9597,4842,4755,10750,5503,5247,11759,6281,5478,10170,5607,4563,9337,4829,4508,9031,4507,4524,8949,4374,4575,12492,5864,6628,15585,7462,8123,17812,8479,9333,17736,8241,9495,18814,8742,10072,15486,7062,8424,12079,5438,6641,10150,4483,5667,8468,3599,4869,8407,2923,5484,50.4,48.5,52
50,25,1,Massachusetts,Barnstable County,5,214854,102557,112297,8628,4374,4254,17686,8956,8730,9180,4754,4426,15025,8352,6673,184075,86926,97149,179360,84473,94887,61081,31336,29745,39104,19384,19720,68639,32188,36451,56592,24549,32043,8628,4374,4254,9401,4757,4644,10513,5353,5160,11411,6130,5281,10566,5822,4744,9200,4738,4462,9321,4724,4597,8694,4315,4379,11889,5607,6282,14841,7038,7803,17545,8337,9208,17927,8336,9591,18326,8477,9849,16833,7753,9080,12636,5673,6963,10031,4477,5554,8465,3619,4846,8627,3027,5600,50.9,49,52.5
50,25,1,Massachusetts,Barnstable County,6,214609,102325,112284,8330,4240,4090,17485,8797,8688,8942,4599,4343,15363,8555,6808,184412,87035,97377,179852,84689,95163,60637,31150,29487,38481,19106,19375,67877,31673,36204,58131,25355,32776,8330,4240,4090,9378,4700,4678,10256,5207,5049,11141,5989,5152,11015,6055,4960,9082,4633,4449,9414,4794,4620,8733,4320,4413,11252,5359,5893,14132,6627,7505,17458,8248,9210,17972,8374,9598,18315,8424,9891,17608,8148,9460,13430,6035,7395,10031,4503,5528,8333,3565,4768,8729,3104,5625,51.4,49.5,53
50,25,1,Massachusetts,Barnstable County,7,214398,102388,112010,8126,4214,3912,17260,8639,8621,8830,4556,4274,15400,8545,6855,184708,87324,97384,180182,84979,95203,60210,31092,29118,38102,19082,19020,67211,31343,35868,59469,26009,33460,8126,4214,3912,9267,4615,4652,10115,5115,5000,10894,5862,5032,11214,6148,5066,9255,4783,4472,9381,4767,4614,8901,4427,4474,10565,5105,5460,13410,6274,7136,17025,8022,9003,18311,8566,9745,18465,8481,9984,18378,8488,9890,14084,6323,7761,10183,4600,5583,8096,3432,4664,8728,3166,5562,51.9,49.9,53.5
50,25,1,Massachusetts,Barnstable County,8,214015,102169,111846,7923,4079,3844,17035,8583,8452,8666,4439,4227,15508,8580,6928,184877,87382,97495,180391,85068,95323,59689,30820,28869,37562,18826,18736,66630,30988,35642,60691,26674,34017,7923,4079,3844,9094,4596,4498,9988,5012,4976,10782,5798,4984,11345,6196,5149,9326,4834,4492,9367,4749,4618,9022,4451,4571,9847,4792,5055,12883,5980,6903,16491,7808,8683,18522,8645,9877,18734,8555,10179,19071,8847,10224,14667,6656,8011,10315,4619,5696,7907,3340,4567,8731,3212,5519,52.4,50.4,54
50,25,1,Massachusetts,Barnstable County,9,213805,102193,111612,7855,4045,3810,16673,8397,8276,8534,4332,4202,15425,8613,6812,185113,87668,97445,180743,85419,95324,59168,30636,28532,37296,18731,18565,65900,30615,35285,62122,27460,34662,7855,4045,3810,8902,4486,4416,9858,4951,4907,10594,5692,4902,11278,6213,5065,9567,4984,4583,9339,4694,4645,9285,4609,4676,9105,4444,4661,12657,5873,6784,15784,7458,8326,18492,8661,9831,18967,8623,10344,19809,9184,10625,15138,6946,8192,10665,4756,5909,7836,3379,4457,8674,3195,5479,52.8,50.8,54.5
50,25,1,Massachusetts,Barnstable County,10,213856,102263,111593,7848,4072,3776,16414,8278,8136,8390,4245,4145,15190,8485,6705,185487,87854,97633,181204,85668,95536,59164,30625,28539,37591,18910,18681,64823,30102,34721,63600,28171,35429,7848,4072,3776,8767,4424,4343,9654,4869,4785,10465,5597,4868,11108,6118,4990,9905,5167,4738,9177,4589,4588,9585,4805,4780,8924,4349,4575,12115,5660,6455,15198,7155,8043,18235,8530,9705,19275,8757,10518,19602,9054,10548,16622,7671,8951,11111,4947,6164,7640,3337,4303,8625,3162,5463,53.3,51.2,54.9
