SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,33,1,New Hampshire,Belknap County,1,60088,29480,30608,3047,1499,1548,6234,3189,3045,3200,1665,1535,4007,2078,1929,49265,24025,25240,47607,23127,24480,20309,10096,10213,13852,6739,7113,19691,9643,10048,10057,4667,5390,3047,1499,1548,3296,1678,1618,3688,1897,1791,3742,1959,1783,2715,1398,1317,3139,1516,1623,3050,1489,1561,3548,1712,1836,4115,2022,2093,4929,2421,2508,5220,2528,2692,4959,2473,2486,4583,2221,2362,3259,1652,1607,2198,1073,1125,1720,813,907,1436,621,815,1444,508,936,44.7,44,45.3
50,33,1,New Hampshire,Belknap County,2,60075,29475,30600,3048,1500,1548,6236,3191,3045,3198,1664,1534,4003,2075,1928,49249,24017,25232,47593,23120,24473,20308,10094,10214,13857,6741,7116,19682,9639,10043,10051,4665,5386,3048,1500,1548,3296,1678,1618,3690,1899,1791,3739,1957,1782,2712,1396,1316,3139,1516,1623,3051,1489,1562,3550,1713,1837,4117,2023,2094,4930,2422,2508,5217,2526,2691,4954,2472,2482,4581,2219,2362,3259,1653,1606,2196,1073,1123,1717,811,906,1435,620,815,1444,508,936,44.7,44,45.3
50,33,1,New Hampshire,Belknap County,3,60101,29493,30608,3045,1506,1539,6204,3176,3028,3185,1646,1539,4030,2100,1930,49313,24041,25272,47667,23165,24502,20261,10076,10185,13800,6713,7087,19725,9653,10072,10112,4699,5413,3045,1506,1539,3293,1678,1615,3665,1881,1784,3732,1950,1782,2729,1413,1316,3138,1510,1628,3068,1494,1574,3507,1698,1809,4087,2011,2076,4887,2408,2479,5228,2530,2698,4972,2470,2502,4638,2245,2393,3291,1668,1623,2214,1077,1137,1715,815,900,1440,622,818,1452,517,935,44.8,44.1,45.4
50,33,1,New Hampshire,Belknap County,4,60339,29634,30705,3027,1499,1528,6134,3162,2972,3124,1577,1547,4165,2213,1952,49652,24203,25449,48054,23396,24658,20206,10069,10137,13675,6651,7024,19838,9714,10124,10376,4818,5558,3027,1499,1528,3287,1687,1600,3605,1847,1758,3661,1902,1759,2870,1516,1354,3183,1539,1644,3204,1549,1655,3304,1605,1699,3984,1958,2026,4681,2309,2372,5308,2590,2718,5021,2466,2555,4828,2349,2479,3418,1738,1680,2306,1095,1211,1743,829,914,1433,624,809,1476,532,944,45.1,44.3,45.7
50,33,1,New Hampshire,Belknap County,5,60450,29676,30774,2963,1472,1491,6096,3127,2969,3085,1558,1527,4290,2262,2028,49868,24308,25560,48306,23519,24787,20148,10034,10114,13526,6598,6928,19550,9551,9999,10940,5108,5832,2963,1472,1491,3299,1684,1615,3550,1827,1723,3587,1855,1732,3035,1581,1454,3136,1541,1595,3296,1593,1703,3187,1553,1634,3907,1911,1996,4479,2186,2293,5282,2608,2674,5103,2455,2648,4686,2302,2384,3828,1924,1904,2410,1166,1244,1775,838,937,1399,622,777,1528,558,970,45.3,44.5,46.1
50,33,1,New Hampshire,Belknap County,6,60257,29635,30622,2883,1447,1436,6020,3077,2943,2975,1551,1424,4264,2228,2036,49888,24322,25566,48379,23560,24819,19817,9900,9917,13300,6517,6783,19338,9465,9873,11477,5350,6127,2883,1447,1436,3271,1668,1603,3471,1805,1666,3443,1770,1673,3074,1613,1461,3099,1550,1549,3256,1563,1693,3146,1559,1587,3799,1845,1954,4316,2096,2220,5194,2563,2631,5153,2493,2660,4675,2313,2362,4076,2006,2070,2648,1295,1353,1764,846,918,1412,623,789,1577,580,997,45.9,45,46.7
50,33,1,New Hampshire,Belknap County,7,60313,29648,30665,2808,1409,1399,5977,3059,2918,2982,1546,1436,4322,2252,2070,50070,24410,25660,48546,23634,24912,19583,9792,9791,13005,6367,6638,19254,9424,9830,11965,5591,6374,2808,1409,1399,3205,1631,1574,3498,1801,1697,3422,1785,1637,3156,1640,1516,2979,1509,1470,3268,1564,1704,3147,1556,1591,3611,1738,1873,4156,2037,2119,5132,2503,2629,5154,2481,2673,4812,2403,2409,4288,2087,2201,2840,1418,1422,1808,870,938,1393,612,781,1636,604,1032,46.3,45.5,47.2
50,33,1,New Hampshire,Belknap County,8,60408,29745,30663,2731,1374,1357,5968,3049,2919,2921,1535,1386,4387,2288,2099,50280,24584,25696,48788,23787,25001,19564,9824,9740,12953,6355,6598,19181,9375,9806,12267,5769,6498,2731,1374,1357,3228,1613,1615,3437,1790,1647,3432,1808,1624,3179,1661,1518,2983,1521,1462,3256,1564,1692,3208,1569,1639,3506,1701,1805,4057,1994,2063,4998,2465,2533,5157,2490,2667,4969,2426,2543,4458,2180,2278,2962,1478,1484,1898,897,1001,1366,622,744,1583,592,991,46.6,45.7,47.4
50,33,1,New Hampshire,Belknap County,9,60774,29970,30804,2735,1386,1349,5871,2975,2896,2882,1494,1388,4404,2312,2092,50753,24885,25868,49286,24115,25171,19568,9866,9702,12979,6417,6562,19157,9367,9790,12746,6019,6727,2735,1386,1349,3166,1585,1581,3402,1747,1655,3370,1760,1610,3219,1689,1530,3083,1612,1471,3172,1544,1628,3358,1623,1735,3366,1638,1728,3880,1914,1966,4853,2381,2472,5334,2609,2725,5090,2463,2627,4642,2259,2383,3115,1594,1521,1972,915,1057,1375,631,744,1642,620,1022,47,46.1,47.8
50,33,1,New Hampshire,Belknap County,10,60907,30068,30839,2753,1411,1342,5785,2909,2876,2801,1458,1343,4281,2254,2027,50988,25024,25964,49568,24290,25278,19552,9904,9648,13130,6535,6595,19053,9283,9770,13104,6218,6886,2753,1411,1342,3072,1543,1529,3373,1709,1664,3259,1735,1524,3163,1634,1529,3266,1682,1584,3211,1603,1608,3381,1644,1737,3272,1606,1666,3849,1877,1972,4597,2240,2357,5380,2656,2724,5227,2510,2717,4528,2194,2334,3465,1764,1701,2100,995,1105,1394,634,760,1617,631,986,47.3,46.3,48.2
