SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,34,1,New Jersey,Atlantic County,1,274549,133175,141374,16484,8403,8081,31522,16284,15238,15882,8098,7784,25489,12816,12673,218680,104491,114189,210661,100390,110271,105054,51765,53289,67549,32788,34761,78721,38241,40480,38902,16545,22357,16484,8403,8081,17074,8846,8228,18314,9375,8939,19854,10139,9715,17651,8838,8813,15893,7895,7998,15350,7432,7918,17105,8164,8941,19201,9297,9904,22230,10907,11323,22390,10817,11573,18272,8884,9388,15829,7633,8196,12034,5548,6486,9054,4085,4969,7035,3060,3975,5567,2221,3346,5212,1631,3581,39.9,38.6,41
50,34,1,New Jersey,Atlantic County,2,274532,133165,141367,16485,8403,8082,31521,16284,15237,15882,8097,7785,25490,12817,12673,218663,104482,114181,210644,100381,110263,105051,51764,53287,67544,32786,34758,78712,38235,40477,38898,16543,22355,16485,8403,8082,17071,8845,8226,18315,9375,8940,19855,10139,9716,17652,8839,8813,15891,7894,7997,15350,7433,7917,17104,8164,8940,19199,9295,9904,22231,10907,11324,22385,10815,11570,18270,8881,9389,15826,7632,8194,12032,5546,6486,9055,4086,4969,7034,3060,3974,5566,2220,3346,5211,1631,3580,39.9,38.6,41
50,34,1,New Jersey,Atlantic County,3,274654,133211,141443,16434,8381,8053,31428,16226,15202,15813,8075,7738,25565,12857,12708,219012,104647,114365,210979,100529,110450,104922,51677,53245,67365,32676,34689,78980,38342,40638,39069,16654,22415,16434,8381,8053,17020,8797,8223,18229,9360,8869,19784,10090,9694,17773,8911,8862,15985,7937,8048,15358,7437,7921,16914,8068,8846,19108,9234,9874,22133,10844,11289,22397,10830,11567,18485,8968,9517,15965,7700,8265,12117,5599,6518,9075,4108,4967,7041,3069,3972,5567,2227,3340,5269,1651,3618,40,38.7,41.1
50,34,1,New Jersey,Atlantic County,4,274635,133065,141570,16466,8356,8110,31060,16002,15058,15440,7887,7553,25907,13062,12845,219672,104933,114739,211669,100820,110849,104247,51292,52955,66554,32212,34342,79510,38477,41033,39698,17069,22629,16466,8356,8110,16868,8679,8189,17846,9192,8654,19390,9861,9529,18303,9219,9084,16268,8074,8194,15430,7459,7971,15995,7617,8378,18861,9062,9799,21443,10432,11011,22379,10834,11545,19232,9262,9970,16456,7949,8507,12424,5779,6645,9226,4205,5021,7122,3110,4012,5578,2245,3333,5348,1730,3618,40.2,38.8,41.3
50,34,1,New Jersey,Atlantic County,5,274657,133109,141548,16511,8406,8105,30762,15861,14901,14895,7596,7299,26085,13178,12907,220175,105128,115047,212489,101246,111243,103176,50774,52402,65757,31839,33918,79301,38338,40963,41346,17891,23455,16511,8406,8105,16727,8602,8125,17596,9098,8498,18832,9600,9232,18587,9335,9252,16133,8013,8120,15605,7521,8084,15477,7457,8020,18542,8848,9694,20778,10066,10712,22276,10813,11463,19948,9603,10345,16299,7856,8443,13420,6354,7066,9627,4332,5295,7227,3162,4065,5557,2233,3324,5515,1810,3705,40.5,39,41.7
50,34,1,New Jersey,Atlantic County,6,274360,132938,141422,16335,8307,8028,30442,15615,14827,14423,7388,7035,26529,13410,13119,220516,105360,115156,213160,101628,111532,102765,50703,52062,65323,31708,33615,78917,38056,40861,42391,18454,23937,16335,8307,8028,16578,8477,8101,17374,8941,8433,18436,9440,8996,19006,9555,9451,16404,8237,8167,15637,7557,8080,15355,7425,7930,17927,8489,9438,19807,9546,10261,22015,10711,11304,20623,9875,10748,16472,7924,8548,13768,6572,7196,10197,4614,5583,7428,3256,4172,5444,2216,3228,5554,1796,3758,40.6,39,42
50,34,1,New Jersey,Atlantic County,7,272634,132075,140559,16109,8210,7899,29888,15265,14623,14224,7339,6885,26166,13216,12950,219565,104958,114607,212413,101261,111152,101076,49977,51099,64271,31261,33010,78507,37814,40693,43469,18970,24499,16109,8210,7899,16473,8360,8113,17000,8744,8256,17841,9126,8715,18964,9590,9374,16351,8221,8130,15597,7602,7995,15091,7283,7808,17232,8155,9077,18916,9079,9837,21721,10561,11160,21009,10093,10916,16861,8081,8780,14238,6761,7477,10597,4798,5799,7594,3334,4260,5370,2230,3140,5670,1847,3823,40.9,39.3,42.4
50,34,1,New Jersey,Atlantic County,8,270206,130806,139400,15770,7991,7779,29358,15010,14348,13958,7226,6732,25618,12844,12774,218085,104214,113871,211120,100579,110541,99151,49095,50056,63004,30795,32209,78002,37444,40558,44496,19496,25000,15770,7991,7779,16045,8146,7899,16742,8634,8108,17397,8914,8483,18750,9386,9364,16432,8304,8128,15213,7472,7741,15031,7269,7762,16328,7750,8578,18356,8790,9566,21103,10161,10942,21185,10129,11056,17358,8364,8994,14678,6980,7698,10897,4946,5951,7776,3423,4353,5348,2233,3115,5797,1914,3883,41.2,39.5,42.8
50,34,1,New Jersey,Atlantic County,9,267212,129326,137886,15162,7691,7471,28961,14745,14216,13724,7086,6638,24829,12478,12351,216354,103429,112925,209365,99804,109561,96913,48149,48764,61704,30303,31401,77334,37006,40328,45498,20017,25481,15162,7691,7471,15864,8019,7845,16441,8444,7997,17081,8805,8276,18128,9041,9087,16450,8396,8054,15049,7429,7620,14770,7127,7643,15435,7351,8084,18025,8575,9450,20309,9747,10562,21021,10090,10931,17979,8594,9385,15076,7125,7951,11199,5140,6059,7925,3513,4412,5462,2299,3163,5836,1940,3896,41.6,39.8,43.2
50,34,1,New Jersey,Atlantic County,10,265446,128555,136891,14667,7477,7190,28778,14706,14072,13504,6937,6567,24227,12236,11991,215447,103027,112420,208497,99435,109062,95531,47603,47928,61035,30083,30952,76592,36514,40078,46643,20602,26041,14667,7477,7190,15782,8087,7695,16231,8272,7959,16883,8703,8180,17613,8817,8796,16568,8419,8149,15019,7467,7552,14682,7077,7605,14766,7120,7646,17739,8359,9380,19552,9343,10209,20808,9989,10819,18493,8823,9670,14912,7039,7873,12011,5593,6418,8240,3600,4640,5617,2372,3245,5863,1998,3865,41.8,40,43.5
