SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,35,1,New Mexico,Bernalillo County,1,662564,324460,338104,45277,23255,22022,79078,40038,39040,34775,17682,17093,68885,34700,34185,521040,252426,268614,503434,243485,259949,275425,138501,136924,180224,90409,89815,173311,83446,89865,81014,34930,46084,45277,23255,22022,44604,22518,22086,42933,21810,21123,45501,23096,22405,49700,24996,24704,50788,25508,25280,45298,22888,22410,42036,21074,20962,42102,20939,21163,47146,23292,23854,46984,22519,24465,42535,20025,22510,36646,17610,19036,25325,11842,13483,18650,8348,10302,14740,6434,8306,11318,4560,6758,10981,3746,7235,35.8,34.6,37.2
50,35,1,New Mexico,Bernalillo County,2,662469,324416,338053,45276,23253,22023,79061,40030,39031,34768,17679,17089,68872,34696,34176,520965,252393,268572,503364,243454,259910,275387,138487,136900,180204,90401,89803,173287,83434,89853,81001,34923,46078,45276,23253,22023,44598,22513,22085,42920,21806,21114,45490,23093,22397,49693,24993,24700,50781,25503,25278,45295,22886,22409,42035,21074,20961,42093,20938,21155,47136,23286,23850,46978,22517,24461,42529,20020,22509,36644,17611,19033,25321,11839,13482,18645,8346,10299,14737,6432,8305,11317,4560,6757,10981,3746,7235,35.8,34.6,37.2
50,35,1,New Mexico,Bernalillo County,3,663940,325116,338824,45235,23241,21994,79206,40122,39084,34692,17639,17053,68656,34604,34052,522412,253081,269331,504807,244114,260693,275665,138647,137018,180748,90654,90094,173882,83666,90216,81521,35190,46331,45235,23241,21994,44596,22506,22090,43041,21866,21175,45235,22988,22247,49682,25005,24677,50898,25554,25344,45718,23078,22640,42005,21049,20956,42127,20973,21154,46848,23120,23728,47126,22625,24501,42829,20139,22690,37079,17782,19297,25533,11927,13606,18827,8460,10367,14733,6432,8301,11372,4592,6780,11056,3779,7277,35.9,34.6,37.2
50,35,1,New Mexico,Bernalillo County,4,670356,328260,342096,44792,22850,21942,79870,40580,39290,34427,17505,16922,68336,34505,33831,528784,256309,272475,511267,247325,263942,277331,139552,137779,183032,91798,91234,176028,84642,91386,83871,36380,47491,44792,22850,21942,44757,22652,22105,43577,22184,21393,43993,22359,21634,50306,25395,24911,51656,25922,25734,47164,23745,23419,41686,20935,20751,42526,21196,21330,45494,22439,23055,47660,23045,24615,43892,20601,23291,38982,18557,20425,26644,12464,14180,19594,8860,10734,14798,6489,8309,11547,4694,6853,11288,3873,7415,36.1,34.8,37.4
50,35,1,New Mexico,Bernalillo County,5,673725,330244,343481,43613,22219,21394,80328,40947,39381,34140,17430,16710,67624,34225,33399,532848,258455,274393,515644,249648,265996,278064,140121,137943,184738,92780,91958,175314,84305,91009,87968,38338,49630,43613,22219,21394,44982,22905,22077,43784,22356,21428,43204,22011,21193,50122,25330,24792,52005,26261,25744,48618,24494,24124,41531,20875,20656,42584,21150,21434,43826,21617,22209,47567,23067,24500,44696,21064,23632,39225,18557,20668,29334,13742,15592,20445,9279,11166,15022,6571,8451,11670,4779,6891,11497,3967,7530,36.3,34.9,37.6
50,35,1,New Mexico,Bernalillo County,6,676467,331778,344689,42774,21889,20885,80301,41055,39246,34039,17375,16664,66765,33848,32917,536351,260105,276246,519353,251459,267894,278636,140644,137992,186441,93811,92630,174370,83632,90738,91777,40168,51609,42774,21889,20885,44818,22972,21846,44092,22473,21619,42743,21840,20903,49452,24993,24459,52086,26325,25761,49815,25183,24632,42025,21100,20925,42515,21203,21312,42299,20848,21451,47285,22986,24299,44966,21132,23834,39820,18666,21154,31163,14620,16543,21672,9878,11794,15538,6763,8775,11653,4852,6801,11751,4055,7696,36.4,35,37.9
50,35,1,New Mexico,Bernalillo County,7,676120,331418,344702,41497,21238,20259,79340,40360,38980,34323,17549,16774,65193,33066,32127,537961,260982,276979,520960,252271,268689,277251,140043,137208,186476,93856,92620,173886,83312,90574,95405,42037,53368,41497,21238,20259,44160,22540,21620,43921,22248,21673,42462,21696,20766,48313,24491,23822,51980,26307,25673,50169,25403,24766,42871,21497,21374,41456,20649,20807,41457,20378,21079,46640,22710,23930,45294,21410,23884,40495,18814,21681,33132,15633,17499,22530,10286,12244,16131,7006,9125,11635,4879,6756,11977,4233,7744,36.7,35.4,38.2
50,35,1,New Mexico,Bernalillo County,8,676440,331470,344970,40524,20856,19668,78500,39894,38606,34419,17614,16805,63759,32485,31274,539918,261820,278098,522997,253106,269891,276133,139459,136674,186695,93831,92864,173327,82923,90404,99216,43867,55349,40524,20856,19668,43623,22250,21373,43617,22115,21502,42397,21599,20798,47041,24029,23012,51791,26158,25633,50258,25292,24966,43927,22155,21772,40719,20226,20493,40989,20200,20789,45499,22120,23379,45659,21626,24033,41180,18977,22203,34969,16528,18441,23493,10732,12761,16623,7288,9335,11745,4914,6831,12386,4405,7981,37,35.7,38.5
50,35,1,New Mexico,Bernalillo County,9,677883,332255,345628,39866,20552,19314,77614,39382,38232,34609,17612,16997,62527,31987,30540,543140,263526,279614,525794,254709,271085,276014,139577,136437,187462,94357,93105,172988,82881,90107,102817,45484,57333,39866,20552,19314,42851,21850,21001,43347,21911,21436,42662,21758,20904,45890,23462,22428,51902,26310,25592,50458,25476,24982,44951,22617,22334,40151,19954,20197,41112,20312,20800,43868,21255,22613,45982,22005,23977,42026,19309,22717,36653,17162,19491,24404,11135,13269,17320,7679,9641,11802,4984,6818,12638,4524,8114,37.3,36,38.7
50,35,1,New Mexico,Bernalillo County,10,678280,332505,345775,38845,19923,18922,76426,39056,37370,34721,17604,17117,61670,31375,30295,545670,264790,280880,528288,255922,272366,275826,139708,136118,188214,95075,93139,171452,82175,89277,106952,47297,59655,38845,19923,18922,41906,21427,20479,43299,21975,21324,42664,21788,20876,44948,22845,22103,51904,26511,25393,50103,25388,24715,46380,23285,23095,39827,19891,19936,41031,20125,20906,42143,20433,21710,45661,21996,23665,42617,19621,22996,36973,17167,19806,27080,12400,14680,17972,7951,10021,12107,5126,6981,12820,4653,8167,37.6,36.3,39.1
