SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,37,1,North Carolina,Alamance County,1,151131,71890,79241,9524,4846,4678,17975,9235,8740,7944,4028,3916,15960,7526,8434,119733,55848,63885,115688,53781,61907,59822,28731,31091,37840,18146,19694,39807,19015,20792,22081,9094,12987,9524,4846,4678,9889,5126,4763,10008,5078,4930,11100,5412,5688,10882,5173,5709,8450,4006,4444,8714,4117,4597,9965,4771,5194,10711,5252,5459,11190,5465,5725,10701,5245,5456,9378,4376,5002,8538,3929,4609,6567,3031,3536,4861,2124,2737,4145,1730,2415,3317,1233,2084,3191,976,2215,38.7,37.5,39.7
50,37,1,North Carolina,Alamance County,2,151160,71907,79253,9525,4847,4678,17969,9230,8739,7947,4034,3913,15962,7526,8436,119767,55867,63900,115719,53796,61923,59828,28740,31088,37842,18149,19693,39823,19021,20802,22092,9100,12992,9525,4847,4678,9885,5123,4762,10007,5076,4931,11099,5416,5683,10887,5175,5712,8446,4004,4442,8721,4121,4600,9968,4775,5193,10707,5249,5458,11192,5466,5726,10707,5250,5457,9384,4377,5007,8540,3928,4612,6570,3033,3537,4859,2122,2737,4150,1732,2418,3318,1233,2085,3195,980,2215,38.7,37.5,39.7
50,37,1,North Carolina,Alamance County,3,151437,72040,79397,9545,4874,4671,17975,9216,8759,7949,4021,3928,15963,7549,8414,120020,55988,64032,115968,53929,62039,59800,28709,31091,37815,18111,19704,40016,19125,20891,22174,9144,13030,9545,4874,4671,9851,5091,4760,10051,5097,4954,11072,5404,5668,10913,5194,5719,8474,4006,4468,8703,4106,4597,9905,4740,5165,10733,5259,5474,11235,5498,5737,10717,5249,5468,9469,4417,5052,8595,3961,4634,6616,3052,3564,4883,2125,2758,4142,1735,2407,3308,1240,2068,3225,992,2233,38.7,37.6,39.7
50,37,1,North Carolina,Alamance County,4,152712,72648,80064,9427,4920,4507,18097,9265,8832,8050,4041,4009,16076,7614,8462,121242,56471,64771,117138,54422,62716,59694,28563,31131,37587,17933,19654,40930,19584,21346,22545,9291,13254,9427,4920,4507,9850,5054,4796,10266,5236,5030,11053,5383,5670,11054,5247,5807,8523,4029,4494,8690,4076,4614,9492,4504,4988,10882,5324,5558,11272,5556,5716,10885,5293,5592,9831,4597,5234,8942,4138,4804,6779,3092,3687,5015,2167,2848,4189,1763,2426,3251,1242,2009,3311,1027,2284,39.1,37.8,40.1
50,37,1,North Carolina,Alamance County,5,153299,72836,80463,9219,4793,4426,18136,9280,8856,8016,4049,3967,16031,7568,8463,121870,56692,65178,117928,54714,63214,59358,28379,30979,37369,17813,19556,41140,19658,21482,23388,9675,13713,9219,4793,4426,9956,5098,4858,10238,5233,5005,10975,5360,5615,11014,5206,5808,8707,4103,4604,8684,4079,4605,9147,4367,4780,10831,5264,5567,11147,5452,5695,11004,5310,5694,10177,4829,5348,8812,4067,4745,7319,3310,4009,5247,2300,2947,4225,1777,2448,3223,1237,1986,3374,1051,2323,39.3,37.9,40.5
50,37,1,North Carolina,Alamance County,6,154209,73400,80809,9058,4725,4333,18222,9404,8818,8168,4123,4045,15700,7425,8275,122801,57172,65629,118761,55148,63613,59473,28483,30990,37641,17951,19690,41237,19731,21506,24183,10041,14142,9058,4725,4333,9899,5079,4820,10359,5341,5018,11177,5456,5721,10655,5076,5579,9061,4330,4731,8779,4142,4637,9041,4291,4750,10760,5188,5572,10927,5280,5647,11147,5378,5769,10365,4996,5369,8798,4077,4721,7642,3451,4191,5596,2451,3145,4264,1801,2463,3257,1264,1993,3424,1074,2350,39.5,38,40.8
50,37,1,North Carolina,Alamance County,7,155439,73998,81441,9088,4751,4337,18043,9315,8728,8401,4264,4137,15397,7295,8102,124085,57794,66291,119907,55668,64239,59607,28578,31029,37970,18116,19854,41617,19875,21742,24923,10382,14541,9088,4751,4337,9880,5070,4810,10324,5342,4982,11348,5507,5841,10289,4955,5334,9726,4649,5077,8748,4163,4585,9052,4298,4754,10444,5006,5438,10805,5217,5588,11389,5507,5882,10450,5000,5450,8973,4151,4822,7996,3609,4387,5859,2584,3275,4292,1782,2510,3297,1311,1986,3479,1096,2383,39.6,38.1,41
50,37,1,North Carolina,Alamance County,8,157104,74655,82449,9092,4712,4380,18183,9347,8836,8551,4325,4226,15241,7225,8016,125518,58377,67141,121278,56271,65007,59831,28599,31232,38155,18150,20005,42287,20167,22120,25595,10729,14866,9092,4712,4380,10062,5148,4914,10237,5300,4937,11612,5612,6000,10064,4837,5227,10080,4831,5249,8928,4200,4728,9031,4280,4751,10116,4839,5277,10901,5257,5644,11360,5494,5866,10791,5185,5606,9235,4231,5004,8269,3722,4547,6157,2751,3406,4359,1820,2539,3285,1288,1997,3525,1148,2377,39.7,38.2,41.1
50,37,1,North Carolina,Alamance County,9,160358,76168,84190,9278,4765,4513,18244,9410,8834,8492,4351,4141,16801,7834,8967,128637,59798,68839,124344,57642,66702,61437,29286,32151,38225,18194,20031,43069,20606,22463,26249,11008,15241,9278,4765,4513,10050,5218,4832,10275,5285,4990,12609,6067,6542,10603,5025,5578,10325,4917,5408,9139,4347,4792,9017,4256,4761,9744,4674,5070,11147,5425,5722,11384,5535,5849,10939,5194,5745,9599,4452,5147,8549,3852,4697,6342,2815,3527,4486,1863,2623,3373,1335,2038,3499,1143,2356,39.4,37.9,40.7
50,37,1,North Carolina,Alamance County,10,163326,77680,85646,9467,4889,4578,18382,9435,8947,8686,4492,4194,16981,7905,9076,131223,61139,70084,126791,58864,67927,62491,29879,32612,38940,18579,20361,43836,21020,22816,27034,11360,15674,9467,4889,4578,10050,5165,4885,10448,5367,5081,12809,6192,6617,10742,5108,5634,10641,5062,5579,9508,4581,4927,9300,4374,4926,9491,4562,4929,11119,5398,5721,11428,5570,5858,11195,5318,5877,10094,4734,5360,8438,3783,4655,6853,3003,3850,4748,2015,2733,3435,1374,2061,3560,1185,2375,39.3,37.8,40.6
50,37,1,North Carolina,Alamance County,11,166516,79117,87399,9672,4975,4697,18688,9578,9110,8665,4452,4213,17587,8173,9414,133907,62377,71530,129491,60112,69379,63960,30572,33388,39823,19014,20809,44124,21108,23016,27957,11817,16140,9672,4975,4697,10157,5234,4923,10646,5411,5235,13058,6322,6736,11079,5236,5843,10785,5107,5678,9990,4860,5130,9491,4469,5022,9557,4578,4979,11037,5335,5702,11300,5425,5875,11431,5452,5979,10356,4896,5460,8514,3829,4685,7250,3190,4060,5084,2149,2935,3482,1407,2075,3627,1242,2385,39.1,37.7,40.4
