SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,39,1,Ohio,Adams County,1,28550,14095,14455,1924,1001,923,3610,1793,1817,1601,795,806,2260,1131,1129,22243,10916,11327,21415,10506,10909,10471,5202,5269,6980,3459,3521,7945,3978,3967,4230,1938,2292,1924,1001,923,2000,1038,962,1980,938,1042,1964,992,972,1527,751,776,1503,720,783,1649,805,844,1868,940,928,1960,994,966,2094,1019,1075,2170,1083,1087,1977,1001,976,1704,875,829,1408,679,729,1043,517,526,783,350,433,548,241,307,448,151,297,39.6,39.3,40
50,39,1,Ohio,Adams County,2,28532,14079,14453,1924,1001,923,3611,1789,1822,1595,791,804,2255,1127,1128,22226,10906,11320,21402,10498,10904,10458,5196,5262,6976,3459,3517,7942,3973,3969,4229,1939,2290,1924,1001,923,2003,1037,966,1976,933,1043,1958,988,970,1524,749,775,1504,720,784,1651,808,843,1866,938,928,1955,993,962,2093,1018,1075,2170,1082,1088,1977,1001,976,1702,872,830,1406,679,727,1043,517,526,784,351,433,548,241,307,448,151,297,39.6,39.3,40
50,39,1,Ohio,Adams County,3,28530,14075,14455,1915,998,917,3633,1806,1827,1582,776,806,2260,1133,1127,22224,10899,11325,21400,10495,10905,10444,5184,5260,6967,3452,3515,7946,3968,3978,4227,1942,2285,1915,998,917,2007,1040,967,1991,943,1048,1936,973,963,1541,759,782,1498,718,780,1663,816,847,1847,923,924,1959,995,964,2087,1011,1076,2159,1075,1084,1993,1007,986,1707,875,832,1388,672,716,1054,523,531,782,352,430,552,243,309,451,152,299,39.7,39.3,40
50,39,1,Ohio,Adams County,4,28454,14039,14415,1858,956,902,3678,1859,1819,1554,740,814,2252,1131,1121,22169,10871,11298,21364,10484,10880,10274,5097,5177,6852,3407,3445,7975,3969,4006,4285,1977,2308,1858,956,902,2015,1058,957,2047,982,1065,1839,912,927,1583,778,805,1458,710,748,1651,821,830,1754,861,893,1989,1015,974,2029,984,1045,2148,1057,1091,2023,1020,1003,1775,908,867,1366,669,697,1107,552,555,801,368,433,556,233,323,455,155,300,40.1,39.7,40.4
50,39,1,Ohio,Adams County,5,28288,13957,14331,1793,916,877,3653,1864,1789,1538,734,804,2231,1094,1137,22056,10809,11247,21304,10443,10861,10125,5005,5120,6757,3365,3392,7898,3935,3963,4418,2049,2369,1793,916,877,2013,1049,964,2041,1003,1038,1748,854,894,1620,786,834,1474,741,733,1596,786,810,1704,829,875,1983,1009,974,1950,953,997,2132,1047,1085,2045,1038,1007,1771,897,874,1464,732,732,1137,549,588,817,379,438,547,222,325,453,167,286,40.4,40.1,40.8
50,39,1,Ohio,Adams County,6,28085,13876,14209,1745,908,837,3585,1832,1753,1532,740,792,2174,1059,1115,21957,10756,11201,21223,10396,10827,9952,4890,5062,6644,3284,3360,7901,3946,3955,4504,2107,2397,1745,908,837,1938,1000,938,2045,1025,1020,1737,843,894,1571,763,808,1455,714,741,1574,765,809,1681,834,847,1934,971,963,1901,961,940,2114,1034,1080,2074,1035,1039,1812,916,896,1473,759,714,1193,561,632,821,384,437,574,237,337,443,166,277,40.9,40.5,41.2
50,39,1,Ohio,Adams County,7,28060,13884,14176,1756,915,841,3514,1815,1699,1612,774,838,2145,1064,1081,21956,10754,11202,21178,10380,10798,9869,4853,5016,6547,3222,3325,7875,3935,3940,4611,2159,2452,1756,915,841,1914,995,919,2035,1027,1008,1744,863,881,1578,768,810,1455,715,740,1546,746,800,1664,826,838,1882,935,947,1889,965,924,2070,1008,1062,2084,1035,1049,1832,927,905,1538,795,743,1213,575,638,828,381,447,569,230,339,463,178,285,40.9,40.5,41.4
50,39,1,Ohio,Adams County,8,27919,13817,14102,1676,867,809,3505,1802,1703,1626,780,846,2099,1071,1028,21912,10744,11168,21112,10368,10744,9813,4836,4977,6486,3186,3300,7865,3919,3946,4662,2192,2470,1676,867,809,1926,990,936,1977,1013,964,1786,867,919,1541,783,758,1543,746,797,1466,716,750,1619,794,825,1858,930,928,1850,936,914,2010,985,1025,2114,1052,1062,1891,946,945,1571,817,754,1191,574,617,856,395,461,567,229,338,477,177,300,41.2,40.8,41.7
50,39,1,Ohio,Adams County,9,27817,13805,14012,1664,862,802,3485,1801,1684,1618,804,814,2039,1024,1015,21884,10743,11141,21050,10338,10712,9699,4792,4907,6433,3170,3263,7844,3914,3930,4734,2230,2504,1664,862,802,1880,979,901,1996,1028,968,1802,888,914,1464,734,730,1585,783,802,1433,712,721,1629,804,825,1786,871,915,1883,964,919,1969,964,1005,2053,1013,1040,1939,973,966,1627,850,777,1160,557,603,888,417,471,570,234,336,489,172,317,41.4,40.8,41.9
50,39,1,Ohio,Adams County,10,27747,13785,13962,1678,884,794,3395,1761,1634,1624,831,793,2022,1001,1021,21878,10721,11157,21050,10309,10741,9571,4738,4833,6340,3120,3220,7834,3911,3923,4854,2277,2577,1678,884,794,1833,953,880,1977,1022,955,1803,912,891,1428,706,722,1622,799,823,1409,701,708,1575,785,790,1734,835,899,1905,956,949,1919,948,971,2049,1027,1022,1961,980,981,1635,830,805,1243,622,621,901,411,490,597,243,354,478,171,307,41.6,40.8,42.3
