SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,41,1,Oregon,Baker County,1,16134,8140,7994,852,414,438,1559,801,758,869,470,399,994,535,459,13288,6686,6602,12854,6455,6399,4861,2589,2272,3197,1691,1506,5121,2533,2588,3542,1696,1846,852,414,438,848,440,408,910,468,442,979,534,445,685,364,321,795,422,373,734,399,335,766,412,354,902,458,444,1123,568,555,1295,619,676,1388,692,696,1315,654,661,1117,557,560,890,443,447,623,312,311,471,223,248,441,161,280,47.9,46.6,49.1
50,41,1,Oregon,Baker County,2,16138,8142,7996,851,413,438,1559,802,757,871,471,400,994,535,459,13292,6688,6604,12857,6456,6401,4864,2591,2273,3199,1692,1507,5122,2533,2589,3542,1696,1846,851,413,438,848,440,408,911,469,442,980,535,445,685,364,321,795,422,373,733,398,335,767,413,354,904,459,445,1124,568,556,1295,619,676,1388,692,696,1315,654,661,1117,557,560,890,443,447,623,312,311,471,223,248,441,161,280,47.9,46.6,49.1
50,41,1,Oregon,Baker County,3,16116,8140,7976,856,417,439,1556,801,755,858,463,395,993,535,458,13285,6695,6590,12846,6459,6387,4850,2595,2255,3192,1698,1494,5105,2518,2587,3556,1708,1848,856,417,439,846,439,407,903,463,440,978,533,445,680,364,316,798,426,372,736,402,334,758,407,351,900,463,437,1106,557,549,1288,616,672,1380,685,695,1331,660,671,1110,557,553,903,450,453,629,316,313,478,227,251,436,158,278,48,46.6,49.2
50,41,1,Oregon,Baker County,4,16069,8089,7980,861,429,432,1550,796,754,834,441,393,1032,545,487,13278,6666,6612,12824,6423,6401,4855,2576,2279,3171,1686,1485,5031,2465,2566,3590,1727,1863,861,429,432,843,443,400,889,449,440,988,535,453,696,355,341,815,437,378,731,395,336,741,392,349,884,462,422,1035,507,528,1273,605,668,1325,665,660,1398,688,710,1064,536,528,957,481,476,660,323,337,466,219,247,443,168,275,47.9,46.6,49.2
50,41,1,Oregon,Baker County,5,16001,8091,7910,871,442,429,1535,790,745,780,425,355,1075,571,504,13238,6667,6571,12815,6434,6381,4861,2618,2243,3181,1719,1462,4857,2371,2486,3702,1773,1929,871,442,429,845,443,402,865,444,421,948,516,432,732,383,349,825,446,379,770,409,361,709,384,325,877,480,397,979,471,508,1206,581,625,1318,658,660,1354,661,693,1141,574,567,981,488,493,662,320,342,449,212,237,469,179,290,48,46.1,49.5
50,41,1,Oregon,Baker County,6,16027,8116,7911,859,430,429,1551,794,757,739,392,347,1115,618,497,13257,6707,6550,12878,6500,6378,4896,2631,2265,3222,1711,1511,4763,2348,2415,3778,1823,1955,859,430,429,886,450,436,845,434,411,909,500,409,765,420,345,823,424,399,835,438,397,684,378,306,880,471,409,955,475,480,1159,568,591,1267,623,644,1382,682,700,1170,583,587,996,505,491,671,318,353,467,230,237,474,187,287,47.9,46.2,49.4
50,41,1,Oregon,Baker County,7,16030,8108,7922,864,453,411,1573,810,763,717,356,361,1093,618,475,13243,6683,6560,12876,6489,6387,4912,2617,2295,3266,1720,1546,4632,2271,2361,3885,1880,2005,864,453,411,885,445,440,852,442,410,861,455,406,785,442,343,808,408,400,873,462,411,735,403,332,850,447,403,899,452,447,1131,544,587,1245,601,644,1357,674,683,1215,596,619,1007,511,496,719,365,354,454,211,243,490,197,293,47.9,46.1,49.6
50,41,1,Oregon,Baker County,8,15899,8067,7832,891,480,411,1537,796,741,694,346,348,1053,592,461,13132,6623,6509,12777,6445,6332,4818,2560,2258,3247,1714,1533,4523,2221,2302,3954,1918,2036,891,480,411,875,445,430,838,443,395,810,414,396,761,432,329,808,419,389,888,465,423,760,412,348,791,418,373,881,444,437,1056,531,525,1241,585,656,1345,661,684,1270,625,645,980,501,479,760,386,374,456,209,247,488,197,291,48.1,46.1,49.9
50,41,1,Oregon,Baker County,9,15971,8127,7844,831,438,393,1601,837,764,695,347,348,1083,604,479,13184,6672,6512,12844,6505,6339,4872,2597,2275,3274,1738,1536,4431,2177,2254,4056,1986,2070,831,438,393,919,477,442,862,452,410,797,406,391,801,453,348,790,426,364,916,472,444,787,422,365,781,418,363,865,451,414,997,490,507,1289,609,680,1280,627,653,1369,672,697,928,469,459,779,403,376,501,241,260,479,201,278,47.8,46.1,49.9
50,41,1,Oregon,Baker County,10,16049,8154,7895,845,440,405,1635,846,789,683,355,328,1046,569,477,13229,6688,6541,12886,6513,6373,4901,2606,2295,3329,1768,1561,4383,2156,2227,4128,2020,2108,845,440,405,924,482,442,868,450,418,807,420,387,765,418,347,792,427,365,941,481,460,827,450,377,769,410,359,857,446,411,968,472,496,1250,604,646,1308,634,674,1339,656,683,1016,514,502,808,409,399,497,237,260,468,204,264,47.8,46.2,49.7
