SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,42,1,Pennsylvania,Adams County,1,101407,49865,51542,5594,2847,2747,11287,5717,5570,5557,2798,2759,9859,4991,4868,81770,39940,41830,78969,38503,40466,37902,18985,18917,23807,11859,11948,29349,14481,14868,15954,7172,8782,5594,2847,2747,6096,3123,2973,6512,3257,3255,7507,3753,3754,6588,3373,3215,5169,2646,2523,5271,2631,2640,6130,3092,3038,7237,3490,3747,8028,4055,3973,7800,3856,3944,7208,3536,3672,6313,3034,3279,4896,2382,2514,3638,1749,1889,2954,1387,1567,2246,901,1345,2220,753,1467,41.3,40.3,42.2
50,42,1,Pennsylvania,Adams County,2,101419,49876,51543,5595,2848,2747,11290,5719,5571,5556,2799,2757,9857,4991,4866,81781,39949,41832,78978,38510,40468,37904,18991,18913,23811,11863,11948,29353,14482,14871,15957,7174,8783,5595,2848,2747,6097,3124,2973,6513,3257,3256,7505,3754,3751,6588,3374,3214,5172,2649,2523,5277,2634,2643,6127,3092,3035,7235,3488,3747,8031,4057,3974,7804,3858,3946,7207,3535,3672,6311,3032,3279,4901,2384,2517,3638,1749,1889,2954,1387,1567,2246,901,1345,2218,753,1465,41.3,40.3,42.2
50,42,1,Pennsylvania,Adams County,3,101472,49915,51557,5591,2837,2754,11239,5702,5537,5553,2790,2763,9853,5002,4851,81899,40018,41881,79089,38586,40503,37797,18955,18842,23723,11827,11896,29484,14552,14932,16029,7205,8824,5591,2837,2754,6057,3106,2951,6514,3260,3254,7471,3747,3724,6603,3381,3222,5197,2656,2541,5271,2637,2634,6054,3045,3009,7201,3489,3712,8012,4038,3974,7832,3884,3948,7253,3563,3690,6387,3067,3320,4924,2392,2532,3649,1750,1899,2956,1391,1565,2267,914,1353,2233,758,1475,41.4,40.4,42.3
50,42,1,Pennsylvania,Adams County,4,101476,49996,51480,5470,2790,2680,11134,5693,5441,5512,2736,2776,9925,5095,4830,82190,40183,42007,79360,38777,40583,37273,18790,18483,23184,11608,11576,29892,14707,15185,16359,7367,8992,5470,2790,2680,5967,3071,2896,6515,3271,3244,7365,3710,3655,6724,3472,3252,5165,2654,2511,5242,2636,2606,5728,2851,2877,7049,3467,3582,7879,3892,3987,7921,3938,3983,7374,3618,3756,6718,3259,3459,5013,2413,2600,3761,1796,1965,2970,1411,1559,2299,960,1339,2316,787,1529,41.8,40.8,42.9
50,42,1,Pennsylvania,Adams County,5,101265,49879,51386,5292,2707,2585,10998,5619,5379,5328,2659,2669,10072,5156,4916,82360,40258,42102,79647,38894,40753,36846,18565,18281,22709,11394,11315,29781,14641,15140,17085,7703,9382,5292,2707,2585,5929,3058,2871,6332,3205,3127,7268,3620,3648,6869,3551,3318,5129,2651,2478,5156,2574,2582,5522,2737,2785,6902,3432,3470,7697,3776,3921,7891,3935,3956,7498,3688,3810,6695,3242,3453,5430,2597,2833,3941,1870,2071,3009,1424,1585,2303,981,1322,2402,831,1571,42.3,41.2,43.4
50,42,1,Pennsylvania,Adams County,6,101156,49865,51291,5236,2740,2496,10831,5524,5307,5251,2613,2638,10073,5121,4952,82504,40294,42210,79838,38988,40850,36349,18344,18005,22354,11283,11071,29786,14656,15130,17625,7928,9697,5236,2740,2496,5855,3006,2849,6305,3191,3114,7055,3502,3553,6940,3559,3381,5162,2707,2455,5232,2633,2599,5347,2667,2680,6613,3276,3337,7513,3686,3827,7848,3929,3919,7630,3694,3936,6795,3347,3448,5618,2653,2965,4203,2000,2203,3046,1423,1623,2301,978,1323,2457,874,1583,42.7,41.6,43.9
50,42,1,Pennsylvania,Adams County,7,101376,49929,51447,5294,2752,2542,10627,5436,5191,5199,2556,2643,9992,5080,4912,82847,40459,42388,80256,39185,41071,36021,18178,17843,22119,11168,10951,29892,14687,15205,18253,8250,10003,5294,2752,2542,5703,2894,2809,6213,3168,3045,6934,3446,3488,6968,3564,3404,5273,2719,2554,5287,2692,2595,5269,2644,2625,6290,3113,3177,7280,3554,3726,7935,3954,3981,7649,3734,3915,7028,3445,3583,5916,2795,3121,4371,2088,2283,3134,1472,1662,2336,1005,1331,2496,890,1606,43.2,42,44.3
50,42,1,Pennsylvania,Adams County,8,101847,50281,51566,5280,2740,2540,10611,5434,5177,5209,2619,2590,9944,5064,4880,83366,40804,42562,80747,39488,41259,35907,18160,17747,22060,11153,10907,29899,14691,15208,18844,8580,10264,5280,2740,2540,5739,2918,2821,6178,3192,2986,6925,3439,3486,6922,3568,3354,5497,2817,2680,5304,2710,2594,5245,2627,2618,6014,2999,3015,7063,3427,3636,7983,4008,3975,7632,3740,3892,7221,3516,3705,6223,2948,3275,4540,2169,2371,3170,1488,1682,2402,1064,1338,2509,911,1598,43.4,42.1,44.5
50,42,1,Pennsylvania,Adams County,9,101952,50212,51740,5267,2686,2581,10568,5421,5147,5112,2541,2571,9711,4933,4778,83626,40855,42771,81005,39564,41441,35537,17967,17570,21905,11087,10818,29933,14708,15225,19456,8836,10620,5267,2686,2581,5722,2927,2795,6037,3088,2949,6853,3395,3458,6779,3485,3294,5598,2887,2711,5328,2717,2611,5289,2661,2628,5690,2822,2868,6987,3433,3554,7844,3894,3950,7751,3793,3958,7351,3588,3763,6581,3130,3451,4637,2199,2438,3272,1524,1748,2406,1051,1355,2560,932,1628,43.8,42.4,45
50,42,1,Pennsylvania,Adams County,10,102629,50495,52134,5334,2698,2636,10516,5406,5110,5032,2492,2540,9698,4906,4792,84333,41172,43161,81747,39899,41848,35431,17884,17547,21950,11108,10842,29895,14711,15184,20204,9174,11030,5334,2698,2636,5602,2879,2723,6163,3149,3014,6746,3353,3393,6735,3423,3312,5705,2946,2759,5401,2749,2652,5383,2706,2677,5461,2707,2754,6882,3396,3486,7686,3778,3908,7817,3864,3953,7510,3673,3837,6558,3141,3417,5121,2385,2736,3450,1618,1832,2444,1065,1379,2631,965,1666,44,42.5,45.2
