SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,44,1,Rhode Island,Bristol County,1,49875,23951,25924,2179,1100,1079,5349,2673,2676,2632,1360,1272,6051,3114,2937,41057,19526,21531,39715,18818,20897,18230,9113,9117,10179,4943,5236,15142,7243,7899,8343,3518,4825,2179,1100,1079,2870,1407,1463,3111,1570,1541,4125,2137,1988,3926,2033,1893,2327,1193,1134,2028,976,1052,2517,1200,1317,3307,1574,1733,4267,1977,2290,4182,2052,2130,3621,1760,1861,3072,1454,1618,2215,1055,1160,1683,762,921,1476,608,868,1361,534,827,1608,559,1049,42.9,41.2,44.4
50,44,1,Rhode Island,Bristol County,2,49842,23934,25908,2174,1096,1078,5345,2671,2674,2632,1360,1272,6051,3114,2937,41033,19515,21518,39691,18807,20884,18219,9108,9111,10168,4938,5230,15136,7241,7895,8336,3514,4822,2174,1096,1078,2868,1407,1461,3109,1568,1541,4125,2137,1988,3926,2033,1893,2326,1192,1134,2024,975,1049,2513,1198,1315,3305,1573,1732,4264,1976,2288,4180,2051,2129,3620,1760,1860,3072,1454,1618,2210,1052,1158,1682,761,921,1476,608,868,1361,534,827,1607,559,1048,42.9,41.2,44.4
50,44,1,Rhode Island,Bristol County,3,49817,23919,25898,2169,1085,1084,5344,2670,2674,2616,1353,1263,6041,3118,2923,41026,19514,21512,39688,18811,20877,18182,9092,9090,10151,4934,5217,15165,7247,7918,8331,3512,4819,2169,1085,1084,2861,1409,1452,3109,1574,1535,4137,2129,2008,3894,2029,1865,2349,1202,1147,2043,998,1045,2482,1175,1307,3277,1559,1718,4223,1958,2265,4202,2046,2156,3657,1781,1876,3083,1462,1621,2235,1064,1171,1672,752,920,1464,607,857,1354,534,820,1606,555,1051,42.9,41.2,44.4
50,44,1,Rhode Island,Bristol County,4,49238,23605,25633,2113,1068,1045,5363,2669,2694,2584,1328,1256,5433,2806,2627,40513,19225,21288,39178,18540,20638,17526,8711,8815,10137,4906,5231,15156,7231,7925,8452,3597,4855,2113,1068,1045,2872,1437,1435,3119,1561,1558,3872,1977,1895,3517,1828,1689,2371,1197,1174,2105,1046,1059,2413,1123,1290,3248,1540,1708,3974,1857,2117,4248,2019,2229,3756,1847,1909,3178,1508,1670,2351,1109,1242,1678,762,916,1457,616,841,1337,545,792,1629,565,1064,43.5,41.9,44.9
50,44,1,Rhode Island,Bristol County,5,49280,23666,25614,2046,1035,1011,5265,2626,2639,2571,1297,1274,5427,2799,2628,40697,19371,21326,39398,18708,20690,17516,8730,8786,10165,4942,5223,15025,7190,7835,8781,3777,5004,2046,1035,1011,2785,1401,1384,3127,1533,1594,3871,1966,1905,3480,1822,1658,2427,1252,1175,2218,1100,1118,2341,1095,1246,3179,1495,1684,3786,1779,2007,4212,2018,2194,3886,1884,2002,3141,1509,1632,2579,1198,1381,1729,817,912,1470,615,855,1298,546,752,1705,601,1104,43.8,42.2,45.1
50,44,1,Rhode Island,Bristol County,6,49266,23711,25555,1961,993,968,5261,2648,2613,2544,1275,1269,5431,2826,2605,40769,19448,21321,39500,18795,20705,17479,8710,8769,10126,4923,5203,14964,7151,7813,8979,3895,5084,1961,993,968,2752,1400,1352,3131,1562,1569,3858,1923,1935,3495,1864,1631,2473,1260,1213,2235,1092,1143,2286,1072,1214,3132,1499,1633,3631,1717,1914,4143,1954,2189,3974,1934,2040,3216,1546,1670,2626,1210,1416,1866,904,962,1503,645,858,1256,519,737,1728,617,1111,44,42.4,45.3
50,44,1,Rhode Island,Bristol County,7,49100,23654,25446,1987,1027,960,5074,2530,2544,2560,1282,1278,5427,2816,2611,40764,19457,21307,39479,18815,20664,17375,8677,8698,10028,4902,5126,14879,7127,7752,9145,3970,5175,1987,1027,960,2609,1318,1291,3105,1535,1570,3840,1915,1925,3507,1860,1647,2481,1286,1195,2249,1083,1166,2301,1094,1207,2997,1439,1558,3484,1664,1820,4126,1922,2204,3978,1945,2033,3291,1596,1695,2745,1261,1484,1950,933,1017,1500,662,838,1255,520,735,1695,594,1101,44.2,42.6,45.6
50,44,1,Rhode Island,Bristol County,8,49159,23688,25471,1920,1001,919,5038,2513,2525,2528,1250,1278,5516,2844,2672,40944,19546,21398,39673,18924,20749,17434,8740,8694,10003,4948,5055,14873,7079,7794,9281,4053,5228,1920,1001,919,2605,1315,1290,3046,1500,1546,3823,1892,1931,3608,1900,1708,2422,1278,1144,2311,1135,1176,2409,1159,1250,2861,1376,1485,3407,1635,1772,4055,1859,2196,4014,1963,2051,3397,1622,1775,2844,1336,1508,2015,940,1075,1481,672,809,1251,524,727,1690,581,1109,44.3,42.6,45.8
50,44,1,Rhode Island,Bristol County,9,48866,23571,25295,1887,972,915,4933,2493,2440,2519,1256,1263,5368,2736,2632,40798,19483,21315,39527,18850,20677,17310,8652,8658,10062,4985,5077,14759,7058,7701,9338,4071,5267,1887,972,915,2530,1297,1233,3042,1521,1521,3751,1856,1895,3497,1811,1686,2500,1331,1169,2357,1161,1196,2456,1200,1256,2749,1293,1456,3388,1638,1750,3828,1782,2046,4040,1933,2107,3503,1705,1798,2878,1336,1542,2102,964,1138,1470,669,801,1227,517,710,1661,585,1076,44.4,42.7,46
50,44,1,Rhode Island,Bristol County,10,48787,23543,25244,1960,1001,959,4763,2419,2344,2483,1223,1260,5343,2683,2660,40805,19510,21295,39581,18900,20681,17364,8672,8692,10168,5063,5105,14598,6974,7624,9472,4180,5292,1960,1001,959,2449,1255,1194,2944,1461,1483,3755,1856,1899,3441,1753,1688,2512,1345,1167,2396,1218,1178,2578,1219,1359,2682,1281,1401,3319,1583,1736,3684,1742,1942,3969,1901,2068,3626,1748,1878,2856,1333,1523,2251,1033,1218,1498,699,799,1234,523,711,1633,592,1041,44.5,42.8,45.9
