SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,45,1,South Carolina,Abbeville County,1,25417,12321,13096,1527,798,729,2878,1487,1391,1382,701,681,2421,1205,1216,20338,9704,10634,19630,9335,10295,9062,4470,4592,5604,2729,2875,7402,3586,3816,4203,1815,2388,1527,798,729,1573,791,782,1650,861,789,1902,976,926,1556,765,791,1211,598,613,1288,587,701,1511,774,737,1594,770,824,1780,871,909,1889,911,978,1937,925,1012,1796,879,917,1354,643,711,1035,476,559,768,327,441,569,230,339,477,139,338,41.6,40.1,42.9
50,45,1,South Carolina,Abbeville County,2,25427,12322,13105,1523,795,728,2881,1484,1397,1385,704,681,2426,1206,1220,20347,9708,10639,19638,9339,10299,9068,4472,4596,5602,2728,2874,7408,3589,3819,4202,1816,2386,1523,795,728,1573,787,786,1653,863,790,1907,978,929,1559,766,793,1211,599,612,1285,585,700,1514,775,739,1592,769,823,1787,875,912,1892,913,979,1938,924,1014,1791,877,914,1357,645,712,1036,477,559,769,328,441,567,228,339,473,138,335,41.6,40.1,42.9
50,45,1,South Carolina,Abbeville County,3,25338,12283,13055,1503,784,719,2871,1481,1390,1358,689,669,2438,1210,1228,20303,9692,10611,19606,9329,10277,9035,4456,4579,5567,2716,2851,7393,3583,3810,4208,1820,2388,1503,784,719,1565,783,782,1634,857,777,1883,964,919,1585,776,809,1214,603,611,1281,591,690,1485,756,729,1587,766,821,1770,868,902,1890,907,983,1929,923,1006,1804,885,919,1363,649,714,1029,472,557,769,330,439,570,228,342,477,141,336,41.7,40.2,43
50,45,1,South Carolina,Abbeville County,4,25093,12174,12919,1436,734,702,2846,1502,1344,1291,665,626,2527,1238,1289,20177,9616,10561,19520,9273,10247,8899,4372,4527,5389,2632,2757,7335,3554,3781,4269,1849,2420,1436,734,702,1538,798,740,1616,867,749,1789,916,873,1721,824,897,1197,599,598,1211,580,631,1365,665,700,1616,788,828,1699,837,862,1865,886,979,1882,911,971,1889,920,969,1398,676,722,1015,460,555,788,336,452,588,231,357,480,146,334,42.1,40.6,43.5
50,45,1,South Carolina,Abbeville County,5,25033,12107,12926,1404,697,707,2833,1472,1361,1302,682,620,2534,1250,1284,20148,9590,10558,19494,9256,10238,8819,4335,4484,5308,2584,2724,7176,3463,3713,4476,1959,2517,1404,697,707,1523,794,729,1635,859,776,1707,876,831,1804,875,929,1197,590,607,1253,605,648,1300,624,676,1558,765,793,1668,822,846,1813,865,948,1856,893,963,1839,883,956,1506,739,767,1052,477,575,809,346,463,594,230,364,515,167,348,42.2,40.8,43.6
50,45,1,South Carolina,Abbeville County,6,24912,12097,12815,1350,677,673,2785,1442,1343,1292,674,618,2520,1252,1268,20133,9640,10493,19485,9304,10181,8711,4314,4397,5223,2554,2669,7117,3440,3677,4625,2058,2567,1350,677,673,1528,799,729,1581,809,772,1694,879,815,1794,881,913,1159,584,575,1239,600,639,1281,610,671,1544,760,784,1652,813,839,1766,844,922,1867,919,948,1832,864,968,1570,785,785,1134,516,618,819,358,461,597,235,362,505,164,341,42.7,41.4,44
50,45,1,South Carolina,Abbeville County,7,24811,12006,12805,1310,643,667,2701,1399,1302,1327,711,616,2426,1192,1234,20136,9612,10524,19473,9253,10220,8661,4273,4388,5249,2560,2689,7001,3351,3650,4797,2150,2647,1310,643,667,1484,785,699,1558,804,754,1713,885,828,1699,828,871,1208,605,603,1244,598,646,1281,609,672,1516,748,768,1602,776,826,1713,806,907,1867,906,961,1819,863,956,1627,792,835,1180,554,626,862,388,474,595,240,355,533,176,357,43.1,41.9,44.3
50,45,1,South Carolina,Abbeville County,8,24814,12040,12774,1291,654,637,2659,1359,1300,1320,705,615,2426,1230,1196,20207,9680,10527,19544,9322,10222,8657,4304,4353,5233,2536,2697,6972,3341,3631,4913,2215,2698,1291,654,637,1493,790,703,1488,736,752,1730,912,818,1694,856,838,1253,611,642,1257,620,637,1254,586,668,1469,719,750,1581,755,826,1719,830,889,1845,893,952,1827,863,964,1669,798,871,1244,606,638,851,380,471,608,247,361,541,184,357,43.4,42.1,44.6
50,45,1,South Carolina,Abbeville County,9,24688,11954,12734,1290,645,645,2613,1338,1275,1284,655,629,2353,1221,1132,20164,9665,10499,19501,9316,10185,8551,4260,4291,5214,2526,2688,6873,3302,3571,5061,2267,2794,1290,645,645,1441,756,685,1472,724,748,1714,893,821,1623,841,782,1340,638,702,1247,614,633,1237,586,651,1390,688,702,1605,768,837,1660,826,834,1811,851,960,1797,857,940,1720,809,911,1288,630,658,847,376,471,626,251,375,580,201,379,43.7,42.2,45
50,45,1,South Carolina,Abbeville County,10,24598,11924,12674,1252,654,598,2592,1328,1264,1244,640,604,2277,1156,1121,20175,9664,10511,19510,9302,10208,8454,4176,4278,5206,2517,2689,6833,3286,3547,5194,2343,2851,1252,654,598,1386,697,689,1479,768,711,1690,872,818,1558,787,771,1447,701,746,1213,605,608,1240,575,665,1306,636,670,1591,776,815,1639,801,838,1798,852,946,1805,857,948,1682,801,881,1395,689,706,885,392,493,629,251,378,603,210,393,44.1,42.4,45.4
