SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,47,1,Tennessee,Anderson County,1,75129,36308,38821,4212,2113,2099,8288,4239,4049,3964,2073,1891,5757,2930,2827,60751,28992,31759,58665,27883,30782,26510,13278,13232,17706,8727,8979,22138,10672,11466,13064,5554,7510,4212,2113,2099,4588,2325,2263,4617,2366,2251,4856,2543,2313,3948,2008,1940,4064,2000,2064,4227,2124,2103,4525,2246,2279,4890,2357,2533,5702,2728,2974,5866,2889,2977,5560,2670,2890,5010,2385,2625,3832,1875,1957,2840,1311,1529,2275,929,1346,1991,766,1225,2126,673,1453,42.6,40.9,44.2
50,47,1,Tennessee,Anderson County,2,75072,36275,38797,4208,2110,2098,8281,4232,4049,3955,2066,1889,5755,2928,2827,60707,28969,31738,58628,27867,30761,26493,13268,13225,17700,8726,8974,22117,10663,11454,13056,5550,7506,4208,2110,2098,4584,2320,2264,4614,2364,2250,4845,2535,2310,3948,2007,1941,4066,2003,2063,4228,2124,2104,4522,2245,2277,4884,2354,2530,5694,2726,2968,5860,2886,2974,5557,2668,2889,5006,2383,2623,3828,1874,1954,2836,1308,1528,2276,929,1347,1991,766,1225,2125,673,1452,42.6,40.9,44.2
50,47,1,Tennessee,Anderson County,3,75088,36280,38808,4206,2106,2100,8274,4220,4054,3919,2055,1864,5778,2935,2843,60744,28991,31753,58689,27899,30790,26456,13231,13225,17672,8704,8968,22166,10693,11473,13073,5567,7506,4206,2106,2100,4581,2325,2256,4606,2358,2248,4791,2506,2285,3993,2021,1972,4025,1994,2031,4255,2127,2128,4493,2227,2266,4899,2356,2543,5672,2716,2956,5849,2881,2968,5577,2673,2904,5068,2423,2645,3838,1875,1963,2855,1326,1529,2276,924,1352,1969,761,1208,2135,681,1454,42.6,40.9,44.2
50,47,1,Tennessee,Anderson County,4,75212,36398,38814,4122,2085,2037,8288,4206,4082,3789,2001,1788,5970,3060,2910,60962,29134,31828,59013,28106,30907,26424,13212,13212,17558,8634,8924,22296,10776,11520,13189,5636,7553,4122,2085,2037,4571,2320,2251,4610,2369,2241,4598,2439,2159,4268,2139,2129,3959,1978,1981,4376,2158,2218,4304,2161,2143,4919,2337,2582,5536,2669,2867,5832,2867,2965,5637,2693,2944,5291,2547,2744,3910,1887,2023,2886,1363,1523,2297,945,1352,1914,741,1173,2182,700,1482,42.8,41.1,44.3
50,47,1,Tennessee,Anderson County,5,75240,36454,38786,4048,2053,1995,8300,4214,4086,3696,1939,1757,6158,3178,2980,61081,29239,31842,59196,28248,30948,26437,13264,13173,17504,8614,8890,21990,10634,11356,13544,5822,7722,4048,2053,1995,4607,2339,2268,4614,2342,2272,4455,2390,2065,4478,2260,2218,3964,1971,1993,4316,2170,2146,4284,2137,2147,4940,2336,2604,5336,2555,2781,5745,2820,2925,5697,2752,2945,5212,2507,2705,4253,2036,2217,2943,1389,1554,2292,963,1329,1889,736,1153,2167,698,1469,42.9,41.2,44.4
50,47,1,Tennessee,Anderson County,6,75323,36530,38793,4029,2014,2015,8179,4138,4041,3738,1960,1778,6066,3139,2927,61223,29395,31828,59377,28418,30959,26463,13340,13123,17607,8738,8869,21857,10584,11273,13847,5957,7890,4029,2014,2015,4546,2299,2247,4581,2336,2245,4337,2320,2017,4519,2282,2237,4096,2070,2026,4297,2139,2158,4310,2177,2133,4904,2352,2552,5135,2457,2678,5714,2788,2926,5745,2807,2938,5263,2532,2731,4402,2078,2324,3110,1478,1632,2294,975,1319,1867,743,1124,2174,683,1491,43.1,41.4,44.5
50,47,1,Tennessee,Anderson County,7,75191,36513,38678,3997,2012,1985,8135,4124,4011,3750,1943,1807,5935,3096,2839,61162,29403,31759,59309,28434,30875,26322,13305,13017,17577,8737,8840,21695,10491,11204,14102,6110,7992,3997,2012,1985,4457,2253,2204,4618,2342,2276,4274,2279,1995,4471,2289,2182,4180,2104,2076,4309,2139,2170,4281,2155,2126,4807,2339,2468,4998,2382,2616,5696,2788,2908,5696,2769,2927,5305,2552,2753,4516,2124,2392,3268,1548,1720,2329,1043,1286,1777,713,1064,2212,682,1530,43.3,41.5,44.7
50,47,1,Tennessee,Anderson County,8,75500,36708,38792,4156,2123,2033,8071,4085,3986,3753,1908,1845,5861,3084,2777,61406,29555,31851,59520,28592,30928,26361,13319,13042,17657,8787,8870,21601,10416,11185,14401,6305,8096,4156,2123,2033,4330,2147,2183,4651,2398,2253,4300,2262,2038,4404,2270,2134,4458,2267,2191,4251,2085,2166,4348,2172,2176,4600,2263,2337,4946,2383,2563,5647,2715,2932,5668,2762,2906,5340,2556,2784,4680,2215,2465,3380,1608,1772,2380,1084,1296,1733,668,1065,2228,730,1498,43.2,41.4,44.8
50,47,1,Tennessee,Anderson County,9,75567,36780,38787,4120,2088,2032,8055,4102,3953,3746,1903,1843,5737,2996,2741,61539,29653,31886,59646,28687,30959,26203,13257,12946,17655,8840,8815,21498,10360,11138,14756,6491,8265,4120,2088,2032,4321,2161,2160,4669,2423,2246,4273,2233,2040,4275,2184,2091,4654,2368,2286,4187,2122,2065,4428,2180,2248,4386,2170,2216,4936,2372,2564,5463,2612,2851,5699,2796,2903,5400,2580,2820,4903,2311,2592,3465,1659,1806,2424,1083,1341,1747,692,1055,2217,746,1471,43.3,41.4,45
50,47,1,Tennessee,Anderson County,10,76113,37079,39034,4096,2124,1972,8200,4184,4016,3841,1935,1906,5636,2987,2649,61881,29786,32095,59976,28836,31140,26495,13425,13070,17988,8986,9002,21306,10226,11080,15046,6637,8409,4096,2124,1972,4417,2218,2199,4753,2449,2304,4362,2257,2105,4145,2182,1963,4851,2431,2420,4245,2134,2111,4417,2216,2201,4475,2205,2270,5002,2394,2608,5260,2505,2755,5626,2736,2890,5418,2591,2827,4860,2299,2561,3774,1781,1993,2474,1121,1353,1762,685,1077,2176,751,1425,43.1,41.2,44.9
