SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,49,1,Utah,Beaver County,1,6629,3410,3219,614,311,303,1130,602,528,500,263,237,469,261,208,4645,2366,2279,4385,2234,2151,2438,1263,1175,1597,809,788,1487,756,731,832,408,424,614,311,303,631,338,293,627,334,293,562,305,257,279,149,130,423,204,219,453,234,219,378,185,193,343,186,157,380,199,181,430,215,215,374,191,183,303,151,152,284,143,141,183,95,88,162,77,85,113,55,58,90,38,52,31.9,31.3,32.5
50,49,1,Utah,Beaver County,2,6629,3410,3219,614,311,303,1130,602,528,500,263,237,469,261,208,4645,2366,2279,4385,2234,2151,2438,1263,1175,1597,809,788,1487,756,731,832,408,424,614,311,303,631,338,293,627,334,293,562,305,257,279,149,130,423,204,219,453,234,219,378,185,193,343,186,157,380,199,181,430,215,215,374,191,183,303,151,152,284,143,141,183,95,88,162,77,85,113,55,58,90,38,52,31.9,31.3,32.5
50,49,1,Utah,Beaver County,3,6657,3430,3227,627,324,303,1132,599,533,497,264,233,482,267,215,4659,2376,2283,4401,2243,2158,2443,1269,1174,1589,807,782,1492,760,732,838,409,429,627,324,303,628,335,293,629,333,296,566,308,258,288,154,134,417,200,217,448,233,215,378,186,192,346,188,158,376,197,179,427,215,212,377,190,187,312,158,154,278,141,137,190,97,93,164,77,87,118,58,60,88,36,52,31.9,31.2,32.5
50,49,1,Utah,Beaver County,4,6560,3396,3164,608,321,287,1117,594,523,463,255,208,505,271,234,4600,2349,2251,4372,2226,2146,2419,1260,1159,1567,800,767,1471,761,710,829,394,435,608,321,287,622,339,283,611,321,290,540,296,244,312,164,148,393,194,199,440,228,212,373,183,190,361,195,166,347,185,162,404,211,193,372,182,190,348,183,165,256,126,130,203,98,105,161,72,89,128,64,64,81,34,47,32.2,31.4,32.9
50,49,1,Utah,Beaver County,5,6500,3351,3149,594,317,277,1045,545,500,483,264,219,521,281,240,4607,2350,2257,4378,2225,2153,2410,1265,1145,1540,791,749,1460,754,706,857,399,458,594,317,277,575,305,270,604,311,293,541,297,244,329,177,152,351,178,173,429,213,216,400,211,189,360,189,171,327,167,160,384,205,179,392,184,208,357,198,159,269,127,142,205,94,111,169,80,89,126,59,67,88,39,49,32.9,32.2,33.8
50,49,1,Utah,Beaver County,6,6454,3340,3114,570,298,272,1068,561,507,477,250,227,529,293,236,4572,2360,2212,4339,2231,2108,2399,1267,1132,1507,775,732,1442,753,689,861,410,451,570,298,272,588,309,279,594,303,291,538,300,238,354,192,162,315,163,152,422,209,213,410,216,194,360,187,173,300,158,142,368,196,172,419,202,217,355,197,158,258,117,141,225,106,119,165,86,79,122,56,66,91,45,46,33.2,32.7,33.8
50,49,1,Utah,Beaver County,7,6428,3300,3128,546,281,265,1035,533,502,490,259,231,552,302,250,4599,2362,2237,4357,2227,2130,2406,1249,1157,1495,759,736,1422,735,687,888,431,457,546,281,265,556,283,273,610,321,289,526,284,242,385,206,179,299,152,147,413,206,207,422,216,206,361,185,176,298,165,133,361,189,172,407,193,214,356,188,168,270,129,141,249,117,132,153,84,69,121,53,68,95,48,47,33.6,33.2,34
50,49,1,Utah,Beaver County,8,6351,3262,3089,556,286,270,1003,516,487,469,249,220,558,304,254,4561,2332,2229,4323,2211,2112,2381,1230,1151,1458,736,722,1407,726,681,900,445,455,556,286,270,538,270,268,569,305,264,548,297,251,375,197,178,288,158,130,407,191,216,420,220,200,343,167,176,306,173,133,347,182,165,399,193,206,355,178,177,291,148,143,255,123,132,157,78,79,120,57,63,77,39,38,33.7,33.2,34.3
50,49,1,Utah,Beaver County,9,6463,3317,3146,569,286,283,1061,552,509,425,219,206,575,314,261,4633,2373,2260,4408,2260,2148,2427,1259,1168,1523,776,747,1372,702,670,938,468,470,569,286,283,587,296,291,570,306,264,514,277,237,390,206,184,322,183,139,398,189,209,433,223,210,370,181,189,306,169,137,312,166,146,408,202,206,346,165,181,325,168,157,231,110,121,179,87,92,124,57,67,79,46,33,33.6,33,34.2
50,49,1,Utah,Beaver County,10,6402,3282,3120,567,292,275,1048,554,494,452,238,214,530,271,259,4564,2326,2238,4335,2198,2137,2375,1219,1156,1513,771,742,1364,701,663,928,455,473,567,292,275,587,306,281,581,309,272,503,262,241,359,186,173,335,184,151,374,181,193,436,224,212,368,182,186,313,166,147,295,155,140,367,194,173,389,186,203,322,171,151,234,104,130,181,84,97,119,56,63,72,40,32,33.7,33,34.3
