SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,50,1,Vermont,Addison County,1,36821,18364,18457,1772,956,816,3699,1899,1800,2031,1065,966,4794,2502,2292,30353,14974,15379,29319,14444,14875,14316,7206,7110,7961,3898,4063,11462,5708,5754,5102,2336,2766,1772,956,816,1923,1007,916,2246,1151,1095,3286,1653,1633,3069,1655,1414,1624,818,806,1778,889,889,2051,994,1057,2508,1197,1311,2968,1517,1451,3057,1507,1550,2932,1444,1488,2505,1240,1265,1703,872,831,1123,539,584,849,395,454,704,280,424,723,250,473,41.3,40.2,42.3
50,50,1,Vermont,Addison County,2,36809,18361,18448,1771,954,817,3695,1902,1793,2029,1064,965,4792,2501,2291,30346,14970,15376,29314,14441,14873,14310,7203,7107,7959,3897,4062,11462,5708,5754,5101,2335,2766,1771,954,817,1922,1009,913,2243,1152,1091,3284,1652,1632,3067,1654,1413,1624,818,806,1777,889,888,2050,993,1057,2508,1197,1311,2968,1517,1451,3057,1507,1550,2932,1444,1488,2505,1240,1265,1703,872,831,1123,539,584,849,395,454,703,279,424,723,250,473,41.3,40.2,42.3
50,50,1,Vermont,Addison County,3,36813,18356,18457,1761,943,818,3662,1883,1779,2015,1052,963,4822,2515,2307,30412,15009,15403,29375,14478,14897,14290,7194,7096,7919,3878,4041,11493,5732,5761,5141,2353,2788,1761,943,818,1906,1001,905,2222,1133,1089,3306,1664,1642,3065,1652,1413,1614,809,805,1788,898,890,2020,977,1043,2497,1194,1303,2947,1508,1439,3061,1510,1551,2946,1453,1493,2539,1261,1278,1725,878,847,1135,546,589,862,403,459,695,275,420,724,251,473,41.4,40.4,42.4
50,50,1,Vermont,Addison County,4,36973,18443,18530,1673,884,789,3601,1858,1743,1988,1029,959,4992,2623,2369,30767,15208,15559,29711,14672,15039,14368,7280,7088,7849,3865,3984,11539,5744,5795,5331,2440,2891,1673,884,789,1886,998,888,2176,1097,1079,3397,1705,1692,3122,1710,1412,1577,804,773,1848,929,919,1941,941,1000,2483,1191,1292,2824,1426,1398,3047,1503,1544,2980,1469,1511,2688,1346,1342,1810,902,908,1195,582,613,884,414,470,678,259,419,764,283,481,41.8,40.7,42.8
50,50,1,Vermont,Addison County,5,36910,18439,18471,1598,831,767,3542,1848,1694,1915,994,921,5018,2629,2389,30891,15316,15575,29855,14766,15089,14244,7246,6998,7734,3834,3900,11463,5718,5745,5640,2585,3055,1598,831,767,1897,1008,889,2068,1051,1017,3338,1679,1659,3172,1733,1439,1609,819,790,1807,919,888,1901,926,975,2417,1170,1247,2719,1358,1361,3000,1485,1515,3051,1509,1542,2693,1366,1327,1996,1000,996,1251,598,653,934,447,487,677,256,421,782,284,498,42.3,41.2,43.3
50,50,1,Vermont,Addison County,6,36949,18506,18443,1613,841,772,3419,1803,1616,1812,933,879,5124,2683,2441,31066,15433,15633,30105,14929,15176,14210,7244,6966,7701,3844,3857,11352,5625,5727,5928,2777,3151,1613,841,772,1816,967,849,2030,1052,978,3235,1619,1616,3274,1781,1493,1640,860,780,1843,927,916,1890,943,947,2328,1114,1214,2638,1307,1331,2929,1473,1456,3043,1485,1558,2742,1360,1382,2131,1084,1047,1346,647,699,989,482,507,685,277,408,777,287,490,42.7,41.5,43.7
50,50,1,Vermont,Addison County,7,36950,18534,18416,1597,818,779,3323,1770,1553,1790,918,872,5184,2706,2478,31154,15504,15650,30240,15028,15212,14082,7196,6886,7565,3800,3765,11286,5584,5702,6205,2938,3267,1597,818,779,1805,975,830,1975,1023,952,3144,1586,1558,3373,1810,1563,1671,876,795,1851,939,912,1888,939,949,2155,1046,1109,2561,1259,1302,2894,1482,1412,3037,1462,1575,2794,1381,1413,2287,1147,1140,1456,724,732,1002,478,524,682,294,388,778,295,483,43,41.6,44.1
50,50,1,Vermont,Addison County,8,36955,18505,18450,1613,826,787,3244,1734,1510,1735,885,850,5231,2689,2542,31263,15516,15747,30363,15060,15303,14073,7150,6923,7490,3777,3713,11125,5487,5638,6517,3107,3410,1613,826,787,1753,951,802,1874,984,890,3137,1556,1581,3446,1817,1629,1691,903,788,1859,941,918,1896,941,955,2044,992,1052,2494,1219,1275,2831,1430,1401,2988,1451,1537,2812,1387,1425,2422,1213,1209,1600,805,795,985,463,522,715,329,386,795,297,498,43.1,41.7,44.3
50,50,1,Vermont,Addison County,9,36973,18473,18500,1622,813,809,3215,1712,1503,1632,843,789,5164,2651,2513,31409,15564,15845,30504,15105,15399,14005,7107,6898,7558,3800,3758,10953,5385,5568,6829,3269,3560,1622,813,809,1722,905,817,1842,994,848,3045,1512,1533,3402,1795,1607,1788,924,864,1858,937,921,1934,974,960,1978,965,1013,2471,1200,1271,2704,1360,1344,2949,1442,1507,2829,1383,1446,2558,1300,1258,1675,835,840,1076,515,561,745,339,406,775,280,495,43.2,41.9,44.5
50,50,1,Vermont,Addison County,10,36947,18436,18511,1566,804,762,3145,1666,1479,1617,837,780,5136,2625,2511,31493,15568,15925,30619,15129,15490,14028,7121,6907,7664,3867,3797,10773,5286,5487,7046,3351,3695,1566,804,762,1671,875,796,1863,999,864,2947,1460,1487,3417,1794,1623,1820,943,877,1932,967,965,1948,978,970,1964,979,985,2358,1143,1215,2629,1310,1319,2878,1410,1468,2908,1423,1485,2552,1291,1261,1831,910,921,1110,509,601,768,368,400,785,273,512,43.3,42,44.6
