SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,53,1,Washington,Adams County,1,18728,9544,9184,2015,1071,944,3135,1589,1546,1362,729,633,1871,1008,863,12917,6541,6376,12216,6155,6061,7607,3950,3657,4697,2379,2318,3733,1842,1891,1915,926,989,2015,1071,944,1811,924,887,1647,831,816,1649,907,742,1261,664,597,1242,612,630,1256,627,629,1144,587,557,1055,553,502,1037,520,517,1003,488,515,957,489,468,736,345,391,599,328,271,449,220,229,336,157,179,267,132,135,264,89,175,29,28,29.8
50,53,1,Washington,Adams County,2,18731,9545,9186,2015,1071,944,3136,1589,1547,1362,729,633,1872,1009,863,12919,6542,6377,12218,6156,6062,7609,3951,3658,4698,2379,2319,3733,1842,1891,1915,926,989,2015,1071,944,1811,924,887,1648,831,817,1649,907,742,1262,665,597,1242,612,630,1256,627,629,1145,587,558,1055,553,502,1037,520,517,1003,488,515,957,489,468,736,345,391,599,328,271,449,220,229,336,157,179,267,132,135,264,89,175,29,28,29.8
50,53,1,Washington,Adams County,3,18791,9583,9208,2072,1102,970,3169,1614,1555,1348,721,627,1872,1011,861,12901,6529,6372,12202,6146,6056,7601,3943,3658,4696,2375,2321,3733,1848,1885,1901,912,989,2072,1102,970,1828,941,887,1656,837,819,1644,900,744,1261,668,593,1237,614,623,1250,615,635,1148,592,556,1061,554,507,1031,518,513,995,491,504,972,491,481,735,348,387,597,323,274,442,213,229,331,153,178,267,132,135,264,91,173,28.8,27.7,29.8
50,53,1,Washington,Adams County,4,18876,9628,9248,2093,1104,989,3235,1642,1593,1317,699,618,1876,1025,851,12923,6556,6367,12231,6183,6048,7581,3941,3640,4696,2377,2319,3756,1868,1888,1903,913,990,2093,1104,989,1853,960,893,1690,842,848,1641,892,749,1244,672,572,1198,606,592,1230,589,641,1171,614,557,1097,568,529,1016,521,495,957,476,481,1003,492,511,780,379,401,597,317,280,446,210,236,327,157,170,261,130,131,272,99,173,28.9,27.8,29.9
50,53,1,Washington,Adams County,5,18936,9647,9289,2083,1084,999,3263,1666,1597,1294,676,618,1911,1034,877,12939,6569,6370,12296,6221,6075,7512,3897,3615,4642,2350,2292,3765,1878,1887,1978,959,1019,2083,1084,999,1900,988,912,1698,841,857,1565,853,712,1305,694,611,1120,568,552,1219,576,643,1196,639,557,1107,567,540,992,513,479,967,483,484,994,491,503,812,391,421,654,340,314,460,224,236,336,163,173,264,128,136,264,104,160,29,28.1,30
50,53,1,Washington,Adams County,6,19080,9718,9362,2091,1102,989,3306,1704,1602,1311,656,655,1942,1043,899,13008,6587,6421,12372,6256,6116,7549,3885,3664,4633,2349,2284,3803,1908,1895,1994,956,1038,2091,1102,989,1947,1031,916,1696,836,860,1587,830,757,1329,706,623,1142,598,544,1198,573,625,1181,598,583,1112,580,532,990,505,485,982,491,491,1001,503,498,830,409,421,673,340,333,471,237,234,336,157,179,249,119,130,265,103,162,28.9,27.9,29.9
50,53,1,Washington,Adams County,7,19154,9757,9397,2053,1066,987,3382,1768,1614,1337,651,686,1990,1074,916,13040,6603,6437,12382,6272,6110,7516,3843,3673,4526,2279,2247,3855,1940,1915,2011,979,1032,2053,1066,987,2005,1070,935,1714,859,855,1573,801,772,1417,763,654,1137,589,548,1166,566,600,1170,581,589,1053,543,510,995,512,483,990,500,490,983,484,499,887,444,443,661,327,334,483,257,226,353,170,183,248,107,141,266,118,148,28.6,27.7,29.6
50,53,1,Washington,Adams County,8,19208,9816,9392,1997,1038,959,3460,1817,1643,1343,647,696,1999,1086,913,13093,6644,6449,12408,6314,6094,7534,3866,3668,4516,2290,2226,3872,1962,1910,2021,976,1045,1997,1038,959,2041,1084,957,1743,890,853,1586,796,790,1432,780,652,1153,606,547,1194,595,599,1150,583,567,1019,506,513,1001,533,468,987,499,488,958,471,487,926,459,467,659,316,343,502,263,239,361,178,183,243,103,140,256,116,140,28.5,27.7,29.4
50,53,1,Washington,Adams County,9,19311,9853,9458,1932,985,947,3601,1907,1694,1323,635,688,2027,1086,941,13128,6647,6481,12455,6326,6129,7522,3857,3665,4499,2297,2202,3860,1950,1910,2069,993,1076,1932,985,947,2106,1133,973,1822,935,887,1596,791,805,1427,769,658,1168,613,555,1150,603,547,1136,554,582,1045,527,518,1030,543,487,976,512,464,922,444,478,932,451,481,711,335,376,500,254,246,360,182,178,236,101,135,262,121,141,28.2,27.4,29.1
50,53,1,Washington,Adams County,10,19574,9949,9625,1930,945,985,3668,1930,1738,1373,676,697,2013,1071,942,13271,6723,6548,12603,6398,6205,7651,3934,3717,4638,2375,2263,3837,1932,1905,2115,1020,1095,1930,945,985,2129,1120,1009,1912,998,914,1622,809,813,1391,750,641,1227,629,598,1191,643,548,1130,546,584,1090,557,533,1007,515,492,962,509,453,934,454,480,934,454,480,721,344,377,553,277,276,351,175,176,241,107,134,249,117,132,28.1,27.6,28.7
50,53,1,Washington,Adams County,11,19640,9973,9667,1893,923,970,3730,1966,1764,1357,685,672,1981,1046,935,13328,6726,6602,12660,6399,6261,7612,3895,3717,4607,2346,2261,3873,1939,1934,2199,1068,1131,1893,923,970,2122,1130,992,1941,1018,923,1639,821,818,1366,728,638,1239,640,599,1180,628,552,1122,553,569,1066,525,541,1009,513,496,950,489,461,955,479,476,959,458,501,743,358,385,575,286,289,370,189,181,253,111,142,258,124,134,28.3,27.6,29
