SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,55,1,Wisconsin,Adams County,1,20875,11221,9654,849,448,401,1704,845,859,868,462,406,1235,676,559,17885,9708,8177,17454,9466,7988,6326,3782,2544,4427,2751,1676,6893,3604,3289,4899,2435,2464,849,448,401,889,440,449,1019,512,507,1059,544,515,840,487,353,990,635,355,1063,695,368,1156,714,442,1218,707,511,1662,903,759,1719,905,814,1755,913,842,1757,883,874,1694,837,857,1301,685,616,865,444,421,616,304,312,423,165,258,49.2,47.6,51
50,55,1,Wisconsin,Adams County,2,20867,11218,9649,850,448,402,1705,845,860,865,462,403,1235,676,559,17876,9705,8171,17447,9463,7984,6325,3783,2542,4429,2752,1677,6884,3600,3284,4899,2435,2464,850,448,402,891,441,450,1018,511,507,1056,544,512,840,487,353,990,635,355,1063,695,368,1157,714,443,1219,708,511,1661,903,758,1715,903,812,1753,912,841,1755,882,873,1694,837,857,1301,685,616,865,444,421,616,304,312,423,165,258,49.2,47.5,51
50,55,1,Wisconsin,Adams County,3,20878,11212,9666,834,438,396,1701,841,860,859,456,403,1225,677,548,17911,9713,8198,17484,9477,8007,6311,3775,2536,4435,2751,1684,6897,3614,3283,4927,2435,2492,834,438,396,894,442,452,1015,508,507,1042,542,500,834,482,352,1002,638,364,1075,699,376,1151,714,437,1207,700,507,1638,892,746,1725,914,811,1762,912,850,1772,896,876,1695,835,860,1315,691,624,863,438,425,624,306,318,430,165,265,49.3,47.7,51.2
50,55,1,Wisconsin,Adams County,4,20767,11176,9591,784,411,373,1702,855,847,843,429,414,1189,676,513,17861,9698,8163,17438,9481,7957,6229,3740,2489,4410,2741,1669,6888,3620,3268,4951,2444,2507,784,411,373,898,464,434,1017,497,520,1006,530,476,813,469,344,1030,659,371,1084,693,391,1101,700,401,1195,689,506,1533,836,697,1760,939,821,1773,915,858,1822,930,892,1676,826,850,1359,714,645,875,431,444,620,307,313,421,166,255,49.8,47.9,51.7
50,55,1,Wisconsin,Adams County,5,20411,10977,9434,720,368,352,1600,824,776,841,426,415,1175,674,501,17676,9580,8096,17250,9359,7891,6001,3590,2411,4187,2587,1600,6732,3539,3193,5156,2559,2597,720,368,352,855,448,407,947,473,474,968,519,449,846,484,362,977,630,347,1035,664,371,1017,635,382,1158,658,500,1383,772,611,1727,893,834,1832,970,862,1790,904,886,1761,875,886,1395,734,661,950,462,488,597,305,292,453,183,270,50.9,49,52.8
50,55,1,Wisconsin,Adams County,6,20407,10952,9455,743,353,390,1577,815,762,816,396,420,1169,670,499,17686,9593,8093,17271,9388,7883,5925,3543,2382,4136,2570,1566,6653,3489,3164,5313,2659,2654,743,353,390,860,453,407,913,455,458,952,478,474,837,495,342,996,639,357,1053,680,373,967,604,363,1120,647,473,1297,716,581,1703,881,822,1853,990,863,1800,902,898,1768,902,866,1485,761,724,999,497,502,582,306,276,479,193,286,51.4,49.7,53.1
50,55,1,Wisconsin,Adams County,7,20120,10807,9313,702,351,351,1546,802,744,767,380,387,1162,661,501,17501,9466,8035,17105,9274,7831,5734,3424,2310,3981,2473,1508,6555,3420,3135,5407,2720,2687,702,351,351,841,444,397,881,448,433,922,460,462,831,491,340,929,589,340,1055,675,380,938,583,355,1059,626,433,1222,664,558,1688,888,800,1808,946,862,1837,922,915,1792,921,871,1516,761,755,1062,545,517,563,284,279,474,209,265,52.2,50.4,53.8
50,55,1,Wisconsin,Adams County,8,20027,10705,9322,666,333,333,1550,781,769,757,383,374,1153,661,492,17430,9391,8039,17054,9208,7846,5622,3334,2288,3911,2396,1515,6477,3405,3072,5513,2746,2767,666,333,333,843,442,401,906,445,461,877,440,437,834,498,336,897,564,333,1025,657,368,931,555,376,1058,620,438,1188,649,539,1593,832,761,1794,928,866,1902,996,906,1848,927,921,1516,743,773,1064,574,490,595,287,308,490,215,275,52.7,51,54.3
50,55,1,Wisconsin,Adams County,9,19984,10699,9285,720,363,357,1497,760,737,745,386,359,1138,659,479,17396,9381,8015,17022,9190,7832,5573,3311,2262,3860,2355,1505,6431,3369,3062,5593,2807,2786,720,363,357,786,415,371,881,434,447,865,445,420,848,511,337,928,558,370,1007,654,353,940,553,387,985,590,395,1155,623,532,1495,771,724,1801,932,869,1980,1043,937,1911,973,938,1500,744,756,1091,592,499,597,277,320,494,221,273,53.1,51.4,54.7
50,55,1,Wisconsin,Adams County,10,19905,10629,9276,686,356,330,1453,734,719,729,379,350,1064,622,442,17430,9369,8061,17037,9160,7877,5442,3231,2211,3812,2303,1509,6416,3349,3067,5745,2886,2859,686,356,330,733,364,369,883,443,440,859,457,402,771,471,300,916,553,363,984,633,351,935,544,391,977,573,404,1101,601,500,1429,739,690,1850,919,931,2036,1090,946,1887,956,931,1573,794,779,1140,609,531,644,299,345,501,228,273,54,52.3,55.5
