SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,56,1,Wyoming,Albany County,1,36299,18897,17402,2040,1057,983,2744,1441,1303,1253,643,610,10480,5547,4933,30903,16093,14810,30262,15756,14506,20734,11107,9627,9300,5075,4225,7316,3650,3666,3166,1484,1682,2040,1057,983,1600,833,767,1443,766,677,3722,1849,1873,7712,4183,3529,3731,2126,1605,2240,1208,1032,1725,921,804,1604,820,784,1700,825,875,2018,1018,1000,1967,977,990,1631,830,801,1055,550,505,739,373,366,540,230,310,408,173,235,424,158,266,26.8,26.4,27.4
50,56,1,Wyoming,Albany County,2,36299,18897,17402,2040,1057,983,2744,1441,1303,1253,643,610,10480,5547,4933,30903,16093,14810,30262,15756,14506,20734,11107,9627,9300,5075,4225,7316,3650,3666,3166,1484,1682,2040,1057,983,1600,833,767,1443,766,677,3722,1849,1873,7712,4183,3529,3731,2126,1605,2240,1208,1032,1725,921,804,1604,820,784,1700,825,875,2018,1018,1000,1967,977,990,1631,830,801,1055,550,505,739,373,366,540,230,310,408,173,235,424,158,266,26.8,26.4,27.4
50,56,1,Wyoming,Albany County,3,36471,18966,17505,2045,1057,988,2750,1448,1302,1256,640,616,10608,5589,5019,31065,16154,14911,30420,15821,14599,20883,11170,9713,9319,5097,4222,7289,3632,3657,3204,1503,1701,2045,1057,988,1604,834,770,1446,770,676,3613,1802,1811,7951,4271,3680,3726,2131,1595,2272,1231,1041,1721,916,805,1600,819,781,1681,818,863,1992,1003,989,1974,980,994,1642,831,811,1069,554,515,755,387,368,539,228,311,412,173,239,429,161,268,26.8,26.4,27.3
50,56,1,Wyoming,Albany County,4,36873,19193,17680,2012,1065,947,2798,1454,1344,1247,630,617,10906,5711,5195,31443,16352,15091,30816,16044,14772,21203,11344,9859,9364,5162,4202,7265,3628,3637,3281,1543,1738,2012,1065,947,1643,833,810,1469,780,689,3391,1735,1656,8448,4447,4001,3605,2103,1502,2410,1309,1101,1725,918,807,1624,832,792,1598,781,817,1923,961,962,2031,1010,1021,1713,876,837,1116,562,554,790,421,369,523,220,303,418,175,243,434,165,269,26.8,26.4,27.3
50,56,1,Wyoming,Albany County,5,37404,19502,17902,2045,1088,957,2863,1511,1352,1253,639,614,11128,5859,5269,31878,16584,15294,31243,16264,14979,21524,11496,10028,9436,5148,4288,7253,3633,3620,3426,1624,1802,2045,1088,957,1698,895,803,1458,766,692,3338,1712,1626,8750,4636,4114,3476,1968,1508,2526,1369,1157,1790,958,832,1644,853,791,1544,772,772,1897,949,948,2043,995,1048,1769,917,852,1239,621,618,812,427,385,518,224,294,421,188,233,436,164,272,26.8,26.4,27.3
50,56,1,Wyoming,Albany County,6,37619,19697,17922,2017,1053,964,2884,1525,1359,1202,623,579,11256,5977,5279,32162,16825,15337,31516,16496,15020,21548,11590,9958,9353,5127,4226,7320,3681,3639,3587,1711,1876,2017,1053,964,1735,934,801,1412,728,684,3328,1716,1612,8867,4747,4120,3349,1908,1441,2529,1379,1150,1877,1022,855,1598,818,780,1548,806,742,1875,920,955,2030,1005,1025,1867,950,917,1308,675,633,884,449,435,535,246,289,408,175,233,452,166,286,26.9,26.6,27.4
50,56,1,Wyoming,Albany County,7,37702,19690,18012,1969,1019,950,3026,1584,1442,1195,622,573,11089,5846,5243,32152,16794,15358,31512,16465,15047,21475,11522,9953,9476,5207,4269,7188,3626,3562,3759,1786,1973,1969,1019,950,1832,963,869,1479,774,705,3214,1647,1567,8785,4668,4117,3399,1945,1454,2560,1401,1159,1897,1004,893,1620,857,763,1570,819,751,1766,864,902,1956,996,960,1896,947,949,1443,746,697,891,444,447,582,274,308,401,163,238,442,159,283,26.9,26.6,27.4
50,56,1,Wyoming,Albany County,8,38054,19970,18084,1920,1031,889,3091,1610,1481,1214,649,565,10975,5820,5155,32428,16989,15439,31829,16680,15149,21701,11706,9995,9822,5413,4409,7072,3560,3512,3960,1887,2073,1920,1031,889,1864,993,871,1537,793,744,3264,1683,1581,8615,4610,4005,3639,2075,1564,2539,1407,1132,2024,1071,953,1620,860,760,1518,788,730,1693,851,842,1947,973,974,1914,948,966,1537,792,745,925,453,472,654,321,333,394,153,241,450,168,282,27,26.5,27.7
50,56,1,Wyoming,Albany County,9,38012,19908,18104,1844,994,850,3176,1658,1518,1235,641,594,10658,5639,5019,32356,16925,15431,31757,16615,15142,21563,11625,9938,9980,5489,4491,6978,3491,3487,4141,1996,2145,1844,994,850,1853,979,874,1633,823,810,3108,1622,1486,8475,4514,3961,3687,2091,1596,2548,1400,1148,2073,1114,959,1672,884,788,1518,786,732,1590,787,803,1922,955,967,1948,963,985,1625,845,780,979,478,501,678,348,330,392,147,245,467,178,289,27.3,26.9,28
50,56,1,Wyoming,Albany County,10,38600,20145,18455,1833,934,899,3162,1671,1491,1258,651,607,10824,5675,5149,32995,17237,15758,32347,16889,15458,21991,11819,10172,10206,5644,4562,6994,3508,3486,4323,2062,2261,1833,934,899,1793,950,843,1666,872,794,3204,1648,1556,8581,4527,4054,3807,2201,1606,2512,1367,1145,2130,1127,1003,1757,949,808,1595,815,780,1541,778,763,1875,948,927,1983,967,1016,1641,842,799,1090,522,568,709,351,358,431,179,252,452,168,284,27.5,27.1,27.9
