n_days_ahead,the_nth_day,MAE,sMAPE
1,15,191.80447,0.11772
1,16,190.61389,0.11444
1,17,191.26218,0.10991
1,18,194.3978,0.11482
1,19,178.74765,0.10672
1,20,162.3004,0.10248
1,21,206.49829,0.11379
1,22,206.92213,0.10833
1,23,182.67865,0.10184
1,24,217.9698,0.10784
1,25,178.29576,0.10115
1,26,170.52441,0.09917
1,27,159.81223,0.09997
1,28,167.95583,0.09865
1,29,177.12581,0.09813
1,30,189.38818,0.09476
1,31,180.03416,0.10216
1,32,198.02475,0.10017
1,33,189.8508,0.10316
1,34,165.40216,0.0944
1,35,351.57068,0.16816
1,36,192.10568,0.11072
1,37,216.57602,0.1189
1,38,240.07593,0.13062
1,39,230.21431,0.11784
1,40,226.40506,0.12395
1,41,194.14026,0.10009
1,42,393.08185,0.15401
1,43,214.38654,0.09761
1,44,225.01099,0.10161
1,45,202.39639,0.093
1,46,208.18956,0.1142
1,47,189.49428,0.10385
1,48,210.27658,0.11302
1,49,210.27745,0.10829
1,50,275.1861,0.12777
1,51,237.75267,0.12606
1,52,247.87706,0.14201
1,53,224.37677,0.13783
1,54,167.28026,0.11644
1,55,134.24928,0.09625
1,56,124.93228,0.10273
1,57,124.33974,0.1013
1,58,152.40686,0.10749
1,59,132.10504,0.10999
1,60,142.54185,0.11674
1,61,143.12956,0.10991
1,62,126.57334,0.11229
1,63,131.86311,0.10263
1,64,126.80164,0.10638
1,65,121.70121,0.1152
1,66,121.40454,0.12338
1,67,121.7177,0.12186
1,68,119.84595,0.12577
1,69,104.25821,0.11247
1,70,129.56673,0.14548
1,71,100.05425,0.10757
1,72,106.35307,0.10776
1,73,111.47812,0.12595
1,74,136.31314,0.14538
1,75,115.62621,0.12383
1,76,121.36718,0.12128
1,77,132.92267,0.12097
1,78,100.35962,0.11605
1,79,107.79944,0.12697
1,80,119.31044,0.15156
1,81,130.95937,0.1469
1,82,140.73157,0.16098
1,83,94.43372,0.12455
1,84,99.46834,0.13501
1,85,77.87701,0.10215
1,86,108.44519,0.12768
