,FIPS,State,Life Expectancy,Age-Adjusted Death Rate,Child Mortality Rate,% Frequent Physical Distress,% Frequent Mental Distress,% Adults with Diabetes,HIV Prevalence Rate,% Food Insecure,% Limited Access to Healthy Foods,Drug Overdose Mortality Rate,Motor Vehicle Mortality Rate,% Insufficient Sleep,High School Graduation Rate,Average Grade Performance,Median Household Income,% Enrolled in Free or Reduced Lunch,Homicide Rate,Suicide Rate (Age-Adjusted),Firearm Fatalities Rate,% Homeowners,% Broadband Access,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Rural,POPESTIMATE,POPEST_MALE,POPEST_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
0,1000,Alabama,75.5,472.0,70.0,14,16,15,330.0,17,8.0,16.0,20.0,40,90.0,2.9,51771.0,55.0,10.0,16.0,22.0,69,76,26.5,0.7,1.5,0.1,4.6,65.3,1,41.0,4921532.0,2376966.0,2544566.0,291920.0,149103.0,142817.0,299404.0,152530.0,146874.0,310210.0,157702.0,152508.0,310127.0,157274.0,152853.0,323264.0,161797.0,161467.0,331899.0,165836.0,166063.0,318647.0,156113.0,162534.0,302872.0,146356.0,156516.0,293490.0,141308.0,152182.0,302481.0,146015.0,156466.0,305693.0,148190.0,157503.0,332661.0,159697.0,172964.0,324620.0,153225.0,171395.0,281928.0,130086.0,151842.0,235789.0,107286.0,128503.0,160349.0,70219.0,90130.0,103319.0,42302.0,61017.0,92859.0,31927.0,60932.0,39.598707292769824,38.08042528220887,41.075391199325736
1,2000,Alaska,79.0,351.0,65.0,12,11,8,118.0,13,9.0,18.0,10.0,33,79.0,,77203.0,42.0,8.0,27.0,24.0,64,86,3.3,15.6,6.5,1.4,7.3,60.2,2,34.0,731158.0,381537.0,349621.0,49749.0,25653.0,24096.0,51643.0,26315.0,25328.0,49030.0,25390.0,23640.0,44846.0,23458.0,21388.0,50553.0,29101.0,21452.0,58506.0,31736.0,26770.0,57802.0,30231.0,27571.0,53686.0,28028.0,25658.0,44455.0,23232.0,21223.0,41185.0,21627.0,19558.0,42291.0,21989.0,20302.0,46576.0,24212.0,22364.0,44960.0,23028.0,21932.0,37529.0,19092.0,18437.0,26629.0,13702.0,12927.0,15938.0,7933.0,8005.0,8441.0,3957.0,4484.0,7339.0,2853.0,4486.0,35.51364944375908,35.032855689194406,35.978185016097754
2,4000,Arizona,80.0,331.0,49.0,13,13,10,277.0,13,8.0,24.0,13.0,35,79.0,,62027.0,54.0,6.0,18.0,16.0,64,84,4.5,5.3,3.7,0.3,31.7,54.1,5,10.2,7421401.0,3685926.0,3735475.0,424755.0,216921.0,207834.0,458844.0,233987.0,224857.0,478216.0,243695.0,234521.0,481924.0,246435.0,235489.0,504348.0,260127.0,244221.0,529789.0,275649.0,254140.0,501041.0,259358.0,241683.0,472582.0,241206.0,231376.0,441334.0,222340.0,218994.0,433090.0,215259.0,217831.0,426594.0,210661.0,215933.0,448906.0,217444.0,231462.0,446003.0,210692.0,235311.0,412556.0,190948.0,221608.0,374349.0,175103.0,199246.0,267038.0,124359.0,142679.0,167934.0,77819.0,90115.0,152098.0,63923.0,88175.0,38.86402920418935,37.544233710050165,40.20920470407137
3,5000,Arkansas,76.0,457.0,67.0,15,17,14,228.0,17,9.0,14.0,18.0,37,89.0,2.9,49020.0,64.0,8.0,19.0,19.0,66,73,15.4,1.0,1.7,0.4,7.8,72.0,2,43.8,3030522.0,1486856.0,1543666.0,186292.0,95250.0,91042.0,193212.0,99382.0,93830.0,200458.0,102287.0,98171.0,197095.0,100970.0,96125.0,201289.0,102214.0,99075.0,202805.0,102463.0,100342.0,196068.0,98048.0,98020.0,190974.0,94974.0,96000.0,181756.0,90134.0,91622.0,179715.0,87965.0,91750.0,178352.0,88120.0,90232.0,196283.0,95349.0,100934.0,189917.0,90688.0,99229.0,168129.0,78496.0,89633.0,142360.0,65870.0,76490.0,100225.0,44713.0,55512.0,64487.0,27770.0,36717.0,61105.0,22163.0,38942.0,38.971260759697515,37.60682687668989,40.31189257164277
4,6000,California,81.7,268.0,36.0,12,11,9,396.0,11,3.0,14.0,10.0,35,87.0,2.9,80423.0,59.0,5.0,11.0,8.0,55,87,5.6,1.6,15.5,0.5,39.4,36.5,10,5.0,39368078.0,19577489.0,19790589.0,2310380.0,1180892.0,1129488.0,2468600.0,1263243.0,1205357.0,2505304.0,1281016.0,1224288.0,2513522.0,1281248.0,1232274.0,2597931.0,1335138.0,1262793.0,3011714.0,1557429.0,1454285.0,3005343.0,1551675.0,1453668.0,2781508.0,1419031.0,1362477.0,2524241.0,1271167.0,1253074.0,2452996.0,1220749.0,1232247.0,2457952.0,1225186.0,1232766.0,2466381.0,1213261.0,1253120.0,2296040.0,1111176.0,1184864.0,1918055.0,901162.0,1016893.0,1551490.0,714115.0,837375.0,1052210.0,468554.0,583656.0,698039.0,298596.0,399443.0,756372.0,283851.0,472521.0,37.298664595716374,36.223987447393284,38.44828262380499
5,8000,Colorado,80.6,282.0,44.0,10,11,7,265.0,10,5.0,18.0,11.0,30,81.0,3.1,77104.0,41.0,4.0,21.0,14.0,65,88,4.1,1.6,3.5,0.2,21.8,67.7,3,13.8,5807719.0,2925887.0,2881832.0,324583.0,165405.0,159178.0,344851.0,176165.0,168686.0,361425.0,185216.0,176209.0,366386.0,188537.0,177849.0,380269.0,198817.0,181452.0,461679.0,242429.0,219250.0,462331.0,241825.0,220506.0,433137.0,224489.0,208648.0,382981.0,195958.0,187023.0,360321.0,184981.0,175340.0,344624.0,173940.0,170684.0,357179.0,175288.0,181891.0,351566.0,170676.0,180890.0,303686.0,144996.0,158690.0,239677.0,114040.0,125637.0,149796.0,68971.0,80825.0,91938.0,40237.0,51701.0,91290.0,33917.0,57373.0,37.58344511847079,36.65436771303846,38.63332523491581
6,9000,Connecticut,80.9,278.0,34.0,10,11,9,343.0,12,4.0,31.0,8.0,34,88.0,3.2,78920.0,42.0,3.0,10.0,5.0,66,86,10.3,0.6,5.0,0.1,16.9,65.9,4,12.0,3557006.0,1734920.0,1822086.0,179591.0,91709.0,87882.0,193731.0,98770.0,94961.0,210332.0,106987.0,103345.0,234796.0,119300.0,115496.0,238322.0,122200.0,116122.0,225727.0,116982.0,108745.0,222900.0,112401.0,110499.0,221485.0,109841.0,111644.0,210397.0,102919.0,107478.0,215492.0,104410.0,111082.0,245442.0,118657.0,126785.0,264570.0,127704.0,136866.0,248225.0,119632.0,128593.0,200667.0,94954.0,105713.0,163097.0,74330.0,88767.0,116400.0,51661.0,64739.0,75258.0,31300.0,43958.0,90574.0,31163.0,59411.0,41.27026822558072,39.57285458613227,42.89315649172366
7,10000,Delaware,78.5,360.0,55.0,11,13,12,404.0,13,5.0,40.0,13.0,37,87.0,3.0,70348.0,,6.0,12.0,11.0,71,85,22.0,0.7,4.1,0.1,9.6,61.7,2,16.7,986809.0,476740.0,510069.0,54461.0,27795.0,26666.0,56799.0,28993.0,27806.0,58119.0,29300.0,28819.0,60477.0,30373.0,30104.0,57543.0,29122.0,28421.0,63991.0,32362.0,31629.0,65661.0,32521.0,33140.0,60335.0,29896.0,30439.0,55508.0,26853.0,28655.0,55020.0,26527.0,28493.0,61541.0,29232.0,32309.0,69431.0,32733.0,36698.0,70329.0,32666.0,37663.0,64177.0,29330.0,34847.0,54285.0,25070.0,29215.0,36546.0,16619.0,19927.0,21982.0,9631.0,12351.0,20604.0,7717.0,12887.0,41.96090742990792,40.32093951311754,43.54709999604787
8,11000,Washington DC,79.0,404.0,73.0,9,13,8,2361.0,12,1.0,42.0,5.0,36,70.0,2.9,90395.0,,18.0,6.0,17.0,42,83,44.4,0.6,4.5,0.1,11.3,37.5,2,0.0,712816.0,337932.0,374884.0,44300.0,22793.0,21507.0,39363.0,20034.0,19329.0,30407.0,15105.0,15302.0,36293.0,17055.0,19238.0,51048.0,22819.0,28229.0,81666.0,37314.0,44352.0,83058.0,40222.0,42836.0,65432.0,31742.0,33690.0,47565.0,23597.0,23968.0,38442.0,19209.0,19233.0,35610.0,17731.0,17879.0,36474.0,17951.0,18523.0,33325.0,15595.0,17730.0,28625.0,12483.0,16142.0,22932.0,9685.0,13247.0,15577.0,6405.0,9172.0,10409.0,4008.0,6401.0,12290.0,4184.0,8106.0,34.4,34.1,34.6
9,12000,Florida,80.2,337.0,52.0,13,13,11,607.0,13,7.0,24.0,14.0,37,86.0,3.2,59198.0,55.0,6.0,14.0,13.0,65,83,15.5,0.5,3.0,0.1,26.4,53.2,7,8.8,21733312.0,10620180.0,11113132.0,1135005.0,579130.0,555875.0,1179044.0,602626.0,576418.0,1211524.0,617012.0,594512.0,1202855.0,615693.0,587162.0,1263937.0,642837.0,621100.0,1395878.0,713023.0,682855.0,1422593.0,721664.0,700929.0,1355944.0,677482.0,678462.0,1293216.0,640219.0,652997.0,1323586.0,650124.0,673462.0,1369217.0,669922.0,699295.0,1497423.0,720593.0,776830.0,1444996.0,678548.0,766448.0,1326632.0,608486.0,718146.0,1212944.0,559941.0,653003.0,903122.0,412878.0,490244.0,599087.0,267843.0,331244.0,596309.0,242159.0,354150.0,43.22264495627726,41.76702974677767,44.62008719609787
