,location,FIPS,cases_per_100k_7_day_count_7_days_before_current_day,series_complete_yes_normed_7_days_before_current_day,cases_per_100k_7_day_count_6_days_before_current_day,series_complete_yes_normed_6_days_before_current_day,cases_per_100k_7_day_count_5_days_before_current_day,series_complete_yes_normed_5_days_before_current_day,cases_per_100k_7_day_count_4_days_before_current_day,series_complete_yes_normed_4_days_before_current_day,cases_per_100k_7_day_count_3_days_before_current_day,series_complete_yes_normed_3_days_before_current_day,cases_per_100k_7_day_count_2_days_before_current_day,series_complete_yes_normed_2_days_before_current_day,cases_per_100k_7_day_count_1_days_before_current_day,series_complete_yes_normed_1_days_before_current_day,Life Expectancy,Age-Adjusted Death Rate,% Frequent Physical Distress,% Frequent Mental Distress,% Adults with Diabetes,% Food Insecure,% Limited Access to Healthy Foods,Motor Vehicle Mortality Rate,% Insufficient Sleep,High School Graduation Rate,Median Household Income,Suicide Rate (Age-Adjusted),Firearm Fatalities Rate,% Homeowners,% Broadband Access,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Rural,POPESTIMATE,POPEST_MALE,POPEST_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
0,alabama,1000,5810.764,0.4223308920880734,5904.041999999999,0.42260275865319985,6068.113,0.4230538377074456,5800.495,0.4243843177287072,5578.759999999999,0.4243843177287072,4545.836000000001,0.4243843177287072,3551.9499999999994,0.4243843177287072,75.5,472.0,14,16,15,17,8.0,20.0,40,90.0,51771.0,16.0,22.0,69,76,26.5,0.7,1.5,0.1,4.6,65.3,1,41.0,4921532.0,2376966.0,2544566.0,291920.0,149103.0,142817.0,299404.0,152530.0,146874.0,310210.0,157702.0,152508.0,310127.0,157274.0,152853.0,323264.0,161797.0,161467.0,331899.0,165836.0,166063.0,318647.0,156113.0,162534.0,302872.0,146356.0,156516.0,293490.0,141308.0,152182.0,302481.0,146015.0,156466.0,305693.0,148190.0,157503.0,332661.0,159697.0,172964.0,324620.0,153225.0,171395.0,281928.0,130086.0,151842.0,235789.0,107286.0,128503.0,160349.0,70219.0,90130.0,103319.0,42302.0,61017.0,92859.0,31927.0,60932.0,39.59870729276983,38.080425282208864,41.075391199325736
1,autauga county,1001,121.713,0.3636833199750646,125.29299999999999,0.36402172945052985,136.032,0.3645560602012646,152.142,0.36589188707810133,130.66299999999998,0.36589188707810133,98.445,0.36589188707810133,87.705,0.36589188707810133,77.2,409.0,13,16,13,16,12.0,20.0,38,89.0,58233.0,18.0,17.0,73,81,19.9,0.5,1.2,0.1,3.0,73.8,1,42.0,56145.0,27226.0,28919.0,3370.0,1746.0,1624.0,3488.0,1777.0,1711.0,3816.0,1952.0,1864.0,3602.0,1812.0,1790.0,3132.0,1606.0,1526.0,3816.0,1897.0,1919.0,3666.0,1758.0,1908.0,3773.0,1840.0,1933.0,3595.0,1706.0,1889.0,3792.0,1827.0,1965.0,3646.0,1796.0,1850.0,3910.0,1920.0,1990.0,3457.0,1594.0,1863.0,2806.0,1360.0,1446.0,2406.0,1035.0,1371.0,1803.0,751.0,1052.0,1140.0,496.0,644.0,927.0,353.0,574.0,39.2,37.8,40.5
2,baldwin county,1003,54.203,0.44308661197538457,55.995,0.44338754486734966,55.099,0.4438629316097293,57.339,0.4464884620584682,54.203,0.4464884620584682,45.692,0.4464884620584682,38.973,0.4464884620584682,78.2,366.0,12,15,10,13,5.0,17.0,36,88.0,59871.0,19.0,14.0,75,82,8.6,0.8,1.1,0.1,4.7,83.2,1,42.3,229287.0,111000.0,118287.0,12092.0,6317.0,5775.0,13409.0,6909.0,6500.0,14271.0,7206.0,7065.0,13435.0,6714.0,6721.0,11328.0,5694.0,5634.0,12465.0,6252.0,6213.0,12962.0,6294.0,6668.0,13565.0,6590.0,6975.0,13920.0,6681.0,7239.0,14298.0,6948.0,7350.0,14610.0,6995.0,7615.0,16450.0,7758.0,8692.0,16997.0,7811.0,9186.0,15731.0,7232.0,8499.0,13973.0,6589.0,7384.0,9554.0,4560.0,4994.0,5678.0,2572.0,3106.0,4549.0,1878.0,2671.0,43.9,42.6,45.3
3,butler county,1013,164.541,0.3578753076292043,179.967,0.35813166529942575,190.25099999999998,0.3581829368334701,164.541,0.3585931091058244,149.116,0.3585931091058244,123.406,0.3585931091058244,77.12899999999999,0.3585931091058244,74.2,568.0,17,19,20,19,3.0,34.0,42,83.0,39944.0,10.0,21.0,70,65,44.6,0.4,1.4,0.0,1.5,51.1,0,71.2,19504.0,9084.0,10420.0,1097.0,547.0,550.0,1188.0,629.0,559.0,1287.0,678.0,609.0,1131.0,630.0,501.0,1105.0,553.0,552.0,1125.0,561.0,564.0,1084.0,496.0,588.0,1178.0,548.0,630.0,1205.0,524.0,681.0,1118.0,487.0,631.0,1139.0,511.0,628.0,1281.0,544.0,737.0,1395.0,670.0,725.0,1301.0,575.0,726.0,990.0,455.0,535.0,750.0,343.0,407.0,551.0,195.0,356.0,579.0,138.0,441.0,42.2,39.2,44.8
4,cherokee county,1019,95.434,0.29291853654826194,91.617,0.2930326310184833,91.617,0.2933749144291473,118.339,0.29367916634973756,141.243,0.29367916634973756,137.42600000000002,0.29367916634973756,133.608,0.29367916634973756,74.5,534.0,16,18,16,16,0.0,36.0,38,94.0,45982.0,23.0,28.0,77,71,4.1,0.7,0.4,0.0,1.7,91.7,0,85.7,26294.0,13032.0,13262.0,1214.0,599.0,615.0,1303.0,685.0,618.0,1447.0,750.0,697.0,1390.0,672.0,718.0,1360.0,680.0,680.0,1555.0,828.0,727.0,1338.0,687.0,651.0,1203.0,578.0,625.0,1374.0,668.0,706.0,1717.0,858.0,859.0,1789.0,926.0,863.0,2018.0,1000.0,1018.0,2204.0,1086.0,1118.0,1941.0,949.0,992.0,1851.0,933.0,918.0,1220.0,549.0,671.0,763.0,343.0,420.0,607.0,241.0,366.0,47.9,47.2,48.5
5,chilton county,1021,128.297,0.32033695970448456,132.799,0.32044957992657164,153.05700000000002,0.3206748203707458,150.806,0.3269365047187873,159.809,0.3269365047187873,135.05,0.3269365047187873,108.04,0.3269365047187873,74.9,508.0,16,18,19,16,1.0,26.0,39,87.0,49692.0,14.0,14.0,74,69,9.9,0.6,0.5,0.2,8.2,79.9,2,86.7,44397.0,21736.0,22661.0,2724.0,1382.0,1342.0,2882.0,1435.0,1447.0,3073.0,1482.0,1591.0,2822.0,1432.0,1390.0,2541.0,1320.0,1221.0,2899.0,1452.0,1447.0,2704.0,1348.0,1356.0,2592.0,1291.0,1301.0,2746.0,1313.0,1433.0,2837.0,1435.0,1402.0,2850.0,1435.0,1415.0,3029.0,1493.0,1536.0,2927.0,1413.0,1514.0,2566.0,1202.0,1364.0,2080.0,958.0,1122.0,1446.0,675.0,771.0,889.0,368.0,521.0,790.0,302.0,488.0,39.9,39.0,40.8
6,coffee county,1031,61.136,0.35523201202329513,63.047,0.3555325944016532,70.689,0.3560773999624272,72.59899999999999,0.3563216231448431,66.868,0.3563216231448431,59.226000000000006,0.3563216231448431,34.389,0.3563216231448431,76.4,435.0,14,16,16,16,6.0,17.0,37,94.0,57299.0,12.0,15.0,66,80,17.1,1.4,1.7,0.4,8.0,69.4,1,47.2,53230.0,26245.0,26985.0,3207.0,1652.0,1555.0,3481.0,1800.0,1681.0,3644.0,1852.0,1792.0,3257.0,1669.0,1588.0,3132.0,1654.0,1478.0,3356.0,1713.0,1643.0,3432.0,1745.0,1687.0,3456.0,1720.0,1736.0,3313.0,1669.0,1644.0,3618.0,1768.0,1850.0,3331.0,1643.0,1688.0,3356.0,1714.0,1642.0,3276.0,1542.0,1734.0,2869.0,1300.0,1569.0,2612.0,1251.0,1361.0,1725.0,751.0,974.0,1140.0,441.0,699.0,1025.0,361.0,664.0,39.5,37.9,40.9
7,colbert county,1033,108.615,0.44242117991012614,104.994,0.4426016494919781,110.425,0.44280016603201533,115.85600000000001,0.44317915215390447,112.235,0.44317915215390447,81.461,0.44317915215390447,83.271,0.44317915215390447,74.6,518.0,14,17,17,16,7.0,25.0,40,93.0,46683.0,19.0,22.0,72,70,16.0,0.7,0.7,0.1,3.2,77.7,1,43.9,55411.0,26538.0,28873.0,3171.0,1613.0,1558.0,3174.0,1603.0,1571.0,3354.0,1686.0,1668.0,2966.0,1522.0,1444.0,3087.0,1515.0,1572.0,3678.0,1835.0,1843.0,3541.0,1771.0,1770.0,3184.0,1550.0,1634.0,3149.0,1496.0,1653.0,3344.0,1581.0,1763.0,3655.0,1772.0,1883.0,3916.0,1899.0,2017.0,3805.0,1763.0,2042.0,3472.0,1624.0,1848.0,3005.0,1342.0,1663.0,2165.0,907.0,1258.0,1406.0,542.0,864.0,1339.0,517.0,822.0,42.4,40.6,44.1
8,covington county,1039,113.363,0.35193609531546166,107.965,0.3522881126455456,161.94799999999998,0.35245058218250747,172.74400000000003,0.35264012997562955,159.249,0.35264012997562955,145.753,0.35264012997562955,110.664,0.35264012997562955,73.7,561.0,15,18,17,18,4.0,26.0,38,94.0,44836.0,16.0,21.0,74,71,12.4,0.8,0.5,0.0,1.9,83.1,0,69.7,36930.0,17831.0,19099.0,2114.0,1073.0,1041.0,2278.0,1165.0,1113.0,2242.0,1159.0,1083.0,2127.0,1103.0,1024.0,1848.0,923.0,925.0,2155.0,1097.0,1058.0,2130.0,1078.0,1052.0,2087.0,947.0,1140.0,1997.0,979.0,1018.0,2206.0,1079.0,1127.0,2271.0,1099.0,1172.0,2639.0,1259.0,1380.0,2741.0,1356.0,1385.0,2395.0,1118.0,1277.0,2101.0,975.0,1126.0,1536.0,694.0,842.0,1031.0,375.0,656.0,1032.0,352.0,680.0,43.7,41.8,45.4
9,crenshaw county,1041,217.833,0.3160587676339449,217.833,0.3162049557780864,203.31099999999998,0.3162780498501572,217.833,0.31657042613844016,210.572,0.31657042613844016,203.31099999999998,0.31657042613844016,87.133,0.31657042613844016,74.4,550.0,16,18,20,17,17.0,30.0,39,93.0,43309.0,17.224367509986685,14.0,75,65,23.6,0.7,1.1,0.0,2.4,70.3,1,100.0,13681.0,6645.0,7036.0,756.0,406.0,350.0,876.0,464.0,412.0,904.0,440.0,464.0,843.0,462.0,381.0,722.0,375.0,347.0,876.0,413.0,463.0,825.0,407.0,418.0,745.0,357.0,388.0,754.0,374.0,380.0,865.0,385.0,480.0,821.0,409.0,412.0,997.0,475.0,522.0,968.0,495.0,473.0,851.0,387.0,464.0,788.0,356.0,432.0,457.0,231.0,226.0,315.0,112.0,203.0,318.0,97.0,221.0,41.8,40.0,43.8
10,cullman county,1043,102.665,0.35211500916996985,101.471,0.3523398213334911,108.633,0.35260013015441044,94.30799999999999,0.3528486067561971,101.471,0.3528486067561971,94.30799999999999,0.3528486067561971,81.17699999999999,0.3528486067561971,74.5,493.0,15,17,15,15,3.0,24.0,37,94.0,50897.0,21.0,15.0,75,74,1.2,0.6,0.7,0.1,4.5,91.7,1,73.2,84515.0,41789.0,42726.0,5028.0,2596.0,2432.0,5268.0,2658.0,2610.0,5268.0,2691.0,2577.0,4971.0,2575.0,2396.0,4693.0,2403.0,2290.0,5546.0,2805.0,2741.0,5475.0,2795.0,2680.0,4914.0,2438.0,2476.0,5137.0,2610.0,2527.0,5274.0,2617.0,2657.0,5340.0,2721.0,2619.0,5818.0,2897.0,2921.0,5642.0,2783.0,2859.0,5025.0,2343.0,2682.0,4490.0,2080.0,2410.0,3141.0,1398.0,1743.0,1990.0,836.0,1154.0,1495.0,543.0,952.0,41.0,39.9,42.3
11,dekalb county,1049,103.478,0.30686036450919646,106.274,0.30736275084428816,117.461,0.3075162577800106,131.445,0.30764185436378355,155.217,0.30764185436378355,138.436,0.30764185436378355,127.25,0.30764185436378355,74.5,501.0,18,19,16,17,2.0,23.0,39,93.0,44277.0,23.0,19.0,72,72,1.5,2.0,0.5,0.6,15.1,79.8,3,90.1,71658.0,35598.0,36060.0,4277.0,2239.0,2038.0,4581.0,2386.0,2195.0,5183.0,2624.0,2559.0,4746.0,2456.0,2290.0,4214.0,2205.0,2009.0,4543.0,2333.0,2210.0,4021.0,2043.0,1978.0,4081.0,2024.0,2057.0,4495.0,2215.0,2280.0,4641.0,2345.0,2296.0,4688.0,2356.0,2332.0,4764.0,2364.0,2400.0,4585.0,2236.0,2349.0,4009.0,1956.0,2053.0,3639.0,1686.0,1953.0,2487.0,1141.0,1346.0,1474.0,571.0,903.0,1230.0,418.0,812.0,40.2,38.8,41.5
