,location,FIPS,2021-11-28,2021-11-27,2021-11-26,2021-11-25,2021-11-24,2021-11-23,2021-11-22,2021-11-21,2021-11-20,2021-11-19,2021-11-18,2021-11-17,2021-11-16,2021-11-15,2021-11-14,2021-11-13,2021-11-12,2021-11-11,2021-11-10,2021-11-09,2021-11-08,2021-11-07,2021-11-06,2021-11-05,2021-11-04,2021-11-03,2021-11-02,2021-11-01,2021-10-31,2021-10-30,2021-10-29,2021-10-28,2021-10-27,2021-10-26,2021-10-25,2021-10-24,2021-10-23,2021-10-22,2021-10-21,2021-10-20,2021-10-19,2021-10-18,2021-10-17,2021-10-16,2021-10-15,2021-10-14,2021-10-13,2021-10-12,2021-10-11,2021-10-10,2021-10-09,2021-10-08,2021-10-07,2021-10-06,2021-10-05,2021-10-04,2021-10-03,2021-10-02,2021-10-01,2021-09-30,2021-09-29,2021-09-28,2021-09-27,2021-09-26,2021-09-25,2021-09-24,2021-09-23,2021-09-22,2021-09-21,2021-09-20,2021-09-19,2021-09-18,2021-09-17,2021-09-16,2021-09-15,2021-09-14,2021-09-13,2021-09-12,2021-09-11,2021-09-10,2021-09-09,2021-09-08,2021-09-07,2021-09-06,2021-09-05,2021-09-04,2021-09-03,2021-09-02,2021-09-01,2021-08-31,2021-08-30,2021-08-29,2021-08-28,2021-08-27,2021-08-26,2021-08-25,2021-08-24,2021-08-23,2021-08-22,2021-08-21,2021-08-20,2021-08-19,2021-08-18,2021-08-17,2021-08-16,2021-08-15,2021-08-14,2021-08-13,2021-08-12,2021-08-11,2021-08-10,2021-08-09,2021-08-08,2021-08-07,2021-08-06,2021-08-05,2021-08-04,2021-08-03,2021-08-02,2021-08-01,2021-07-31,2021-07-30,2021-07-29,2021-07-28,2021-07-27,2021-07-26,2021-07-25
0,alabama,1000,3364.449,3551.9499999999994,4545.836000000001,5578.759999999999,5800.495,6068.113,5904.041999999999,5810.764,5691.403,5585.449000000001,5502.084999999999,5702.020999999999,5391.201000000002,6480.038999999999,6431.686999999999,6512.785,6281.695999999999,6287.392000000001,6937.271000000001,7263.6810000000005,6669.982000000001,6641.262999999998,6868.655000000003,6613.375999999999,6405.173999999999,8468.815,18329.066000000006,18912.760999999995,19103.835000000006,19272.179999999997,19880.084000000003,21125.573,19297.90599999999,9388.298,8596.595,8570.970000000003,8960.861,9009.750000000002,8188.9710000000005,8324.278000000002,9497.499,9712.447,9878.878,9817.824,9819.367999999999,9800.783000000001,9692.641999999998,9179.336000000001,11151.840000000002,11525.832,11796.584,12527.919,13681.412999999999,14543.723999999991,15446.839,15119.482000000002,16570.660999999996,17521.260999999995,20101.090000000004,21228.759000000005,24010.860000000004,25360.274000000005,27257.065000000002,27581.749000000003,28333.412000000004,28693.415999999994,29371.14,29513.356000000003,30789.567,32144.300999999996,33230.170999999995,32768.92300000001,34041.988000000005,35304.278999999995,35885.13699999999,36329.397999999994,34355.53600000001,33878.816999999995,35125.958999999995,35173.194,36628.45500000001,36928.577000000005,37480.121999999996,41171.456999999995,41825.799999999996,42487.486999999994,44174.925999999985,44121.554000000004,51309.35699999999,44959.914,37365.080000000016,36641.187999999995,36395.23700000001,36749.034,34824.985,26527.831000000002,32377.361999999997,37960.99199999999,37602.113000000005,41624.23199999999,33312.03,33092.276000000005,32593.825999999997,31777.162,31068.483999999997,33854.35299999999,25635.734000000004,30490.688,29817.58400000001,29351.050999999996,28354.87600000001,27441.48000000001,23731.199000000004,25683.194000000003,30782.479000000003,26409.861999999994,21753.580999999995,20900.186000000005,20100.018000000004,19862.919999999995,19434.221999999998,11833.004999999997,14108.852000000003,16158.598999999997,14827.398999999996,13275.019999999995,12244.062999999998
1,autauga county,1001,82.335,87.705,98.445,130.66299999999998,152.142,136.032,125.29299999999999,121.713,119.92299999999999,132.453,118.133,121.713,123.50299999999999,128.873,128.873,132.453,123.50299999999999,123.50299999999999,127.083,141.40200000000002,137.822,141.40200000000002,157.511,153.93200000000002,152.142,359.77,375.879,375.879,366.93,350.82099999999997,467.164,474.324,309.653,272.065,257.746,261.32599999999996,268.485,150.352,143.192,80.546,91.285,94.865,91.285,89.495,78.756,85.915,98.445,105.604,109.184,125.29299999999999,118.133,139.612,146.77200000000002,170.041,171.831,177.2,202.25900000000001,223.738,212.998,238.05700000000002,263.115,281.015,293.54400000000004,279.225,284.594,363.35,349.031,352.611,349.031,375.879,400.93800000000005,442.106,415.25699999999995,485.06300000000005,470.744,515.492,481.483,492.223,513.702,533.391,486.853,554.869,545.92,588.878,635.415,576.3480000000001,642.575,692.692,834.0939999999999,762.498,692.692,619.306,628.255,628.255,579.928,357.98,431.366,485.06300000000005,511.912,635.415,479.694,486.853,497.593,488.64300000000003,488.64300000000003,501.17199999999997,332.92199999999997,424.207,393.778,391.98800000000006,363.35,363.35,325.762,372.29900000000004,384.829,341.871,279.225,284.594,268.485,257.746,241.637,152.142,162.881,186.15,162.881,152.142,128.873
2,baldwin county,1003,39.421,38.973,45.692,54.203,57.339,55.099,55.995,54.203,56.443000000000005,62.714,69.434,75.705,68.986,96.759,97.20700000000001,99.447,129.909,129.909,127.221,130.804,104.823,104.823,105.271,70.33,64.954,60.923,71.67399999999999,71.226,69.882,68.538,66.298,70.778,70.778,70.778,75.257,76.601,78.84100000000001,80.633,77.945,90.488,86.904,86.456,88.696,89.14399999999999,103.031,106.615,103.479,105.719,135.732,138.868,146.931,144.691,149.171,145.58700000000002,154.546,145.139,150.963,152.755,171.56900000000002,176.048,207.40599999999998,208.75,207.854,220.39700000000002,221.292,219.053,240.555,268.328,297.894,347.16900000000004,358.36800000000005,374.04699999999997,400.029,439.449,427.35400000000004,436.76099999999997,401.82099999999997,397.341,404.95599999999996,419.73900000000003,473.046,503.06,517.842,608.778,623.561,652.678,777.211,717.633,876.659,796.0260000000001,658.502,669.701,704.194,703.298,793.7860000000001,661.638,827.831,931.31,932.654,1034.789,830.967,783.035,813.4960000000001,774.5239999999999,787.066,894.1289999999999,685.827,809.465,844.8530000000001,826.487,840.3739999999999,855.6039999999999,761.085,847.0930000000001,1040.612,883.826,750.7819999999999,737.791,736.895,711.809,689.4110000000001,453.336,528.5930000000001,589.068,529.0409999999999,468.56699999999995,451.54400000000004
3,butler county,1013,61.703,77.12899999999999,123.406,149.116,164.541,190.25099999999998,179.967,164.541,164.541,113.12200000000001,87.413,82.271,61.703,66.845,61.703,51.419,51.419,66.845,66.845,82.271,128.548,138.832,143.974,159.399,149.116,174.825,411.353,442.205,447.347,442.205,452.48900000000003,457.631,421.63699999999994,179.967,97.696,82.271,82.271,97.696,102.838,102.838,102.838,102.838,102.838,97.696,61.703,77.12899999999999,82.271,87.413,92.555,92.555,97.696,97.696,92.555,107.98,128.548,133.69,143.974,143.974,226.24400000000003,221.102,241.67,257.096,334.225,390.786,431.921,411.353,431.921,467.914,519.3340000000001,488.48199999999997,483.34,483.34,539.901,637.5980000000001,617.03,575.895,575.895,565.611,596.462,581.0369999999999,534.759,550.185,570.753,611.888,617.03,581.0369999999999,534.759,519.3340000000001,704.443,617.03,509.05,539.901,642.74,689.0169999999999,653.023,411.353,462.773,524.476,478.19800000000004,431.921,323.941,370.218,411.353,385.644,442.205,509.05,411.353,488.48199999999997,467.914,503.908,539.901,473.056,395.92800000000005,431.921,452.48900000000003,385.644,277.664,246.812,251.954,241.67,231.386,185.109,241.67,277.664,313.657,318.79900000000004,308.515
4,cherokee county,1019,125.973,133.608,137.42600000000002,141.243,118.339,91.617,91.617,95.434,87.8,80.165,80.165,103.069,87.8,91.617,91.617,91.617,87.8,110.704,118.339,114.521,103.069,103.069,95.434,87.8,80.165,64.895,148.878,152.695,152.695,152.695,164.14700000000002,167.965,148.878,87.8,91.617,106.887,110.704,110.704,95.434,99.25200000000001,110.704,106.887,103.069,106.887,99.25200000000001,103.069,103.069,72.53,87.8,87.8,80.165,99.25200000000001,125.973,171.782,187.051,175.59900000000002,198.50400000000002,213.773,225.225,248.12900000000002,274.851,316.842,335.92900000000003,328.29400000000004,366.468,385.555,362.651,343.564,347.381,404.642,416.094,419.911,416.094,419.911,446.63300000000004,450.45,393.19,450.45,496.259,549.702,633.685,603.146,671.8580000000001,759.658,706.215,710.0319999999999,694.763,679.493,729.1189999999999,587.876,465.72,477.17199999999997,469.537,473.355,446.63300000000004,404.642,477.17199999999997,492.44199999999995,465.72,500.07599999999996,400.825,366.468,324.47700000000003,324.47700000000003,332.11199999999997,385.555,251.947,301.573,286.303,313.025,278.668,301.573,229.043,244.312,290.121,255.764,206.138,236.67700000000002,213.773,202.321,190.86900000000003,137.42600000000002,152.695,164.14700000000002,129.791,114.521,114.521
5,chilton county,1021,94.535,108.04,135.05,159.809,150.806,153.05700000000002,132.799,128.297,114.792,99.037,110.291,121.545,137.30100000000002,162.06,164.31099999999998,175.565,195.822,171.063,146.304,114.792,117.04299999999999,117.04299999999999,173.31400000000002,159.809,162.06,335.374,344.37699999999995,333.12300000000005,335.374,276.85200000000003,270.1,270.1,128.297,126.04700000000001,119.294,119.294,121.545,119.294,126.04700000000001,110.291,117.04299999999999,112.542,114.792,117.04299999999999,114.792,110.291,128.297,117.04299999999999,132.799,146.304,144.053,157.558,173.31400000000002,159.809,209.327,204.826,204.826,222.832,263.347,294.85900000000004,310.615,281.35400000000004,283.605,294.85900000000004,290.357,285.856,283.605,317.367,333.12300000000005,380.39099999999996,429.909,443.414,477.17699999999996,501.936,515.441,555.956,540.2,510.939,524.444,519.942,537.9490000000001,560.457,549.203,623.481,621.23,607.725,596.471,632.484,745.0260000000001,670.748,540.2,535.698,537.9490000000001,605.474,546.952,398.397,497.434,578.464,594.22,682.002,533.447,499.685,463.67199999999997,407.401,380.39099999999996,378.14,249.842,294.85900000000004,290.357,297.11,294.85900000000004,297.11,267.849,285.856,423.157,380.39099999999996,328.62199999999996,324.12,297.11,283.605,299.361,144.053,177.81599999999997,204.826,193.572,189.07,189.07
6,coffee county,1031,26.747,34.389,59.226000000000006,66.868,72.59899999999999,70.689,63.047,61.136,57.315,38.21,36.3,36.3,43.942,72.59899999999999,78.331,85.973,85.973,97.436,106.98899999999999,114.631,101.257,97.436,91.705,101.257,97.436,108.899,145.19899999999998,128.004,126.094,120.36200000000001,110.81,116.541,99.34700000000001,57.315,55.405,55.405,53.494,55.405,45.852,55.405,64.957,68.778,80.241,82.152,89.794,108.899,126.094,116.541,133.736,143.28799999999998,158.572,160.483,160.483,179.588,219.709,271.293,349.624,399.29699999999997,481.449,508.19599999999997,521.57,510.10699999999997,483.35900000000004,418.402,384.01300000000003,320.966,317.145,340.07099999999997,387.834,406.939,416.49199999999996,410.76,483.35900000000004,506.286,487.18,468.075,445.149,437.50699999999995,443.23900000000003,420.31300000000005,426.04400000000004,466.165,498.644,592.259,628.558,636.2,699.247,701.158,819.6089999999999,720.263,578.885,565.511,607.543,588.438,580.7959999999999,433.686,540.675,647.663,659.127,768.0260000000001,634.29,689.695,745.1,802.415,829.1619999999999,920.867,729.815,899.8510000000001,884.567,936.1510000000001,909.404,892.209,762.294,806.2360000000001,978.182,863.551,672.5,622.827,582.706,611.364,607.543,311.413,384.01300000000003,433.686,393.565,370.639,340.07099999999997
7,colbert county,1033,86.89200000000001,83.271,81.461,112.235,115.85600000000001,110.425,104.994,108.615,101.374,108.615,94.133,97.75299999999999,79.65100000000001,81.461,81.461,85.08200000000001,85.08200000000001,97.75299999999999,92.323,104.994,117.666,112.235,114.046,92.323,76.03,128.528,425.409,456.18300000000005,461.61400000000003,474.285,510.49,523.1619999999999,497.819,188.266,150.251,144.82,128.528,106.805,104.994,112.235,135.769,124.90700000000001,123.09700000000001,133.958,133.958,137.579,124.90700000000001,121.287,146.63,150.251,157.49200000000002,157.49200000000002,152.061,157.49200000000002,173.78400000000002,179.215,191.886,217.23,249.81400000000002,289.64,287.83,304.122,324.035,331.276,333.086,352.999,345.75800000000004,356.619,380.152,405.496,427.219,407.306,398.255,394.634,443.51099999999997,430.839,392.824,387.39300000000003,419.978,432.65,463.42400000000004,434.46,474.285,523.1619999999999,519.5419999999999,503.249,515.9209999999999,501.439,617.295,514.111,421.788,423.598,398.255,414.54699999999997,394.634,267.91700000000003,342.13699999999994,383.773,383.773,454.37300000000005,354.809,410.92699999999996,416.35699999999997,459.80300000000005,470.665,505.06,414.54699999999997,505.06,470.665,443.51099999999997,376.532,380.152,336.70599999999996,358.42900000000003,369.291,300.501,262.486,249.81400000000002,222.66099999999997,217.23,206.368,157.49200000000002,204.558,220.85,200.938,181.025,161.112
8,covington county,1039,110.664,110.664,145.753,159.249,172.74400000000003,161.94799999999998,107.965,113.363,113.363,70.17699999999999,75.57600000000001,207.833,199.735,205.13400000000001,199.735,202.435,194.33700000000002,191.638,59.381,59.381,72.876,72.876,78.275,78.275,67.47800000000001,75.57600000000001,102.56700000000001,94.469,97.169,89.071,105.266,118.762,107.965,86.37200000000001,72.876,75.57600000000001,80.97399999999999,91.77,102.56700000000001,148.452,164.64700000000002,164.64700000000002,159.249,156.549,156.549,159.249,129.558,183.541,191.638,205.13400000000001,218.62900000000002,207.833,226.727,251.019,213.231,242.922,264.515,299.603,315.798,294.205,278.01,291.506,275.311,321.19599999999997,321.19599999999997,348.18800000000005,388.67400000000004,491.241,585.711,623.499,588.41,572.215,607.304,626.198,653.189,604.605,634.295,618.1,639.693,601.906,566.817,663.9860000000001,661.2860000000001,628.8969999999999,634.295,628.8969999999999,636.994,761.154,607.304,510.135,442.657,431.861,458.852,569.516,583.012,499.339,663.9860000000001,788.145,774.65,798.942,623.499,574.914,615.401,537.127,466.949,620.799,515.533,612.702,577.613,604.605,680.18,736.862,607.304,636.994,780.048,672.0830000000001,580.313,488.542,442.657,458.852,493.94,321.19599999999997,396.772,458.852,421.064,410.267,364.38199999999995
9,crenshaw county,1041,87.133,87.133,203.31099999999998,210.572,217.833,203.31099999999998,217.833,217.833,217.833,101.656,94.39399999999999,116.178,152.483,261.4,268.661,268.661,312.228,312.228,304.967,268.661,116.178,116.178,145.222,101.656,130.7,123.439,413.88300000000004,413.88300000000004,413.88300000000004,384.839,413.88300000000004,421.144,413.88300000000004,108.917,116.178,108.917,123.439,108.917,94.39399999999999,87.133,101.656,116.178,116.178,108.917,108.917,101.656,87.133,87.133,79.872,79.872,79.872,94.39399999999999,79.872,130.7,159.744,167.00599999999997,188.78900000000002,217.833,254.139,275.922,341.272,363.055,399.361,428.405,413.88300000000004,392.1,530.061,595.411,609.933,638.9780000000001,624.455,675.283,704.328,646.239,559.105,588.15,588.15,624.455,631.717,653.5,668.0219999999999,682.544,689.805,849.55,864.072,849.55,1023.816,1016.555,1161.778,1038.339,784.2,733.372,740.633,689.805,660.7610000000001,544.5830000000001,660.7610000000001,711.5889999999999,733.372,827.7660000000001,609.933,588.15,537.322,493.755,544.5830000000001,617.194,450.189,501.017,501.017,522.8,530.061,515.539,464.711,508.278,617.194,559.105,450.189,406.62199999999996,341.272,283.183,275.922,145.222,152.483,210.572,203.31099999999998,203.31099999999998,181.528
