"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-01",,,,,,,"48",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-02",,,,,,,"61",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-03",,,,,,,"69",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-04",,,,,,,"72",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-05",,,,,,,"67",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-06",,,,,,,"49",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-07",,,,,,,"43",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-08",,,,,,,"50",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-09",,,,,,,"51",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-10",,,,,,,"50",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-11",,,,,,,"43",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-12",,,,,,,"44",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-13",,,,,,,"39",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-14",,,,,,,"40",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-15",,,,,,,"43",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-16",,,,,,,"40",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-17",,,,,,,"39",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-18",,,,,,,"44",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-19",,,,,,,"42",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-20",,,,,,,"46",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-21",,,,,,,"44",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-22",,,,,,,"45",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-23",,,,,,,"50",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-24",,,,,,,"44",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-25",,,,,,,"39",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-26",,,,,,,"37",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-27",,,,,,,"36",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-28",,,,,,,"40",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-29",,,,,,,"43",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-30",,,,,,,"45",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-08-31",,,,,,,"47",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-09-01",,,,,,,"49",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-09-02",,,,,,,"54",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-09-03",,,,,,,"50",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-09-04",,,,,,,"46",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-09-05",,,,,,,"38",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-09-06",,,,,,,"36",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-09-07",,,,,,,"45",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-09-08",,,,,,,"46",",,U"
"USR0000ASLR","67.4597","-159.8405","366.1","2021-09-09",,,,,,,"49",",,U"
