"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"US1ALLS0036","34.775106","-87.001584","217.9","2021-08-01",,,"0.01",",,N",,,,
"US1ALLS0036","34.775106","-87.001584","217.9","2021-08-02",,,"0.20",",,N",,,,
"US1ALLS0036","34.775106","-87.001584","217.9","2021-08-03",,,"0.00",",,N","0.0",",,N",,
"US1ALLS0036","34.775106","-87.001584","217.9","2021-08-04",,,"0.00",",,N","0.0",",,N",,
"US1ALLS0036","34.775106","-87.001584","217.9","2021-08-05",,,"0.00",",,N","0.0",",,N",,
"US1ALLS0036","34.775106","-87.001584","217.9","2021-08-06",,,"0.00",",,N","0.0",",,N",,
"US1ALLS0036","34.775106","-87.001584","217.9","2021-08-07",,,"0.02",",,N",,,,
"US1ALLS0036","34.775106","-87.001584","217.9","2021-08-08",,,"0.02",",,N",,,,
"US1ALLS0036","34.775106","-87.001584","217.9","2021-08-09",,,"0.00",",,N","0.0",",,N",,
"US1ALLS0036","34.775106","-87.001584","217.9","2021-08-10",,,"0.00",",,N","0.0",",,N",,
"US1ALLS0036","34.775106","-87.001584","217.9","2021-08-11",,,"0.00",",,N","0.0",",,N",,
"US1ALLS0036","34.775106","-87.001584","217.9","2021-08-12",,,"0.00",",,N","0.0",",,N",,
"US1ALLS0036","34.775106","-87.001584","217.9","2021-08-13",,,"0.00",",,N","0.0",",,N",,
"US1ALLS0036","34.775106","-87.001584","217.9","2021-08-14",,,"0.07",",,N",,,,
"US1ALLS0036","34.775106","-87.001584","217.9","2021-08-15",,,"0.00",",,N","0.0",",,N",,
"US1ALLS0036","34.775106","-87.001584","217.9","2021-08-16",,,"0.09",",,N",,,,
"US1ALLS0036","34.775106","-87.001584","217.9","2021-08-17",,,"0.00",",,N","0.0",",,N",,
"US1ALLS0036","34.775106","-87.001584","217.9","2021-08-18",,,"0.00",",,N","0.0",",,N",,
"US1ALLS0036","34.775106","-87.001584","217.9","2021-08-19",,,"0.98",",,N",,,,
"US1ALLS0036","34.775106","-87.001584","217.9","2021-08-20",,,"0.55",",,N",,,,
"US1ALLS0036","34.775106","-87.001584","217.9","2021-08-21",,,"0.00",",,N","0.0",",,N",,
"US1ALLS0036","34.775106","-87.001584","217.9","2021-08-22",,,"0.82",",,N",,,,
"US1ALLS0036","34.775106","-87.001584","217.9","2021-08-23",,,"0.00",",,N","0.0",",,N",,
