"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"USW00003953","35.83111","-90.64639","79.9","2021-08-01","4.25",",,W","0.06",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-02","7.61",",,W","0.00","T,,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-03","7.83",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-04","6.04",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-05","2.46",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-06","3.80",",,W","0.00","T,,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-07","5.59",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-08","8.72",",,W","0.00","T,,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-09","12.30",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-10","11.41",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-11","11.41",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-12","9.40",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-13","4.92",",,W","2.58",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-14","5.82",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-15","6.71",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-16","5.14",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-17","3.80",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-18","4.03",",,W","1.10",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-19","4.70",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-20","6.93",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-21","6.26",",,W","0.08",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-22","3.36",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-23","2.91",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-24","3.80",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-25","3.58",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-26","3.58",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-27","3.80",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-28","3.80",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-29","4.70",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-30","10.51",",,W","0.00","T,,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-08-31","7.83",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-01","7.38",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-02","8.28",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-03","4.47",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-04","7.83",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-05","6.49",",,W","0.42",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-06","2.46",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-07","2.24",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-08","8.05",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-09","6.04",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-10","3.80",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-11","7.16",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-12","4.70",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-13","6.71",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-14","7.38",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-15","6.26",",,W","0.01",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-16","6.71",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-17","5.82",",,W","0.06",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-18","5.82",",,W","1.10",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-19","4.70",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-20","6.26",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-21","7.61",",,W","0.22",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-22","7.83",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-23","2.91",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-24","3.80",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-25","4.70",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-26","4.47",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-27","6.71",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-28","3.80",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-29","4.70",",,W","0.00","T,,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-09-30","6.71",",,W","0.94",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-01","4.92",",,W","1.22",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-02","7.16",",,W","0.69",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-03","7.16",",,W","0.01",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-04","3.13",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-05","7.16",",,W","0.03",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-06","2.91",",,W","0.15",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-07","3.58",",,W","0.00","T,,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-08","4.25",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-09","8.50",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-10","12.08",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-11","14.54",",,W","0.00","T,,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-12","2.24",",,W","0.00","T,,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-13","9.62",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-14","9.17",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-15","7.16",",,W","0.13",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-16","7.61",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-17","2.91",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-18","2.01",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-19","3.80",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-20","5.59",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-21","7.61",",,W","0.05",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-22","3.13",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-23","6.04",",,W","0.00","T,,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-24","15.21",",,W","0.19",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-25","8.95",",,W","0.21",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-26","6.49",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-27","11.41",",,W","0.24",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-28","12.30",",,W","0.32",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-29","12.75",",,W","0.02",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-30","7.16",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-10-31","5.59",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-11-01","8.05",",,W","0.01",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-11-02","9.17",",,W","0.00","T,,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-11-03","8.05",",,W","0.00","T,,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-11-04","4.92",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-11-05","4.92",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-11-06","1.12",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-11-07","1.79",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-11-08","4.25",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-11-09","4.03",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-11-10","6.04",",,W","0.00","T,,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-11-11","10.51",",,W","0.67",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-11-12","9.62",",,W","0.12",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-11-13","5.59",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-11-14","7.38",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-11-15","7.61",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-11-16","9.40",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-11-17","14.76",",,W","0.20",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-11-18","6.93",",,W","0.29",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-11-19","5.14",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-11-20","4.25",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-11-21","5.59",",,W","0.61",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-11-22","5.14",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-11-23","6.04",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-11-24","13.20",",,W","0.00",",,W",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-11-25","10.07",",,W","0.10",",,D",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-11-26","4.47",",,W","0.00",",,D","0.0",",,D",,
"USW00003953","35.83111","-90.64639","79.9","2021-11-27","10.74",",,W","0.00",",,D",,,,
"USW00003953","35.83111","-90.64639","79.9","2021-11-28","4.92",",,W","0.00",",,D",,,,
"USW00003952","34.8353","-92.2596","171.6","2021-08-01","5.37",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003952","34.8353","-92.2596","171.6","2021-08-02","4.92",",,W","0.03",",,W,2400","0.0",",,W",,
"USW00003952","34.8353","-92.2596","171.6","2021-08-03","5.37",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003952","34.8353","-92.2596","171.6","2021-08-04","4.92",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003952","34.8353","-92.2596","171.6","2021-08-05","3.58",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003952","34.8353","-92.2596","171.6","2021-08-06","2.91",",,W","1.15",",,W,2400","0.0",",,W",,
"USW00003952","34.8353","-92.2596","171.6","2021-08-07","4.70",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003952","34.8353","-92.2596","171.6","2021-08-08","6.04",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003952","34.8353","-92.2596","171.6","2021-08-09","7.38",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003952","34.8353","-92.2596","171.6","2021-08-10","7.16",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003952","34.8353","-92.2596","171.6","2021-08-11","6.49",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003952","34.8353","-92.2596","171.6","2021-08-12","5.82",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003952","34.8353","-92.2596","171.6","2021-08-13","4.47",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003952","34.8353","-92.2596","171.6","2021-08-14","3.58",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003952","34.8353","-92.2596","171.6","2021-08-15","4.03",",,W","0.22",",,W,2400","0.0",",,W",,
"USW00003952","34.8353","-92.2596","171.6","2021-08-16","5.59",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003952","34.8353","-92.2596","171.6","2021-08-17","4.70",",,W","0.13",",,W,2400","0.0",",,W",,
"USW00003952","34.8353","-92.2596","171.6","2021-08-18","3.80",",,W","0.01",",,W,2400","0.0",",,W",,
