"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"US1DESS0044","38.744523","-75.204769","7.9","2021-08-01",,,"0.00","T,,N",,,,
"US1DESS0044","38.744523","-75.204769","7.9","2021-08-02",,,"0.00","T,,N",,,,
"US1DESS0044","38.744523","-75.204769","7.9","2021-08-03",,,"0.00",",,N","0.0",",,N",,
"US1DESS0044","38.744523","-75.204769","7.9","2021-08-04",,,"0.00",",,N","0.0",",,N",,
"US1DESS0044","38.744523","-75.204769","7.9","2021-08-05",,,"0.00",",,N","0.0",",,N",,
"US1DESS0044","38.744523","-75.204769","7.9","2021-08-06",,,"0.00",",,N","0.0",",,N",,
"US1DESS0044","38.744523","-75.204769","7.9","2021-08-07",,,"0.00",",,N","0.0",",,N",,
"US1DESS0044","38.744523","-75.204769","7.9","2021-08-08",,,"2.62",",,N",,,,
"US1DESS0044","38.744523","-75.204769","7.9","2021-08-09",,,"0.00",",,N","0.0",",,N",,
"US1DESS0044","38.744523","-75.204769","7.9","2021-08-10",,,"1.05",",,N",,,,
"US1DESS0044","38.744523","-75.204769","7.9","2021-08-11",,,"0.00",",,N","0.0",",,N",,
"US1DESS0044","38.744523","-75.204769","7.9","2021-08-12",,,"0.00","T,,N",,,,
"US1DESS0044","38.744523","-75.204769","7.9","2021-08-13",,,"0.00",",,N","0.0",",,N",,
"US1DESS0044","38.744523","-75.204769","7.9","2021-08-14",,,"0.02",",,N",,,,
"US1DESS0044","38.744523","-75.204769","7.9","2021-08-15",,,"2.15",",,N",,,,
"US1DESS0044","38.744523","-75.204769","7.9","2021-08-16",,,"0.00",",,N","0.0",",,N",,
"US1DESS0044","38.744523","-75.204769","7.9","2021-08-17",,,"0.00","T,,N",,,,
"US1DESS0044","38.744523","-75.204769","7.9","2021-08-18",,,"0.03",",,N",,,,
"US1DESS0044","38.744523","-75.204769","7.9","2021-08-19",,,"0.00",",,N","0.0",",,N",,
"US1DESS0044","38.744523","-75.204769","7.9","2021-08-20",,,"0.39",",,N",,,,
"US1DESS0044","38.744523","-75.204769","7.9","2021-08-21",,,"2.11",",,N",,,,
"US1DESS0044","38.744523","-75.204769","7.9","2021-08-22",,,"0.01",",,N",,,,
"US1DESS0044","38.744523","-75.204769","7.9","2021-08-23",,,"0.54",",,N",,,,
"US1DESS0044","38.744523","-75.204769","7.9","2021-08-24",,,"0.02",",,N",,,,
"US1DESS0044","38.744523","-75.204769","7.9","2021-08-25",,,"0.00",",,N","0.0",",,N",,
"US1DESS0044","38.744523","-75.204769","7.9","2021-08-26",,,"0.00",",,N","0.0",",,N",,
"US1DESS0044","38.744523","-75.204769","7.9","2021-08-27",,,"0.00",",,N","0.0",",,N",,
