"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"USC00518386","20.0375","-155.6347","916.2","2021-08-01",,,"0.00",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-02",,,"0.05",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-03",,,"0.65",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-04",,,"0.86",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-05",,,"0.11",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-06",,,"0.22",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-07",,,"0.33",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-08",,,"0.01",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-09",,,"0.00",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-10",,,"0.17",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-11",,,"0.56",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-12",,,"0.19",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-13",,,"0.01",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-14",,,"0.23",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-15",,,"0.17",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-16",,,"0.19",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-17",,,"1.00",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-18",,,"0.03",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-19",,,"0.05",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-20",,,"0.06",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-21",,,"0.14",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-22",,,"0.52",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-23",,,"0.70",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-24",,,"0.24",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-25",,,"0.16",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-26",,,"0.03",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-27",,,"0.08",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-28",,,"0.03",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-29",,,"0.00",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-30",,,"0.00",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-08-31",,,"0.00",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-01",,,"0.00",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-02",,,"0.00",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-03",,,"0.03",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-04",,,"0.36",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-05",,,"0.03",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-06",,,"0.24",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-07",,,"0.00",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-08",,,"0.00",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-09",,,"0.00",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-10",,,"0.10",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-11",,,"0.01",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-12",,,"0.07",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-13",,,"0.00",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-14",,,"0.00",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-15",,,"0.00",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-16",,,"0.11",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-17",,,"0.02",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-18",,,"0.00",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-19",,,"0.06",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-20",,,"0.10",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-21",,,"0.13",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-22",,,"0.07",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-23",,,"0.03",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-24",,,"0.00",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-25",,,"0.02",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-26",,,"0.15",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-27",,,"0.69",",,7,0800",,,,
"USC00518386","20.0375","-155.6347","916.2","2021-09-28",,,"0.15",",,7,0800",,,,
