"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-01",,,,,,,"72",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-02",,,,,,,"68",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-03",,,,,,,"71",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-04",,,,,,,"78",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-05",,,,,,,"79",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-06",,,,,,,"65",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-07",,,,,,,"69",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-08",,,,,,,"71",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-09",,,,,,,"64",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-10",,,,,,,"69",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-11",,,,,,,"75",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-12",,,,,,,"80",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-13",,,,,,,"83",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-14",,,,,,,"79",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-15",,,,,,,"78",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-16",,,,,,,"78",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-17",,,,,,,"74",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-18",,,,,,,"57",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-19",,,,,,,"50",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-20",,,,,,,"60",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-21",,,,,,,"60",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-22",,,,,,,"60",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-23",,,,,,,"66",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-24",,,,,,,"63",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-25",,,,,,,"71",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-26",,,,,,,"66",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-27",,,,,,,"65",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-28",,,,,,,"63",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-29",,,,,,,"69",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-30",,,,,,,"70",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-08-31",,,,,,,"67",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-09-01",,,,,,,"61",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-09-02",,,,,,,"62",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-09-03",,,,,,,"60",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-09-04",,,,,,,"64",",,U"
"USR0000IPOB","43.2261","-113.5744","1502.7","2021-09-05",,,,,,,"70",",,U"
