"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"US1MAHS0008","42.391687","-72.738372","227.7","2021-08-01",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-08-02",,,"0.18",",,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-08-03",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-08-04",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-08-05",,,"0.00","T,,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-08-14",,,,,,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-08-15",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-08-16",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-08-17",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-08-18",,,"0.00","T,,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-08-19",,,"0.33",",,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-08-20",,,"1.34",",,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-08-29",,,,,,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-08-30",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-08-31",,,"0.05",",,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-09-01",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-09-02",,,"2.88",",,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-09-03",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-09-06",,,,,,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-09-07",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-09-08",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-09-09",,,"0.31",",,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-09-10",,,"0.13",",,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-09-11",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-09-12",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-09-13",,,"0.18",",,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-09-14",,,"0.00","T,,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-09-15",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-09-16",,,"0.23",",,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-09-17",,,"0.05",",,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-09-19",,,,,,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-09-20",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-09-21",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-09-22",,,"0.04",",,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-09-23",,,"0.21",",,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-09-24",,,"0.70",",,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-09-25",,,"0.32",",,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-09-26",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-09-27",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-09-28",,,"0.02",",,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-09-29",,,"0.08",",,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-09-30",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-01",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-02",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-03",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-04",,,"1.98",",,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-05",,,"1.69",",,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-06",,,"0.16",",,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-07",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-08",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-12",,,,,,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-13",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-14",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-15",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-16",,,"0.03",",,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-17",,,"0.34",",,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-18",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-19",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-20",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-21",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-22",,,"0.00","T,,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-23",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-24",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-25",,,"0.64",",,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-26",,,"0.69",",,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-27",,,"0.60",",,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-28",,,"0.00","T,,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-29",,,"0.00",",,N","0.0",",,N",,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-30",,,"0.18",",,N",,,,
"US1MAHS0008","42.391687","-72.738372","227.7","2021-10-31",,,"1.21",",,N",,,,
