"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-01",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-02",,,"0.48",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-03",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-04",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-05",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-06",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-07",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-08",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-09",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-10",,,"0.08",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-11",,,"0.45",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-12",,,"0.81",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-13",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-14",,,"1.02",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-15",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-16",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-17",,,"0.45",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-18",,,"0.09",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-19",,,"0.40",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-20",,,"0.40",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-21",,,"0.71",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-22",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-23",,,"0.32",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-24",,,"0.08",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-25",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-26",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-27",,,"0.00","T,,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-28",,,"0.02",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-29",,,"0.00","T,,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-30",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-08-31",,,"0.58",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-09-01",,,"1.41",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-09-02",,,"2.35",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-09-03",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-09-04",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-09-05",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-09-06",,,"0.07",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-09-07",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-09-09",,,"0.54",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-09-10",,,"0.05",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-09-11",,,"0.00",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-09-12",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-09-13",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-09-14",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-09-15",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-09-16",,,"0.00","T,,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-10-01",,,,,,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-10-02",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-10-03",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-10-04",,,"0.00","T,,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-10-05",,,"0.06",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-10-06",,,"0.02",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-10-07",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-10-08",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-10-09",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-10-10",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-10-11",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-10-12",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-10-13",,,"0.02",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-10-14",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-10-15",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-10-16",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-10-17",,,"0.17",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-10-24",,,,,,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-10-25",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-10-26",,,"1.90",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-10-27",,,"0.00","T,,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-10-28",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-10-29",,,"0.14",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-10-30",,,"2.10",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-10-31",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-11-01",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-11-02",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-11-03",,,"0.16",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-11-04",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-11-05",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-11-06",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-11-07",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-11-08",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-11-09",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-11-10",,,"0.00","T,,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-11-11",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-11-15",,,,,,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-11-16",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-11-17",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-11-18",,,"0.00","T,,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-11-19",,,"0.07",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-11-20",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-11-21",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-11-22",,,"0.07",",,N",,,,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-11-23",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-11-24",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-11-25",,,"0.00",",,N","0.0",",,N",,
"US1MDBL0053","39.322644","-76.520313","29.9","2021-11-26",,,"0.22",",,N",,,,
"USC00181790","39.64034","-77.69778","162.2","2021-08-01","4.92",",,7","0.00","T,,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-02","6.04",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-03","2.91",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-04","4.03",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-05","2.01",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-06","4.92",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-07","4.03",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-08","2.01",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-09","4.03",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-10","4.03",",,7","0.03",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-11","4.92",",,7","0.42",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-12","6.04",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-13","4.92",",,7","0.05",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-14","2.91",",,7","0.01",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-15","4.03",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-16","2.91",",,7","0.12",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-17","4.92",",,7","0.01",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-18","8.95",",,7","1.15",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-19","4.92",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-20","2.91",",,7","0.76",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-21","2.91",",,7","0.00","T,,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-22","0.89",",,7","0.01",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-23","4.92",",,7","0.01",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-24","4.03",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-25","2.91",",,7","0.00","T,,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-26","2.91",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-27","2.91",",,7","0.03",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-28","4.03",",,7","1.50",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-29","2.91",",,7","0.05",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-30","4.03",",,7","0.37",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-08-31","0.89",",,7","0.01",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-01","2.01",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-02","2.01",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-03","2.91",",,7","0.09",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-04","2.91",",,7","0.07",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-05","2.01",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-06","0.89",",,7","0.00","T,,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-07","2.91",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-08","2.01",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-09","4.92",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-10","2.91",",,7","0.03",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-11","2.91",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-12","0.89",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-13","0.89",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-14","2.01",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-15","4.03",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-16","6.04",",,7","0.38",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-17","6.93",",,7","0.00","T,,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-18","8.05",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-19","4.03",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-20","4.92",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-21","6.04",",,7","0.01",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-22","6.04",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-23","4.92",",,7","0.04",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-24","4.92",",,7","0.00","T,,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-25","6.04",",,7","0.23",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-26","10.07",",,7","0.01",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-27","6.93",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-28","4.92",",,7","0.00",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-29","8.95",",,7","0.91",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-30","2.01",",,7","0.01",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-10-31","4.92",",,7","0.01",",,7,2400","0.0",",,7,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-01",,,"0.00",",,H,2400","0.0",",,H,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-02",,,"0.07",",,H,2400","0.0",",,H,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-03",,,"0.00",",,H,2400","0.0",",,H,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-04",,,"0.00",",,H,2400","0.0",",,H,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-05",,,"0.00",",,H,2400","0.0",",,H,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-06",,,"0.00",",,H,2400","0.0",",,H,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-07",,,"0.00",",,H,2400","0.0",",,H,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-08",,,"0.00",",,H,2400","0.0",",,H,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-09",,,"0.00",",,H,2400","0.0",",,H,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-10",,,"0.00",",,H,2400","0.0",",,H,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-11",,,"0.02",",,H,2400","0.0",",,H,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-12",,,"1.22",",,H,2400","0.0",",,H,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-13",,,"0.04",",,H,2400","0.0",",,H,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-14",,,"0.00",",,H,2400","0.0",",,H,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-15",,,"0.00",",,H,2400","0.0",",,H,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-16",,,"0.00",",,H,2400","0.0",",,H,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-17",,,"0.00",",,H,2400","0.0",",,H,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-18",,,"0.02",",,H,2400","0.0",",,H,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-19",,,"0.00",",,H,2400","0.0",",,H,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-20",,,"0.00",",,H,2400","0.0",",,H,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-21",,,"0.03",",,H,2400","0.0",",,H,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-22",,,"0.03",",,H,2400","0.0",",,H,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-23",,,"0.00",",,H,2400","0.0",",,H,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-24",,,"0.00",",,H,2400","0.0",",,H,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-25",,,"0.00",",,H,2400","0.0",",,H,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-26",,,"0.00",",,H,2400","0.0",",,H,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-27",,,"0.00",",,H,2400","0.0",",,H,2400",,
"USC00181790","39.64034","-77.69778","162.2","2021-11-28",,,"0.00",",,H,2400","0.0",",,H,2400",,
"US1MDMG0109","39.039861","-77.004083","103.3","2021-08-01",,,"0.01",",,N",,,,
