"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"USC00265353","41.32372","-114.07256","1471.6","2021-08-01",,,"0.08",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-02",,,"0.09",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-03",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-04",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-05",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-06",,,"0.00","T,,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-07",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-08",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-09",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-10",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-11",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-12",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-13",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-14",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-15",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-16",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-17",,,"0.00","T,,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-18",,,"0.05",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-19",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-20",,,"0.00","T,,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-21",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-22",,,"0.01",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-23",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-24",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-25",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-26",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-27",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-28",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-29",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-30",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-08-31",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-09-01",,,"0.00",",,7,0800","0.0",",,7,0800",,
"USC00265353","41.32372","-114.07256","1471.6","2021-09-02",,,"0.00","T,,7,0800","0.0",",,7,0800",,
