"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"USW00003950","34.5584","-98.4172","325.8","2021-08-01","10.51",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-02","9.40",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-03","4.47",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-04","3.58",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-05","7.38",",,W","0.02",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-06","8.72",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-07","12.08",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-08","11.41",",,W","0.08",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-09","13.20",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-10","13.87",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-11","12.75",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-12","9.62",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-13","7.16",",,W","0.66",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-14","4.25",",,W","0.06",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-15","3.36",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-16","7.16",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-17","8.05",",,W","0.22",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-18","8.95",",,W","0.11",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-19","8.72",",,W","2.44",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-20","12.08",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-21","8.28",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-22","8.72",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-23","9.62",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-24","8.50",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-25","6.71",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-26","5.14",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-27","7.16",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-28","8.72",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-29","6.71",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-30","2.91",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-08-31","4.25",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-01","5.14",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-02","9.17",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-03","8.72",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-04","6.71",",,W","0.12",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-05","8.95",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-06","5.14",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-07","6.49",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-08","9.62",",,W","0.00","T,,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-09","5.82",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-10","7.83",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-11","8.72",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-12","8.05",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-13","8.28",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-14","8.05",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-15","3.13",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-16","5.59",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-17","5.59",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-18","4.25",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-19","5.82",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-20","11.18",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-21","18.57",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-22","3.80",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-23","5.82",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-24","4.92",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-25","4.70",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-26","7.61",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-27","8.50",",,W","0.00",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-28","8.28",",,W","1.58",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-29","10.29",",,W","0.01",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-09-30","7.61",",,W","0.01",",,W,2400",,,,
"USW00003950","34.5584","-98.4172","325.8","2021-10-01","4.03",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-02","3.80",",,W","0.21",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-03","3.80",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-04","2.46",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-05","5.37",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-06","1.79",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-07","6.04",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-08","9.62",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-09","12.30",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-10","13.87",",,W","0.05",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-11","5.82",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-12","14.09",",,W","0.00","T,,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-13","11.41",",,W","0.78",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-14","7.38",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-15","20.80",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-16","2.01",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-17","4.92",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-18","8.95",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-19","14.32",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-20","8.50",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-21","5.14",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-22","7.83",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-23","11.41",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-24","9.62",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-25","6.49",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-26","15.88",",,W","0.39",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-27","11.41",",,W","0.29",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-28","19.46",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-29","12.30",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-30","4.70",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-10-31","13.20",",,W","0.00",",,W,2400","0.0",",,W",,
"USW00003950","34.5584","-98.4172","325.8","2021-11-01","10.96",",,W","0.00",",,W,2400","0.0",",,W",,
