"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"US1PAJF0003","41.0871619731188","-79.1032395511866","460.6","2021-08-01",,,"0.00",",,N","0.0",",,N",,
"US1PAJF0003","41.0871619731188","-79.1032395511866","460.6","2021-08-02",,,"0.00",",,N","0.0",",,N",,
"US1PAJF0003","41.0871619731188","-79.1032395511866","460.6","2021-08-03",,,"0.00",",,N","0.0",",,N",,
"US1PAJF0003","41.0871619731188","-79.1032395511866","460.6","2021-08-04",,,"0.00",",,N","0.0",",,N",,
"US1PAJF0003","41.0871619731188","-79.1032395511866","460.6","2021-08-05",,,"0.00",",,N","0.0",",,N",,
"US1PAJF0003","41.0871619731188","-79.1032395511866","460.6","2021-08-06",,,"0.00",",,N","0.0",",,N",,
"US1PAJF0003","41.0871619731188","-79.1032395511866","460.6","2021-08-07",,,"0.00",",,N","0.0",",,N",,
"US1PAJF0003","41.0871619731188","-79.1032395511866","460.6","2021-08-08",,,"0.00",",,N","0.0",",,N",,
"US1PAJF0003","41.0871619731188","-79.1032395511866","460.6","2021-08-09",,,"0.00",",,N","0.0",",,N",,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-01",,,"0.00",",,N","0.0",",,N",,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-02",,,"0.29",",,N",,,,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-03",,,"0.00",",,N","0.0",",,N",,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-04",,,"0.00",",,N","0.0",",,N",,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-05",,,"0.00",",,N","0.0",",,N",,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-06",,,"0.00",",,N","0.0",",,N",,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-07",,,"0.00",",,N","0.0",",,N",,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-08",,,"0.00",",,N","0.0",",,N",,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-09",,,"0.00",",,N","0.0",",,N",,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-10",,,"0.17",",,N",,,,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-11",,,"0.65",",,N",,,,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-12",,,"0.25",",,N",,,,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-13",,,"1.08",",,N",,,,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-14",,,"0.20",",,N",,,,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-15",,,"0.00",",,N","0.0",",,N",,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-16",,,"0.00",",,N","0.0",",,N",,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-17",,,"0.15",",,N",,,,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-18",,,"0.48",",,N",,,,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-19",,,"1.88",",,N",,,,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-20",,,"0.30",",,N",,,,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-21",,,"0.00",",,N","0.0",",,N",,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-22",,,"0.00",",,N","0.0",",,N",,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-23",,,"0.00",",,N","0.0",",,N",,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-24",,,"0.00",",,N","0.0",",,N",,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-25",,,"0.00",",,N","0.0",",,N",,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-26",,,"0.00",",,N","0.0",",,N",,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-27",,,"0.00",",,N","0.0",",,N",,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-28",,,"0.03",",,N",,,,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-29",,,"0.32",",,N",,,,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-30",,,"0.64",",,N",,,,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-08-31",,,"0.02",",,N",,,,
"US1PAJF0002","40.9644649922848","-79.1988965123892","381.0","2021-09-01",,,"0.60",",,N",,,,
