"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-01",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-02",,,"0.01",",,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-03",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-04",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-05",,,"1.70",",,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-06",,,"0.77",",,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-07",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-08",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-09",,,"0.01",",,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-10",,,"0.04",",,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-11",,,"0.00","T,,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-12",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-13",,,"0.04",",,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-14",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-15",,,"0.00","T,,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-16",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-17",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-18",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-19",,,"0.02",",,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-20",,,"0.43",",,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-21",,,"0.00","T,,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-22",,,"0.12",",,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-23",,,"0.50",",,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-24",,,"0.62",",,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-25",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-26",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-27",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-08-28",,,"0.29",",,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-01",,,,,,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-02",,,"4.10",",,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-03",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-04",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-05",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-06",,,"0.02",",,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-07",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-08",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-09",,,"0.10",",,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-10",,,"0.48",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-11",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-12",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-13",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-14",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-15",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-17",,,,,,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-18",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-19",,,"0.00","T,,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-20",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-21",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-22",,,"0.01",",,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-23",,,"0.02",",,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-24",,,"0.01",",,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-25",,,"0.10",",,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-26",,,"0.24",",,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-27",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-28",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-29",,,"0.13",",,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-09-30",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-10-01",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-10-02",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-10-03",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-10-04",,,"0.65",",,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-10-05",,,"1.32",",,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-10-06",,,"0.02",",,N",,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-10-07",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-10-08",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-10-09",,,"0.00",",,N","0.0",",,N",,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-10-21",,,,,,,,
"US1RIKN0023","41.7475","-71.4088","15.8","2021-10-22",,,"0.00",",,N","0.0",",,N",,
