"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"US1TNAN0017","36.00596","-84.30712","331.3","2021-08-01",,,"0.20",",,N",,,,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-08-02",,,"0.00",",,N","0.0",",,N",,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-08-03",,,"0.00",",,N","0.0",",,N",,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-08-04",,,"0.00",",,N","0.0",",,N",,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-08-05",,,"0.04",",,N",,,,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-08-06",,,"0.00",",,N","0.0",",,N",,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-08-07",,,"0.00",",,N","0.0",",,N",,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-08-08",,,"0.00",",,N","0.0",",,N",,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-08-09",,,"0.00",",,N","0.0",",,N",,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-08-10",,,"0.39",",,N",,,,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-08-11",,,"0.00",",,N","0.0",",,N",,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-08-12",,,"0.00",",,N","0.0",",,N",,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-08-13",,,"0.00",",,N","0.0",",,N",,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-08-15",,,"0.57",",,N",,,,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-08-16",,,"0.62",",,N",,,,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-08-17",,,"0.31",",,N",,,,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-08-18",,,"1.37",",,N",,,,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-08-19",,,"0.04",",,N",,,,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-08-20",,,"0.41",",,N",,,,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-08-22",,,"0.46",",,N",,,,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-08-23",,,"0.76",",,N",,,,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-08-24",,,"0.00",",,N","0.0",",,N",,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-08-25",,,"0.00",",,N","0.0",",,N",,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-08-26",,,"0.00",",,N","0.0",",,N",,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-08-27",,,"0.02",",,N",,,,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-08-28",,,"0.00",",,N","0.0",",,N",,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-08-31",,,"0.94",",,N",,,,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-09-01",,,"3.28",",,N",,,,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-09-02",,,"0.00",",,N","0.0",",,N",,
"US1TNAN0017","36.00596","-84.30712","331.3","2021-09-03",,,"0.00",",,N","0.0",",,N",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-01",,,"0.07",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-02",,,"0.14",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-03",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-04",,,"0.88",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-05",,,"0.05",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-06",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-07",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-08",,,"0.10",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-09",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-10",,,"0.17",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-11",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-12",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-13",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-14",,,"0.08",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-15",,,"0.10",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-16",,,"0.35",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-17",,,"1.62",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-18",,,"3.77",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-19",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-20",,,"0.34",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-22",,,,,"0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-23",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-24",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-25",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-26",,,"0.28",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-27",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-29",,,,,"0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-30",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-08-31",,,"0.54",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-01",,,"1.23",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-02",,,"0.04",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-03",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-05",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-06",,,,,"0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-07",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-08",,,"0.16",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-09",,,"0.11",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-10",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-11",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-12",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-13",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-14",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-15",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-16",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-17",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-18",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-19",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-20",,,"1.09",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-21",,,"0.49",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-22",,,"0.29",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-23",,,"1.20",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-24",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-25",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-26",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-27",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-28",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-29",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-09-30",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-10-01",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-10-02",,,"0.00",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-10-03",,,"0.10",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-10-04",,,"0.66",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-10-05",,,"0.02",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-10-06",,,"0.21",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-10-07",,,"0.43",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-10-08",,,"1.18",",,7,0700","0.0",",,7,0700",,
"USC00406271","36.2067","-83.3325","409.7","2021-10-09",,,,,"0.0",",,7,0700",,
