"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"US1VAJC0040","37.248526","-76.727066","22.9","2021-08-01",,,"0.47",",,N",,,,
"US1VAJC0040","37.248526","-76.727066","22.9","2021-08-02",,,"0.11",",,N",,,,
"US1VAJC0040","37.248526","-76.727066","22.9","2021-08-03",,,"0.00",",,N","0.0",",,N",,
"US1VAJC0040","37.248526","-76.727066","22.9","2021-08-04",,,"0.23",",,N",,,,
"US1VAJC0040","37.248526","-76.727066","22.9","2021-08-05",,,"0.10",",,N",,,,
"US1VAJC0040","37.248526","-76.727066","22.9","2021-08-06",,,"0.00",",,N","0.0",",,N",,
"US1VAJC0040","37.248526","-76.727066","22.9","2021-08-08",,,"1.11",",,N",,,,
"US1VAJC0040","37.248526","-76.727066","22.9","2021-08-09",,,"0.00",",,N","0.0",",,N",,
"US1VAJC0040","37.248526","-76.727066","22.9","2021-08-10",,,"0.00",",,N","0.0",",,N",,
"US1VAJC0040","37.248526","-76.727066","22.9","2021-08-11",,,"0.00",",,N","0.0",",,N",,
"US1VAJC0040","37.248526","-76.727066","22.9","2021-08-12",,,"0.11",",,N",,,,
"US1VAJC0040","37.248526","-76.727066","22.9","2021-08-13",,,"0.00",",,N","0.0",",,N",,
"US1VAJC0040","37.248526","-76.727066","22.9","2021-08-14",,,"0.00","T,,N",,,,
"US1VAJC0040","37.248526","-76.727066","22.9","2021-08-15",,,"1.63",",,N",,,,
"US1VAJC0040","37.248526","-76.727066","22.9","2021-08-16",,,"0.24",",,N",,,,
"US1VAJC0040","37.248526","-76.727066","22.9","2021-08-17",,,"0.93",",,N",,,,
"US1VAJC0040","37.248526","-76.727066","22.9","2021-08-18",,,"0.09",",,N",,,,
"US1VAJC0040","37.248526","-76.727066","22.9","2021-08-19",,,"0.07",",,N",,,,
"US1VAJC0040","37.248526","-76.727066","22.9","2021-08-20",,,"0.95",",,N",,,,
"US1VAJC0040","37.248526","-76.727066","22.9","2021-08-21",,,"0.03",",,N",,,,
"US1VAJC0040","37.248526","-76.727066","22.9","2021-08-22",,,"0.00",",,N","0.0",",,N",,
"US1VAJC0040","37.248526","-76.727066","22.9","2021-08-23",,,"0.31",",,N",,,,
"US1VAJC0040","37.248526","-76.727066","22.9","2021-08-24",,,"0.00",",,N","0.0",",,N",,
"US1VAJC0040","37.248526","-76.727066","22.9","2021-08-25",,,"0.00",",,N","0.0",",,N",,
"US1VAJC0040","37.248526","-76.727066","22.9","2021-08-26",,,"0.00",",,N","0.0",",,N",,
"US1VAJC0040","37.248526","-76.727066","22.9","2021-08-27",,,"0.00",",,N","0.0",",,N",,
