"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"US1VTOL0012","44.631","-72.28","620.6","2021-08-01",,,"0.00",",,N","0.0",",,N",,
"US1VTOL0012","44.631","-72.28","620.6","2021-08-02",,,"1.56",",,N",,,,
"US1VTOL0012","44.631","-72.28","620.6","2021-08-03",,,"0.00",",,N","0.0",",,N",,
"US1VTOL0012","44.631","-72.28","620.6","2021-08-04",,,"0.00",",,N","0.0",",,N",,
"US1VTOL0012","44.631","-72.28","620.6","2021-08-05",,,"0.00",",,N","0.0",",,N",,
"US1VTOL0012","44.631","-72.28","620.6","2021-08-06",,,"0.00",",,N","0.0",",,N",,
"US1VTOL0012","44.631","-72.28","620.6","2021-08-07",,,"0.00",",,N","0.0",",,N",,
"US1VTOL0012","44.631","-72.28","620.6","2021-08-08",,,"0.19",",,N",,,,
"US1VTOL0012","44.631","-72.28","620.6","2021-08-09",,,"0.49",",,N",,,,
"US1VTOL0012","44.631","-72.28","620.6","2021-08-10",,,"0.00",",,N","0.0",",,N",,
"US1VTOL0012","44.631","-72.28","620.6","2021-08-11",,,"0.00",",,N","0.0",",,N",,
"US1VTOL0012","44.631","-72.28","620.6","2021-08-12",,,"0.46",",,N",,,,
"US1VTOL0012","44.631","-72.28","620.6","2021-08-13",,,"0.12",",,N",,,,
"US1VTOL0012","44.631","-72.28","620.6","2021-08-14",,,"0.30",",,N",,,,
"US1VTOL0012","44.631","-72.28","620.6","2021-08-15",,,"0.28",",,N",,,,
"US1VTOL0012","44.631","-72.28","620.6","2021-08-16",,,"0.00",",,N","0.0",",,N",,
"US1VTOL0012","44.631","-72.28","620.6","2021-08-17",,,"0.00",",,N","0.0",",,N",,
"US1VTOL0012","44.631","-72.28","620.6","2021-08-18",,,"0.13",",,N",,,,
"US1VTOL0012","44.631","-72.28","620.6","2021-08-19",,,"0.05",",,N",,,,
"US1VTOL0012","44.631","-72.28","620.6","2021-08-20",,,"0.42",",,N",,,,
"US1VTOL0012","44.631","-72.28","620.6","2021-08-21",,,"0.00",",,N","0.0",",,N",,
"US1VTOL0012","44.631","-72.28","620.6","2021-08-22",,,"0.00",",,N","0.0",",,N",,
"US1VTOL0012","44.631","-72.28","620.6","2021-08-23",,,"0.00","T,,N",,,,
